date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-02-07,9.79,9.79,,,24460,,,,,,0.0,,,0.55,,,
2022-02-08,10.17,9.8,0.06,3.84,24263,,,,,,0.06,,,1.0,,,
2022-02-09,9.78,9.8,0.0,-0.23,5581,,,,,,0.06,,,1.03,,,
2022-02-10,9.8,9.8,0.0,0.0,2145,,,,,,0.06,,,1.32,,,
2022-02-11,10.24,9.83,0.31,4.46,2325,,,,,,0.36,,,1.7,,,
2022-02-14,9.71,9.81,-0.2,-1.22,37257,,0.16,,,,0.16,81.2,,1.7,,,
2022-02-15,9.78,9.82,0.1,-0.32,9425,,0.2,,,,0.26,82.9,,1.64,,,
2022-02-16,9.82,9.88,0.61,0.0,3713,,0.82,,,,0.87,89.3,,1.62,,,
2022-02-22,9.7,9.79,-0.91,-1.82,1569,,-0.1,,,,-0.04,55.7,,1.65,,,
2022-02-23,9.78,9.78,-0.1,-0.1,5894,,-0.51,,,,-0.15,53.3,,1.56,,,
2022-02-24,9.75,9.72,-0.61,-0.31,26923,,-0.92,,,,-0.76,41.7,,1.51,,,
2022-02-25,9.78,9.75,0.31,0.62,43501,,-0.71,,,,-0.45,47.8,,1.45,,,
2022-02-28,9.77,9.77,0.21,0.21,110,,-1.11,,,,-0.25,51.5,,1.36,,,
2022-03-01,9.76,9.76,-0.1,-0.12,4999,,-0.31,,,,-0.35,49.6,,1.28,,,
2022-03-02,9.76,9.76,0.0,0.0,505,,-0.2,,,,-0.35,49.6,,1.19,,,
2022-03-03,9.76,9.75,-0.07,-0.0,23904,,0.34,,,,-0.42,48.1,,1.12,,,
2022-03-07,9.76,9.75,-0.03,0.07,24999,,0.0,,,,-0.45,47.6,,1.05,,,
2022-03-08,9.77,9.76,0.13,0.23,336,,-0.08,,,,-0.32,50.5,,0.99,,,
2022-03-09,9.79,9.79,0.28,0.28,503,,0.31,,,,-0.05,56.2,,0.94,,,
2022-03-15,9.76,9.76,-0.3,-0.3,375490,12.15,0.0,,,,-0.35,49.5,,0.9,,,-1.21
