date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-03-20,52.56,62.03,,,16843327,,,,,,0.0,,,20.78,,,
2024-03-21,66.0,64.15,3.42,6.4,11454349,,,,,,3.42,,,20.66,,,
2024-03-22,65.5,70.0,9.12,2.1,4387368,,,,,,12.85,,,18.38,,,
2024-03-25,73.39,85.0,21.43,4.84,7353881,,,,,,37.03,,,15.48,,,
2024-03-26,88.9,83.38,-1.91,4.59,10591536,,,,,,34.42,96.3,,16.17,,,
2024-03-27,81.21,79.92,-4.15,-2.6,3574729,,28.84,,,,28.84,88.9,,16.42,,,
2024-03-28,79.57,74.19,-7.17,-0.44,2388108,,15.65,,,,19.6,78.1,,17.21,,,
2024-04-01,72.62,71.12,-4.14,-2.12,4316939,,1.6,,,,14.65,73.0,,17.42,,,
2024-04-02,69.7,72.21,1.53,-2.0,2024116,,-15.05,,,,16.41,73.6,,16.59,,,
2024-04-03,72.06,69.28,-4.06,-0.21,1700572,,-16.91,,,,11.69,68.8,,16.64,,,
2024-04-04,69.71,69.77,0.71,0.62,1695470,,-12.7,,,,12.48,69.1,,15.9,,,
2024-04-05,69.04,71.34,2.25,-1.05,1475301,,-3.84,,,,15.01,70.3,,15.18,,,
2024-04-08,73.0,69.92,-1.99,2.33,1250131,,-1.69,,,,12.72,67.8,,14.93,,,
2024-04-09,69.92,68.37,-2.22,0.0,1146855,,-5.32,,,,10.22,65.0,,14.7,,,
2024-04-10,66.32,71.31,4.3,-3.0,1520923,,2.93,,,,14.96,67.7,,13.66,,,
2024-04-11,71.46,75.59,6.0,0.21,2467544,,8.34,,,,21.86,71.2,,12.61,,,
2024-04-12,74.65,72.73,-3.78,-1.24,1197222,,1.95,,,,17.25,66.0,,12.66,,,
2024-04-15,74.83,71.3,-1.97,2.89,2510839,,1.97,,,,14.94,63.6,,12.85,,,
2024-04-16,71.9,74.52,4.52,0.84,1493774,,9.0,,,,20.14,66.6,,12.05,,,
2024-04-17,75.0,73.21,-1.76,0.64,1399631,0.35,2.66,,,,18.02,64.3,,11.81,,,-13.87
2024-04-18,72.99,70.92,-3.13,-0.3,1393330,0.43,-6.18,,,,14.33,60.3,,11.79,,,-16.56
2024-04-19,69.08,64.5,-9.05,-2.59,4002843,1.38,-11.32,3.98,,,3.98,50.7,6.56,13.23,,,-24.12
2024-04-22,65.0,65.79,2.0,0.78,1330346,0.49,-7.73,2.56,,,6.06,52.4,6.54,12.5,,,-22.6
2024-04-23,67.55,71.72,9.01,2.68,1514813,0.62,-3.76,2.46,,,15.62,59.1,6.53,11.42,,,-15.62
2024-04-24,73.2,70.99,-1.02,2.06,1470674,0.74,-3.03,-16.48,,,14.44,58.0,4.39,11.35,,,-16.48
2024-04-25,68.42,71.59,0.85,-3.62,1281248,0.68,0.94,-14.14,,,15.41,58.6,4.39,11.04,,,-15.78
2024-04-26,70.97,85.0,18.73,-0.87,3013699,1.58,31.78,6.36,,,37.03,70.1,6.01,9.9,,,0.0
2024-04-29,81.28,85.7,0.82,-4.38,3601211,1.92,30.26,15.51,,,38.16,70.6,5.75,9.82,,,0.0
2024-04-30,83.97,84.76,-1.1,-2.02,1983931,1.06,18.18,19.18,,,36.64,69.1,5.66,9.68,,,-1.1
2024-05-01,80.52,74.83,-11.72,-5.0,3959123,1.99,5.41,3.63,,,20.64,55.4,6.3,11.17,,,-12.68
2024-05-02,76.91,79.06,5.65,2.78,2647417,1.3,10.43,14.12,,,27.45,59.1,6.31,10.53,,,-7.75
2024-05-03,81.07,76.96,-2.66,2.54,2141981,1.04,-9.46,10.31,,,24.07,56.6,6.36,10.48,,,-10.2
2024-05-06,77.3,78.11,1.49,0.44,1935766,0.92,-8.86,9.49,,,25.92,57.6,6.35,9.99,,,-8.86
2024-05-07,75.86,76.19,-2.46,-2.88,2392100,1.11,-10.11,8.97,,,22.83,55.2,6.36,9.88,,,-11.1
2024-05-08,71.06,69.26,-9.1,-6.73,5411724,2.3,-7.44,1.3,,,11.66,47.4,6.68,11.13,,,-19.18
2024-05-09,72.02,70.06,1.16,3.98,3297449,1.37,-11.38,-1.75,,,12.95,48.3,6.62,10.64,,,-18.25
2024-05-10,71.14,70.08,0.03,1.54,1828618,0.75,-8.94,-7.29,,,12.98,48.3,6.49,10.42,,,-18.23
2024-05-13,71.18,70.26,0.26,1.57,1929976,0.8,-10.05,-3.4,,,13.27,48.6,6.43,10.07,,,-18.02
2024-05-14,71.0,72.32,2.93,1.05,1611246,0.67,-5.08,1.43,,,16.59,51.3,6.45,9.48,,,-15.61
2024-05-15,73.8,77.42,7.05,2.05,2755346,1.11,11.78,3.89,,,24.81,57.2,6.55,8.78,,,-9.66
2024-05-16,77.52,73.0,-5.71,0.13,2175198,0.87,4.2,-0.29,,,17.68,51.4,6.67,9.17,,,-14.82
2024-05-17,73.63,72.5,-0.68,0.86,1204166,0.51,3.45,2.23,,,16.88,50.7,6.63,8.92,,,-15.4
2024-05-20,71.11,72.51,0.01,-1.92,1332300,0.56,3.2,12.42,,,16.9,50.7,6.28,8.58,,,-15.39
2024-05-21,72.3,73.34,1.14,-0.29,1101838,0.47,1.41,11.48,,,18.23,51.9,6.27,8.23,,,-14.42
2024-05-22,74.0,73.14,-0.27,0.9,1272149,0.54,-5.53,1.98,,,17.91,51.6,5.98,7.9,,,-14.66
2024-05-23,76.0,70.07,-4.2,3.91,2212113,0.93,-4.01,-1.3,,,12.96,46.9,6.05,8.39,,,-18.24
2024-05-24,71.1,71.99,2.74,1.47,857851,0.38,-0.7,0.56,,,16.06,50.0,6.08,7.85,,,-16.0
2024-05-28,72.83,68.89,-4.31,1.17,2246164,1.01,-4.99,-18.95,,,11.06,45.4,4.42,8.11,,,-19.61
2024-05-29,67.99,67.45,-2.09,-1.31,1352420,0.62,-8.03,-21.3,,,8.74,43.5,4.4,7.95,,,-21.3
2024-05-30,67.35,65.44,-2.98,-0.15,2787512,1.31,-10.53,-22.79,,,5.5,40.8,4.43,8.25,-10.19,,-23.64
2024-05-31,66.0,64.54,-1.38,0.86,1517085,0.73,-7.89,-13.75,,,4.05,39.7,3.7,8.24,-11.48,,-24.69
2024-06-03,65.13,63.62,-1.43,0.91,1622073,0.79,-11.63,-19.53,,,2.56,38.4,3.41,8.22,-12.73,,-25.76
2024-06-04,63.16,61.21,-3.79,-0.72,1800791,0.88,-11.15,-20.47,,,-1.32,35.4,3.45,8.27,-15.84,,-28.58
2024-06-05,62.04,62.21,1.63,1.36,2002304,0.99,-7.77,-20.36,,,0.29,37.6,3.46,7.97,-13.92,,-27.41
2024-06-06,62.5,63.01,1.29,0.47,1461916,0.8,-3.71,-17.3,,,1.58,39.4,3.48,7.7,-12.32,,-26.48
2024-06-07,62.09,61.94,-1.7,-1.46,1163930,0.68,-4.03,-10.57,,,-0.15,37.8,2.93,7.59,-13.38,,-27.72
2024-06-10,62.11,66.7,7.68,0.27,1918337,1.12,4.84,-4.8,,,7.53,47.7,3.42,7.11,-6.52,,-22.17
2024-06-11,66.0,65.13,-2.35,-1.05,1162454,0.69,6.4,-7.06,,,5.0,45.2,3.45,7.04,-8.57,,-24.0
2024-06-12,66.33,64.57,-0.86,1.84,1096735,0.66,3.79,-8.1,,,4.09,44.3,3.45,6.98,-9.16,,-24.66
2024-06-13,65.24,63.11,-2.26,1.04,1221880,0.78,0.16,-12.74,,,1.74,41.9,3.39,7.06,-11.06,,-26.36
2024-06-14,62.08,63.92,1.28,-1.63,1458586,0.95,3.2,-17.44,,,3.05,43.7,2.94,6.83,-9.77,,-25.41
2024-06-17,64.32,64.88,1.5,0.63,1411962,0.91,-2.73,-11.12,,,4.59,45.9,2.76,6.56,-8.25,,-24.29
2024-06-18,65.0,67.16,3.51,0.18,1533831,0.98,3.12,-7.37,,,8.27,50.7,2.9,6.35,-4.95,,-21.63
2024-06-20,67.6,63.16,-5.96,0.66,1756744,1.1,-2.18,-12.89,1.82,,1.82,43.4,3.15,6.91,-10.48,,-26.3
2024-06-21,60.84,59.01,-6.57,-3.67,4204450,2.42,-6.5,-19.54,-8.01,,-4.87,37.4,3.38,7.38,-16.07,,-31.14
2024-06-24,58.35,58.92,-0.15,-1.12,1553410,0.91,-7.82,-19.44,-15.83,,-5.01,37.3,3.38,7.3,-15.8,,-31.25
2024-06-25,59.78,57.81,-1.88,1.46,727052,0.43,-10.9,-17.5,-31.99,,-6.8,35.7,3.3,7.22,-17.03,,-32.54
2024-06-26,57.16,55.6,-3.82,-1.12,1811573,1.08,-17.21,-22.77,-33.32,,-10.37,32.8,3.26,7.54,-19.84,,-35.12
2024-06-27,55.0,57.88,4.1,-1.08,1120105,0.67,-8.36,-15.98,-27.58,,-6.69,38.4,3.37,7.15,-16.15,,-32.46
2024-06-28,58.26,60.51,4.54,0.66,3002041,1.79,2.54,-10.29,-18.44,,-2.45,44.1,3.54,6.82,-12.02,,-29.39
2024-07-01,60.5,57.54,-4.91,-0.02,1890528,1.11,-2.34,-12.07,-19.09,,-7.24,39.6,3.63,7.2,-16.01,,-32.86
2024-07-02,57.1,60.5,5.14,-0.76,848182,0.51,4.65,-6.26,-16.22,,-2.47,45.6,3.83,6.8,-11.58,,-29.4
2024-07-03,59.55,59.34,-1.92,-1.57,629243,0.39,6.73,-6.73,-14.35,,-4.34,43.7,3.84,6.76,-13.12,,-30.76
2024-07-05,59.74,59.44,0.17,0.67,931921,0.6,2.7,-2.89,-14.81,,-4.18,43.9,3.76,6.62,-12.66,,-30.64
2024-07-08,60.01,58.91,-0.89,0.96,1400602,0.91,-2.64,-5.3,-17.42,,-5.03,43.0,3.74,6.51,-13.13,,-31.26
2024-07-09,58.54,56.2,-4.6,-0.63,1502103,0.96,-2.33,-10.81,-19.62,,-9.4,38.7,3.84,6.8,-16.74,,-34.42
2024-07-10,56.71,56.88,1.21,0.91,898501,0.6,-5.98,-8.17,-16.81,,-8.3,40.3,3.85,6.53,-15.03,,-33.63
2024-07-11,57.51,55.14,-3.06,1.11,1307157,0.86,-7.08,-17.33,-22.68,,-11.11,37.5,3.42,6.65,-16.87,,-35.66
2024-07-12,55.53,55.89,1.36,0.71,1101836,0.73,-5.97,-14.19,-26.06,,-9.9,39.5,3.43,6.4,-15.0,,-34.78
2024-07-15,56.84,57.87,3.54,1.7,2204626,1.41,-1.77,-10.38,-20.43,,-6.71,44.4,3.55,6.37,-11.53,,-32.47
2024-07-16,58.69,57.52,-0.6,1.42,1527675,0.97,2.35,-8.86,-19.33,,-7.27,43.7,3.53,6.39,-11.48,,-32.88
2024-07-17,55.97,54.34,-5.53,-2.69,1758278,1.11,-4.47,-14.99,-27.08,,-12.4,38.0,3.68,6.73,-15.79,,-36.59
2024-07-18,55.0,53.5,-1.55,1.21,1022328,0.66,-2.97,-17.54,-26.92,,-13.75,36.7,3.65,6.74,-16.46,,-37.57
2024-07-19,53.69,51.64,-3.48,0.36,709762,0.47,-7.6,-23.11,-27.19,,-16.75,33.8,3.55,6.89,-18.74,,-39.74
2024-07-22,52.88,52.96,2.56,2.4,899716,0.67,-8.48,-16.15,-17.89,,-14.62,37.6,3.46,6.5,-16.23,,-38.2
2024-07-23,52.56,52.61,-0.66,-0.76,622733,0.48,-8.54,-10.85,-20.03,,-15.19,37.0,3.2,6.37,-16.32,,-38.61
2024-07-24,52.08,47.15,-10.38,-1.01,2421275,1.75,-13.23,-19.98,-34.26,,-23.99,29.2,3.85,7.51,-24.45,,-44.98
2024-07-25,48.0,47.05,-0.21,1.8,2533689,1.79,-12.06,-18.61,-33.72,,-24.15,29.1,3.85,7.63,-24.05,,-45.1
2024-07-26,47.88,47.13,0.18,1.76,1825349,1.26,-8.72,-15.22,-34.16,,-24.01,29.4,3.8,7.44,-23.29,,-45.0
2024-07-29,47.51,46.01,-2.39,0.8,1438325,1.05,-13.12,-20.51,-45.87,,-25.83,27.9,3.65,7.53,-24.35,,-46.31
2024-07-30,45.92,42.22,-8.24,-0.2,2181823,1.57,-19.75,-30.23,-50.74,,-31.94,23.5,3.74,8.34,-29.87,,-50.74
2024-07-31,44.41,43.84,3.84,5.19,1451498,1.02,-7.02,-23.81,-48.28,,-29.32,28.6,3.84,7.94,-26.48,,-48.84
2024-08-01,43.6,40.45,-7.73,-0.55,1934928,1.3,-14.03,-33.14,-45.94,,-34.79,24.9,3.8,8.91,-31.43,,-52.8
2024-08-02,38.03,42.38,4.77,-5.98,3059513,1.92,-10.09,-28.58,-46.4,,-31.68,30.5,4.06,9.17,-27.39,,-50.55
2024-08-05,37.52,43.78,3.3,-11.47,3348935,1.98,-4.85,-26.35,-43.11,,-29.42,34.3,4.18,9.67,-24.23,,-48.91
2024-08-06,44.32,42.48,-2.97,1.23,2534292,1.46,0.62,-27.89,-45.62,,-31.52,32.5,4.2,9.86,-25.77,,-50.43
