date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-10-29,19.4,17.7,,,11098382,,,,,,0.0,,,15.37,,,
2020-10-30,17.49,18.3,3.39,-1.19,2008571,,,,,,3.39,,,14.56,,,
2020-11-02,18.3,19.75,7.92,0.0,1640598,,,,,,11.58,,,13.21,,,
2020-11-03,19.75,21.0,6.33,0.0,2075379,,,,,,18.64,,,12.19,,,
2020-11-04,21.11,21.0,0.0,0.52,6056445,,,,,,18.64,,,11.97,,,
2020-11-05,21.0,22.75,8.33,0.0,1048017,,28.53,,,,28.53,,,11.34,,,
2020-11-06,22.92,24.0,5.49,0.75,1125807,,31.15,,,,35.59,,,10.74,,,
2020-11-09,25.25,26.22,9.25,5.21,1185755,,32.76,,,,48.14,,,10.08,,,
2020-11-10,26.06,21.84,-16.7,-0.61,1003258,,4.0,,,,23.39,72.1,,12.87,,,
2020-11-11,22.18,21.98,0.64,1.56,358455,,4.67,,,,24.18,72.4,,12.26,,,
2020-11-12,22.0,21.95,-0.14,0.09,372722,,-3.52,,,,24.01,72.2,,11.86,,,
2020-11-13,22.13,20.82,-5.15,0.82,434785,,-13.25,,,,17.63,66.3,,12.21,,,
2020-11-16,21.5,21.02,0.96,3.27,867997,,-19.83,,,,18.76,66.9,,11.74,,,
2020-11-17,21.01,21.96,4.47,-0.05,652035,,0.55,,,,24.07,69.2,,11.52,,,
2020-11-18,22.2,21.6,-1.64,1.09,324288,,-1.73,,,,22.03,67.2,,11.21,,,
2020-11-19,21.67,22.53,4.31,0.32,507264,,2.64,,,,27.29,69.7,,10.71,,,
2020-11-20,22.73,22.79,1.15,0.89,851795,,9.46,,,,28.76,70.3,,10.26,,,
2020-11-23,23.5,21.86,-4.08,3.12,1295516,,4.0,,,,23.5,64.9,,10.63,,,
2020-11-24,22.31,23.63,8.1,2.06,1171491,,7.6,,,,33.5,69.7,,10.24,,,
2020-11-25,24.2,24.0,1.57,2.41,606823,0.35,11.11,,,,35.59,70.6,,9.73,,,-8.47
2020-11-27,25.6,25.41,5.88,6.67,500216,0.42,12.78,,,,43.56,73.8,,9.07,,,-3.09
2020-11-30,26.0,23.95,-5.75,2.32,501030,0.44,5.09,35.31,,,35.31,65.8,6.1,9.76,,,-8.66
2020-12-01,23.51,24.73,3.26,-1.84,576217,0.54,13.13,35.14,,,39.72,67.8,6.1,9.45,,,-5.68
2020-12-02,24.18,25.71,3.96,-2.22,833756,0.82,8.8,30.18,,,45.25,70.2,5.96,9.21,,,-1.95
2020-12-03,25.94,27.12,5.48,0.89,745301,1.0,13.0,29.14,,,53.22,73.2,5.92,9.01,,,0.0
2020-12-04,28.0,28.0,3.24,3.24,754543,1.03,10.19,33.33,,,58.19,75.0,5.93,8.74,,,0.0
2020-12-07,28.42,27.74,-0.93,1.5,384541,0.55,15.82,21.93,,,56.72,73.5,5.74,8.68,,,-0.93
2020-12-08,28.11,26.6,-4.11,1.33,310680,0.48,7.56,10.83,,,50.28,67.1,5.76,8.87,,,-5.0
2020-12-09,26.51,25.37,-4.62,-0.34,488190,0.78,-1.32,-3.24,,,43.33,60.9,5.51,9.5,,,-9.39
2020-12-10,25.46,26.52,4.53,0.35,1008491,1.53,-2.21,21.43,,,49.83,64.2,4.05,9.17,,,-5.29
2020-12-11,27.5,26.08,-1.66,3.7,559826,0.84,-6.86,18.65,,,47.34,62.1,4.09,9.24,,,-6.86
2020-12-14,26.65,26.8,2.76,2.19,303345,0.46,-3.39,22.1,,,51.41,64.2,4.1,8.65,,,-4.29
2020-12-15,27.77,27.37,2.13,3.62,540202,0.84,2.89,31.46,,,54.63,65.8,3.85,8.17,,,-2.25
2020-12-16,28.0,26.52,-3.11,2.3,876769,1.33,4.53,26.17,,,49.83,61.3,3.98,8.35,,,-5.29
2020-12-17,26.99,26.25,-1.02,1.77,862502,1.26,-1.02,19.54,,,48.31,59.9,3.93,8.44,,,-6.25
2020-12-18,26.42,25.36,-3.39,0.65,3677276,4.37,-2.76,17.41,,,43.28,55.5,4.01,8.58,,,-9.43
2020-12-21,25.76,26.14,3.08,1.58,701490,0.84,-2.46,16.02,,,47.68,58.4,3.96,8.2,,,-6.64
2020-12-22,26.5,27.34,4.59,1.38,1131065,1.37,-0.11,19.96,,,54.46,62.5,4.05,7.71,,,-2.36
