date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2013-12-04,39.06,38.35,,,2764758,,,,,,0.0,,,2.3,,,
2013-12-05,38.76,37.63,-1.87,1.07,3645008,,,,,,-1.87,0.0,,2.46,,,
2013-12-06,37.36,37.31,-0.86,-0.71,4790415,,,,,,-2.71,0.0,,2.38,,,
2013-12-09,37.31,37.75,1.18,0.0,4028786,,,,,,-1.56,4.7,,2.36,,,
2013-12-10,37.65,39.01,3.35,-0.27,4129793,,,,,,1.74,16.8,,2.42,,,
2013-12-11,38.79,38.92,-0.23,-0.56,4126043,,1.5,,,,1.5,16.6,,2.43,,,
2013-12-12,38.88,39.39,1.19,-0.12,2105617,,4.67,,,,2.72,20.9,,2.41,,,
2013-12-13,39.59,39.65,0.66,0.52,876229,,6.27,,,,3.39,23.2,,2.36,,,
2013-12-16,39.43,40.05,1.01,-0.56,2594004,,6.09,,,,4.44,26.8,,2.48,,,
2013-12-17,39.81,40.1,0.14,-0.6,1710327,,2.8,,,,4.58,27.3,,2.43,,,
2013-12-18,40.01,40.58,1.19,-0.22,1599039,,4.26,,,,5.83,31.7,,2.46,,,
2013-12-19,40.29,40.74,0.4,-0.71,766534,,3.44,,,,6.25,33.2,,2.38,,,
2013-12-20,40.61,40.57,-0.42,-0.33,7933360,,2.33,,,,5.81,32.4,,2.31,,,
2013-12-23,40.49,40.93,0.87,-0.21,1229276,,2.19,,,,6.73,35.9,,2.33,,,
2013-12-24,41.03,40.86,-0.15,0.25,351373,,1.9,,,,6.57,35.5,,2.29,,,
2013-12-26,41.12,40.97,0.27,0.63,679789,,0.97,,,,6.86,36.7,,2.22,,,
2013-12-27,41.04,40.92,-0.13,0.16,558817,,0.43,,,,6.71,36.3,,2.2,,,
2013-12-30,40.74,40.44,-1.17,-0.43,631123,,-0.32,,,,5.47,33.4,,2.21,,,
2013-12-31,40.54,40.51,0.16,0.25,959918,,-1.03,,,,5.63,34.1,,2.17,,,
2014-01-02,40.34,40.01,-1.21,-0.4,1298169,0.56,-2.08,,,,0.0,31.1,,2.19,,,-2.35
