date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-06-28,13.5,13.3,,,1767553,,,,,,0.0,,,11.35,,,
2024-07-01,12.82,12.54,-5.71,-3.61,330566,,,,,,-5.71,0.0,,11.8,,,
2024-07-02,12.5,11.94,-4.78,-0.32,281556,,,,,,-10.23,0.0,,12.0,,,
2024-07-03,12.0,11.65,-2.43,0.5,158720,,,,,,-12.41,0.0,,11.69,,,
2024-07-05,12.23,11.45,-1.72,4.98,271428,,,,,,-13.91,0.0,,11.91,,,
2024-07-08,11.63,12.75,11.35,1.57,116261,,-4.14,,,,-4.14,12.8,,11.08,,,
2024-07-09,12.85,11.75,-7.84,0.78,193522,,-6.3,,,,-11.65,11.6,,11.94,,,
2024-07-10,11.99,12.96,10.3,2.04,159382,,8.54,,,,-2.56,21.4,,10.91,,,
2024-07-11,13.36,12.37,-4.55,3.09,138268,,6.18,,,,-6.99,20.3,,11.43,,,
2024-07-12,12.07,11.09,-10.35,-2.43,100133,,-3.14,,,,-16.62,17.9,,12.74,,,
2024-07-15,11.07,11.29,1.8,-0.18,241894,,-11.45,,,,-15.11,19.5,,12.22,,,
2024-07-16,11.49,11.09,-1.77,1.77,111277,,-5.62,,,,-16.62,19.1,,12.14,,,
2024-07-17,11.33,12.58,13.44,2.16,189602,,-2.93,,,,-5.41,30.2,,10.86,,,
2024-07-18,12.58,12.51,-0.56,0.0,133353,,1.13,,,,-5.94,30.0,,10.71,,,
2024-07-19,12.5,12.5,-0.08,-0.08,69034,,12.71,,,,-6.02,30.0,,10.36,,,
2024-07-22,12.51,13.0,4.0,0.08,100851,,15.15,,,,-2.26,33.8,,9.66,,,
2024-07-23,13.4,12.6,-3.08,3.08,224149,,13.62,,,,-5.26,32.3,,9.77,,,
2024-07-24,12.6,12.81,1.71,0.0,135834,,1.87,,,,-3.65,34.0,,9.3,,,
2024-07-25,12.99,12.85,0.27,1.37,87389,,2.72,,,,-3.38,34.3,,8.91,,,
2024-07-26,12.92,12.5,-2.72,0.54,83967,0.34,0.0,,,,-6.02,32.7,,8.83,,,-6.02
2024-07-29,12.5,12.78,2.24,0.0,205120,1.23,-1.69,,,,-3.91,35.3,,8.41,,,-3.91
2024-07-30,12.96,11.95,-6.49,1.41,262538,1.61,-5.16,-10.15,,,-10.15,31.5,6.15,9.13,,,-10.15
2024-07-31,12.06,12.3,2.93,0.92,246979,1.53,-4.02,-1.91,,,-7.52,34.7,6.06,9.08,,,-7.52
2024-08-01,12.5,12.69,3.17,1.63,124958,0.78,-1.25,6.28,,,-4.59,38.1,5.99,8.7,,,-4.59
2024-08-02,12.5,12.98,2.29,-1.5,106095,0.7,3.84,11.42,,,-2.41,40.6,5.96,8.21,,,-2.41
2024-08-05,12.5,11.86,-8.63,-3.7,304382,1.89,-7.2,3.58,,,-10.83,34.8,6.29,9.22,,,-10.83
2024-08-06,11.86,12.26,3.37,0.0,102874,0.66,2.59,-3.84,,,-7.82,38.2,5.81,8.91,,,-7.82
2024-08-07,12.21,12.16,-0.82,-0.41,71747,0.47,-1.14,3.49,,,-8.57,37.6,5.53,8.94,,,-8.57
2024-08-08,11.78,12.21,0.41,-3.17,71337,0.48,-3.78,-5.79,,,-8.2,38.1,5.04,8.76,,,-8.2
2024-08-09,12.34,11.96,-2.05,1.06,67356,0.46,-7.86,-3.31,,,-10.08,36.6,4.96,8.86,,,-10.08
2024-08-12,11.97,11.99,0.25,0.08,115683,0.82,1.1,8.12,,,-9.85,37.0,4.36,8.73,,,-9.85
2024-08-13,12.06,12.54,4.59,0.58,53620,0.39,2.28,11.07,,,-5.71,42.6,4.45,8.16,,,-5.71
2024-08-14,12.25,12.71,1.36,-2.31,105513,0.79,4.52,14.61,,,-4.44,44.2,4.42,7.98,,,-4.44
2024-08-15,12.84,12.87,1.26,1.02,52684,0.41,5.41,2.31,,,-3.23,45.8,3.33,7.56,,,-3.23
2024-08-16,12.68,12.8,-0.54,-1.48,72052,0.56,7.02,2.32,,,-3.76,45.2,3.33,7.36,,,-3.76
2024-08-19,12.94,13.0,1.56,1.09,135992,1.03,8.42,4.0,,,-2.26,47.3,3.35,7.05,,,-2.26
2024-08-20,12.99,13.0,0.0,-0.08,141863,1.11,3.67,0.0,,,-2.26,47.3,3.23,6.72,,,-2.26
2024-08-21,12.98,12.99,-0.08,-0.15,161933,1.26,2.2,3.1,,,-2.33,47.2,3.15,6.63,,,-2.33
2024-08-22,12.99,12.89,-0.77,0.0,184261,1.38,0.16,0.59,,,-3.08,46.1,3.14,6.42,,,-3.08
2024-08-23,13.0,12.76,-1.01,0.85,157112,1.15,-0.31,-0.7,,,-4.06,44.6,3.15,6.38,,,-4.06
2024-08-26,12.8,13.0,1.88,0.31,220255,1.6,0.0,4.0,,,-2.26,48.0,3.11,6.14,,,-2.26
2024-08-27,13.05,12.6,-3.08,0.38,105629,0.81,-3.08,-1.41,,,-5.26,43.3,3.15,6.19,,,-5.26
2024-08-28,12.74,12.81,1.67,1.11,84411,0.69,-1.39,7.2,,,-3.68,46.2,2.8,5.92,,,-3.68
2024-08-29,12.82,12.77,-0.31,0.08,139978,1.14,-0.93,3.82,,,-3.98,45.8,2.74,5.73,,,-3.98
2024-08-30,12.8,12.7,-0.55,0.23,80269,0.66,-0.47,0.08,,,-4.51,44.9,2.66,5.55,,,-4.51
2024-09-03,12.79,12.2,-3.94,0.71,141657,1.25,-6.15,-6.01,,,-8.27,39.0,2.74,5.99,,,-8.27
2024-09-04,12.49,11.91,-2.38,2.38,143140,1.24,-5.48,0.42,,,-10.45,36.1,2.03,6.26,,,-10.45
2024-09-05,12.11,11.78,-1.09,1.68,131854,1.11,-8.04,-3.92,,,-11.43,34.8,1.89,6.41,,,-11.43
2024-09-06,11.89,11.96,1.53,0.93,143961,1.18,-6.34,-1.64,,,-10.08,38.0,1.92,6.08,,,-10.08
2024-09-09,12.11,11.8,-1.34,1.25,134575,1.07,-7.09,-3.36,,,-11.28,36.3,1.94,6.13,-4.8,,-11.28
2024-09-10,12.01,11.48,-2.71,1.78,44560,0.37,-5.9,-4.01,,,-13.68,33.1,1.98,6.21,-7.11,,-13.68
2024-09-11,11.36,10.93,-4.79,-1.05,63600,0.52,-8.23,-8.84,,,-17.82,28.4,2.22,6.62,-11.33,,-17.82
2024-09-12,11.05,11.26,3.02,1.1,164360,1.31,-4.41,-10.21,,,-15.34,34.4,2.06,6.62,-8.55,,-15.34
2024-09-13,11.22,11.59,2.93,-0.36,110591,0.86,-3.09,-8.81,,,-12.86,39.8,2.16,6.34,-5.86,,-12.86
2024-09-16,11.76,11.05,-4.66,1.47,163640,1.23,-6.36,-14.14,,,-16.92,34.7,2.31,7.07,-10.19,,-16.92
2024-09-17,11.05,10.61,-3.98,0.0,102947,0.79,-7.58,-17.11,,,-20.23,31.3,2.42,7.55,-13.47,,-20.23
2024-09-18,10.75,11.34,6.88,1.32,225774,1.67,3.75,-12.77,,,-14.74,41.7,2.91,7.1,-7.45,,-14.74
2024-09-19,11.39,11.37,0.26,0.44,213045,1.55,0.98,-12.54,,,-14.51,42.1,2.91,6.92,-6.96,,-14.51
2024-09-20,11.53,11.47,0.88,1.41,2712844,10.27,-1.04,-11.7,,,-13.76,43.5,2.93,6.92,-6.01,,-13.76
2024-09-23,11.62,11.86,3.4,1.31,176313,0.66,7.33,-7.99,,,-10.83,48.6,3.05,6.63,-2.93,,-10.83
2024-09-24,11.86,11.45,-3.46,0.0,346188,1.28,7.92,-10.27,,,-13.91,44.1,3.13,6.92,-6.31,,-13.91
2024-09-25,11.58,11.51,0.52,1.14,197233,0.71,1.5,-11.46,,,-13.46,44.9,3.09,7.14,-5.89,,-13.46
2024-09-26,11.56,11.97,4.0,0.43,145626,0.52,5.28,-5.0,,,-10.0,50.7,3.18,6.76,-2.03,,-10.0
2024-09-27,12.13,11.16,-6.77,1.34,170719,0.61,-2.7,-12.88,-16.09,,-16.09,42.2,3.45,7.71,-8.46,,-16.09
2024-09-30,11.1,10.68,-4.3,-0.54,111814,0.4,-9.95,-16.37,-14.83,,-19.7,38.2,3.55,8.24,-12.13,,-19.7
2024-10-01,10.75,10.67,-0.09,0.66,72916,0.26,-6.81,-15.98,-10.64,,-19.77,38.1,3.55,7.94,-11.88,,-19.77
2024-10-02,10.78,10.4,-2.53,1.03,60915,0.22,-9.64,-14.75,-10.73,,-21.8,35.8,3.5,7.9,-13.79,,-21.8
2024-10-03,10.5,10.03,-3.56,0.96,89827,0.33,-16.21,-15.79,-12.4,,-24.59,33.0,3.54,7.95,-16.47,,-24.59
2024-10-04,10.11,9.74,-2.89,0.8,110852,0.41,-12.72,-17.32,-23.61,,-26.77,30.9,3.57,8.1,-18.47,,-26.77
2024-10-07,9.81,10.35,6.26,0.72,98607,0.37,-3.09,-13.46,-11.91,,-22.18,39.5,3.86,7.67,-13.05,,-22.18
2024-10-08,10.5,10.32,-0.29,1.45,77775,0.29,-3.28,-12.54,-20.37,,-22.41,39.3,3.86,7.54,-12.94,,-22.41
2024-10-09,10.37,10.49,1.65,0.48,71687,0.26,0.87,-8.62,-15.2,,-21.13,41.6,3.85,7.15,-11.29,,-21.13
2024-10-10,10.5,10.29,-1.91,0.1,84981,0.32,2.59,-5.86,-7.21,,-22.63,39.7,3.74,7.24,-12.68,,-22.63
2024-10-11,10.46,10.35,0.58,1.65,50107,0.19,6.26,-8.08,-8.33,,-22.18,40.6,3.67,6.83,-11.82,,-22.18
2024-10-14,10.44,10.32,-0.29,0.87,57930,0.22,-0.29,-10.96,-6.94,,-22.41,40.3,3.59,6.6,-11.68,,-22.41
2024-10-15,10.5,11.2,8.53,1.74,78840,0.31,8.53,1.36,-10.97,,-15.79,52.3,3.96,6.3,-4.04,,-15.79
2024-10-16,11.1,11.19,-0.09,-0.89,129029,0.51,6.67,5.47,-10.55,,-15.86,52.1,3.85,6.3,-3.95,,-15.86
2024-10-17,11.63,11.12,-0.63,3.93,47497,0.19,8.07,-1.94,-11.04,,-16.39,51.2,3.55,6.49,-4.38,,-16.39
2024-10-18,11.01,12.03,8.18,-0.99,112036,0.98,16.23,5.8,-7.46,,-9.55,61.1,3.97,6.26,3.48,,-9.55
2024-10-21,12.0,12.58,4.57,-0.25,122169,1.09,21.9,9.68,-0.16,,-5.41,65.6,4.08,6.19,8.1,,-5.41
