date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,6.45,6.45,,,776,,,,,,0.0,,,0.12,,,
2005-02-28,6.45,6.33,-2.0,-0.12,2380,,,,,,-2.0,0.0,,0.43,,,
2005-03-01,6.57,6.39,1.02,3.82,3998,,,,,,-1.0,3.7,,0.72,,,
2005-03-02,6.45,6.26,-2.02,1.01,1893,,,,,,-3.0,3.4,,1.03,,,
2005-03-03,6.04,6.33,1.03,-3.48,2711,,,,,,-2.0,7.1,,1.26,,,
2005-03-04,6.05,6.3,-0.38,-4.34,5268,,-2.37,,,,-2.37,7.0,,1.75,,,
2005-03-07,5.87,6.33,0.38,-6.79,2363,,0.0,,,,-2.0,8.5,,2.27,,,
2005-03-08,6.32,5.94,-6.12,-0.13,49595,,-7.06,,,,-8.0,6.7,,3.31,,,
2005-03-09,5.94,5.8,-2.32,0.0,2939,,-7.35,,,,-10.13,6.1,,3.44,,,
2005-03-10,5.86,5.79,-0.14,0.98,2089,,-8.42,,,,-10.25,6.1,,3.46,,,
2005-03-11,5.91,6.03,4.04,2.09,926,,-4.36,,,,-6.63,18.4,,3.36,,,
2005-03-14,5.98,5.84,-3.08,-0.8,12187,,-7.65,,,,-9.5,16.6,,3.58,,,
2005-03-15,5.75,5.72,-2.07,-1.52,2791,,-3.67,,,,-11.37,15.5,,3.58,,,
2005-03-16,5.66,5.69,-0.57,-0.99,462,,-1.95,,,,-11.88,15.2,,3.42,,,
2005-03-17,5.81,5.42,-4.68,2.13,12920,,-6.4,,,,-16.0,13.0,,3.9,,,
2005-03-18,5.52,5.53,2.08,1.78,3693,,-8.16,,,,-14.25,18.3,,3.7,,,
2005-03-21,5.44,5.53,0.0,-1.75,9504,,-5.25,,,,-14.25,18.3,,3.63,,,
2005-03-22,5.4,5.84,5.54,-2.48,20573,,2.12,,,,-9.5,31.5,,4.47,,,
2005-03-23,5.87,5.83,-0.28,0.55,15593,,2.41,,,,-9.75,31.2,,4.59,,,
2005-03-24,6.05,6.11,4.85,3.88,2635,0.34,12.65,,,,-5.38,41.2,,4.4,,,-5.38
2005-03-28,5.74,6.13,0.4,-5.95,7519,0.93,10.78,,,,-5.0,42.0,,4.76,,,-5.0
2005-03-29,6.13,5.85,-4.6,0.0,17156,1.94,5.68,-9.37,,,-9.37,36.0,3.01,5.24,,,-9.37
2005-03-30,5.65,5.74,-1.8,-3.45,11721,1.27,-1.66,-9.19,,,-11.0,34.0,3.01,5.28,,,-11.0
