date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,14.97,15.5,7.12,3.46,7845000,1.61,7.12,1.64,79.81,80.23,0.0,62.7,3.53,4.87,18.8,55.47,-2.76
2000-01-04,15.12,14.62,-5.68,-2.45,6296000,1.36,1.67,-7.17,63.53,70.79,-5.68,53.7,3.67,5.23,11.17,46.16,-8.28
2000-01-05,14.53,15.0,2.6,-0.62,8207200,1.77,5.49,-4.58,61.12,77.73,-3.23,56.6,3.72,5.24,13.09,49.44,-5.9
2000-01-06,15.5,16.0,6.67,3.33,11494600,2.37,12.52,0.76,64.61,84.12,3.23,63.1,4.0,5.01,19.46,58.76,0.0
2000-01-07,15.4,16.25,1.56,-3.75,8545400,1.74,12.3,9.21,74.54,91.18,4.84,64.6,3.73,5.03,20.13,60.57,0.0
2000-01-10,16.75,17.5,7.69,3.08,12925600,2.46,12.9,19.13,88.58,101.38,12.9,70.7,4.02,4.95,27.8,72.12,0.0
2000-01-11,17.5,17.25,-1.43,0.0,6691000,1.24,17.99,17.99,81.58,102.23,11.29,68.1,4.04,5.08,24.57,68.89,-1.43
2000-01-12,17.0,18.12,5.04,-1.45,8829000,1.59,20.8,24.71,93.18,101.33,16.9,71.9,4.13,5.1,29.32,76.53,0.0
2000-01-13,18.38,18.88,4.19,1.43,7543400,1.34,18.0,36.71,107.02,113.33,21.81,74.7,3.93,5.04,33.08,82.95,0.0
2000-01-14,18.57,20.19,6.94,-1.64,15012200,2.47,24.25,48.89,124.33,129.95,30.26,78.7,4.02,5.01,40.35,94.48,0.0
2000-01-18,20.0,19.5,-3.42,-0.94,10877800,1.71,11.43,32.2,122.1,125.43,25.81,72.3,3.86,5.28,33.91,86.78,-3.42
2000-01-19,19.88,19.59,0.46,1.95,8926800,1.36,13.57,36.04,127.26,133.77,26.39,72.6,3.77,5.65,32.84,86.59,-2.97
2000-01-20,21.75,19.5,-0.46,11.03,28851200,3.71,7.62,33.38,137.23,129.41,25.81,71.7,3.8,6.57,30.65,84.71,-3.42
2000-01-21,19.57,18.94,-2.87,0.36,11723400,1.42,0.32,26.01,122.82,132.39,22.19,66.3,3.9,6.85,25.52,78.49,-6.19
2000-01-24,18.62,17.25,-8.92,-1.69,10275400,1.19,-14.56,19.79,82.73,114.02,11.29,53.3,4.34,7.94,13.31,61.84,-14.56
2000-01-25,17.28,20.0,15.94,0.17,10809000,1.19,2.56,39.76,113.9,144.2,29.03,65.3,5.41,7.43,29.92,86.58,-0.94
2000-01-26,18.82,18.5,-7.5,-5.9,7607800,0.81,-5.56,27.85,94.12,123.43,19.35,56.8,5.77,8.12,19.5,71.7,-8.37
2000-01-27,19.0,18.47,-0.16,2.7,6172200,0.64,-5.28,28.44,93.2,119.88,19.16,56.6,5.77,7.97,18.51,70.56,-8.52
2000-01-28,18.59,17.62,-4.6,0.65,6871200,0.7,-6.97,23.91,91.11,101.37,13.68,52.1,5.89,8.44,12.36,61.94,-12.73
2000-01-31,17.62,18.0,2.16,0.0,4293800,0.43,4.35,26.58,89.47,107.13,16.13,53.9,5.89,8.03,14.1,64.69,-10.85
2000-02-01,18.25,18.28,1.56,1.39,5117600,0.52,-8.6,26.33,84.65,115.06,17.94,55.2,5.89,7.68,15.11,66.49,-9.46
2000-02-02,18.16,18.03,-1.37,-0.66,4085400,0.42,-2.54,16.32,77.64,116.97,16.32,53.7,5.76,7.43,12.9,63.46,-10.7
2000-02-03,18.38,19.5,8.15,1.94,9526000,0.97,5.58,33.38,89.69,139.26,25.81,60.3,5.76,6.99,21.19,75.87,-3.42
2000-02-04,19.5,19.28,-1.13,0.0,7114400,0.74,9.42,28.53,81.03,139.21,24.39,59.0,5.78,6.89,18.97,73.04,-4.51
2000-02-07,19.28,20.66,7.16,0.0,6066000,0.64,14.78,29.12,100.39,137.74,33.29,64.4,5.81,6.52,26.38,84.41,0.0
2000-02-08,20.5,20.69,0.15,-0.77,8586000,0.93,13.18,27.32,94.82,115.07,33.48,64.5,5.81,6.53,25.52,83.69,0.0
2000-02-09,20.69,21.03,1.64,0.0,7821200,0.84,16.64,20.17,96.18,128.09,35.68,65.8,5.63,6.29,26.69,85.66,0.0
2000-02-10,21.03,21.25,1.05,0.0,6381200,0.69,8.97,23.19,101.8,124.39,37.1,66.7,5.6,6.02,26.92,86.54,0.0
