date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,4.27,4.32,,,984176,,,,,,0.0,,,3.4,,,
2005-02-28,4.29,4.29,-0.91,-0.68,1196200,,,,,,-0.91,0.0,,3.58,,,
2005-03-01,4.36,4.46,4.12,1.83,1302626,,,,,,3.17,25.7,,3.63,,,
2005-03-02,4.49,4.47,0.22,0.66,1323192,,,,,,3.4,26.8,,3.63,,,
2005-03-03,4.49,4.35,-2.64,0.44,1562728,,,,,,0.67,22.4,,3.9,,,
2005-03-04,4.41,4.37,0.46,1.35,1747161,,1.13,,,,1.13,24.7,,4.02,,,
2005-03-07,4.42,4.62,5.6,1.12,3365213,,7.78,,,,6.8,45.5,,4.05,,,
2005-03-08,4.58,4.72,2.12,-0.85,2766405,,5.71,,,,9.07,51.3,,4.13,,,
2005-03-09,4.8,4.82,2.29,1.87,6157964,,7.9,,,,11.57,56.8,,4.2,,,
2005-03-10,4.82,4.27,-11.59,0.0,5896153,,-2.02,,,,-1.36,34.9,,5.51,,,
2005-03-11,4.28,4.19,-1.84,0.23,2117503,,-4.26,,,,-3.18,33.0,,5.68,,,
2005-03-14,4.25,4.26,1.64,1.4,1427632,,-7.85,,,,-1.59,36.3,,5.37,,,
2005-03-15,4.29,4.09,-3.92,0.69,1873842,,-13.31,,,,-5.45,32.2,,5.84,,,
2005-03-16,4.08,3.93,-3.84,-0.24,3085619,,-18.5,,,,-9.07,28.8,,6.19,,,
2005-03-17,3.94,4.1,4.24,0.25,1597015,,-3.91,,,,-5.22,36.4,,5.94,,,
2005-03-18,4.12,4.07,-0.72,0.48,1796513,,-2.81,,,,-5.9,35.7,,5.92,,,
2005-03-21,4.12,4.05,-0.49,1.2,760839,,-4.84,,,,-6.35,35.2,,5.71,,,
2005-03-22,4.07,3.97,-1.94,0.49,977904,,-2.88,,,,-8.16,33.2,,5.87,,,
2005-03-23,3.97,3.88,-2.23,0.0,1619975,,-1.25,,,,-10.21,31.0,,5.92,,,
2005-03-24,3.93,3.95,1.77,1.27,733145,0.35,-3.59,,,,-8.62,34.6,,5.68,,,-18.09
2005-03-28,3.95,3.92,-0.74,0.0,1068679,0.5,-3.62,,,,-9.3,33.8,,5.6,,,-18.7
2005-03-29,3.92,3.77,-4.0,0.0,1302478,0.61,-7.02,-12.93,,,-12.93,29.8,3.72,5.79,,,-21.95
2005-03-30,3.8,3.82,1.56,1.04,947313,0.45,-3.71,-10.76,,,-11.57,33.0,3.75,5.57,,,-20.74
2005-03-31,3.81,3.78,-1.02,-0.25,1140990,0.54,-2.52,-15.16,,,-12.47,31.9,3.6,5.58,,,-21.55
2005-04-01,3.78,3.84,1.56,-0.26,1867592,0.88,-2.73,-14.03,,,-11.11,35.2,3.63,5.5,,,-20.33
2005-04-04,3.9,3.87,0.76,1.53,1163694,0.56,-1.25,-11.03,,,-10.43,36.9,3.61,5.25,,,-19.72
2005-04-05,3.95,3.89,0.51,2.03,1506514,0.76,3.38,-10.99,,,-9.98,38.0,3.61,5.24,,,-19.31
2005-04-06,4.0,3.96,1.76,2.77,946917,0.5,3.59,-14.22,,,-8.39,41.9,3.37,5.03,,,-17.89
2005-04-07,4.02,4.14,4.46,1.49,1019987,0.62,9.33,-12.26,,,-4.31,50.6,3.51,4.85,,,-14.23
2005-04-08,4.13,3.97,-4.03,-0.24,678530,0.49,3.31,-17.68,,,-8.16,43.9,3.52,5.04,,,-17.68
2005-04-11,4.03,3.93,-0.99,1.48,614154,0.47,1.52,-7.82,,,-9.07,42.5,2.53,5.0,,,-18.5
2005-04-12,3.94,3.82,-2.75,0.25,1231473,0.95,-1.77,-8.67,,,-11.57,38.8,2.56,5.23,,,-20.74
2005-04-13,3.83,3.59,-6.15,0.26,1640873,1.28,-9.41,-15.67,,,-17.01,32.2,2.8,5.76,,,-25.61
2005-04-14,3.62,3.33,-7.1,0.82,2348575,1.88,-19.43,-18.46,,,-22.9,26.9,3.06,6.68,,,-30.9
2005-04-15,3.24,3.09,-7.36,-2.94,4906529,3.47,-22.23,-21.45,,,-28.58,22.9,3.31,7.4,,,-35.98
2005-04-18,3.19,3.02,-2.22,3.18,2867635,1.95,-23.19,-26.32,,,-30.16,22.0,3.08,7.49,,,-37.4
2005-04-19,3.04,3.34,10.72,0.65,2584649,1.66,-12.56,-17.83,,,-22.67,35.8,4.06,7.12,,,-30.69
2005-04-20,3.47,3.21,-4.11,3.8,2172278,1.34,-10.65,-20.82,,,-25.85,33.1,4.12,7.88,,,-33.54
2005-04-21,3.28,3.53,10.09,2.45,1463062,0.91,5.88,-11.11,,,-18.37,43.7,4.77,7.34,,,-26.83
2005-04-22,3.49,3.25,-8.06,-1.11,1735148,1.05,5.08,-16.41,,,-24.95,38.0,5.04,8.19,,,-32.73
2005-04-25,3.37,3.32,2.42,3.93,881439,0.53,10.06,-15.88,,,-23.13,40.3,5.06,7.76,,,-31.1
2005-04-26,3.35,3.41,2.65,0.89,902871,0.55,2.04,-13.0,,,-21.09,42.9,5.11,7.39,,,-29.27
2005-04-27,3.34,3.43,0.58,-2.0,1030268,0.63,7.03,-8.85,,,-20.64,43.5,5.06,7.25,,,-28.86
2005-04-28,3.49,3.39,-1.14,1.71,1580500,0.95,-3.89,-11.28,,,-21.54,42.6,5.04,7.14,,,-29.68
2005-04-29,3.33,3.17,-6.64,-1.73,2176755,1.3,-2.41,-16.32,,,-26.76,37.5,5.22,7.94,,,-34.35
2005-05-02,3.28,3.09,-2.48,3.71,1446320,0.86,-7.08,-19.65,,,-28.58,35.9,5.21,8.29,,,-35.98
2005-05-03,3.14,3.07,-0.63,1.59,1625701,0.96,-10.05,-20.76,,,-29.03,35.5,5.19,8.13,,,-36.38
2005-05-04,3.11,3.36,9.58,1.28,3370333,1.86,-2.0,-13.6,,,-22.23,45.5,5.68,7.75,,,-30.29
2005-05-05,3.14,3.02,-10.2,-6.71,4705140,2.35,-10.98,-23.76,,,-30.16,38.1,6.02,9.12,,,-37.4
2005-05-06,3.14,3.19,5.52,3.89,1946763,0.94,0.61,-22.99,,,-26.31,42.9,6.08,8.56,-16.46,,-33.95
2005-05-09,3.15,3.2,0.31,-1.23,1538121,0.73,3.5,-19.51,,,-26.08,43.2,6.04,8.36,-15.7,,-33.74
2005-05-10,3.25,3.26,1.84,1.53,1604209,0.75,6.07,-17.21,,,-24.72,45.0,6.07,8.14,-13.68,,-32.52
2005-05-11,3.27,3.25,-0.31,0.3,1380943,0.65,-3.5,-15.13,,,-24.95,44.7,6.06,7.92,-13.39,,-32.73
2005-05-12,3.27,3.02,-6.94,0.61,4791133,2.14,0.0,-15.84,,,-30.16,39.4,6.09,8.58,-18.77,,-37.4
