date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-09-16,15.73,8.3,,,6142928,,,,,,0.0,,,107.23,,,
2022-09-19,8.4,5.9,-28.92,1.2,1139674,,,,,,-28.92,0.0,,144.32,,,
2022-09-20,5.7,11.0,86.44,-3.39,28643907,,,,,,32.53,14.0,,77.3,,,
2022-09-21,9.6,9.45,-14.09,-12.73,3518537,,,,,,13.86,13.4,,86.19,,,
2022-09-22,9.78,11.54,22.12,3.49,9096046,,,,,,39.04,18.6,,67.7,,,
2022-09-23,11.05,12.94,12.13,-4.25,13147075,,55.9,,,,55.9,22.0,,58.8,,,
2022-09-26,12.31,12.75,-1.47,-4.87,2724055,,116.1,,,,53.61,21.9,,56.86,,,
2022-09-27,12.87,11.91,-6.59,0.94,1118069,,8.27,,,,43.49,21.3,,57.64,,,
2022-09-28,11.2,10.84,-8.98,-5.96,757329,,14.71,,,,30.6,20.5,,60.12,,,
2022-09-29,10.61,9.62,-11.25,-2.12,223195,,-16.64,,,,15.9,19.6,,63.96,,,
2022-09-30,9.61,9.22,-4.11,-0.1,250722,,-28.72,,,,11.13,19.3,,62.82,,,
2022-10-03,9.0,8.83,-4.27,-2.43,194766,,-30.75,,,,6.39,19.0,,61.63,,,
2022-10-04,8.8,9.39,6.34,-0.34,248268,,-21.16,,,,13.13,20.9,,54.59,,,
2022-10-05,9.1,8.91,-5.11,-3.09,237713,,-17.8,,,,7.35,20.5,,54.1,,,
2022-10-06,9.06,8.06,-9.54,1.68,420328,,-16.22,,,,-2.89,19.7,,56.63,,,
2022-10-07,8.21,6.99,-13.28,1.86,352257,,-24.22,,,,-15.78,18.7,,62.36,,,
2022-10-10,7.13,7.49,7.15,2.0,318981,,-15.18,,,,-9.76,20.7,,55.08,,,
2022-10-11,7.69,7.2,-3.87,2.67,677998,,-23.32,,,,-13.25,20.4,,55.09,,,
2022-10-12,7.39,7.12,-1.11,2.64,133990,,-20.09,,,,-14.22,20.3,,52.52,,,
2022-10-13,7.15,6.95,-2.39,0.42,139324,0.04,-13.77,,,,-16.27,20.1,,50.65,,,-46.29
2022-10-14,7.01,6.65,-4.32,0.86,161807,0.05,-4.86,,,,-19.88,19.7,,50.07,,,-48.61
2022-10-17,6.59,6.08,-8.57,-0.9,273256,0.09,-18.83,-26.75,,,-26.75,19.0,22.28,51.66,,,-53.01
2022-10-18,6.0,6.21,2.14,-1.32,98238,0.06,-13.75,5.25,,,-25.18,19.7,21.25,47.34,,,-52.01
2022-10-19,6.36,11.01,77.29,2.42,16282477,6.95,54.63,0.09,,,32.65,41.0,19.45,28.24,,,-14.91
2022-10-20,10.91,9.45,-14.17,-0.91,7915742,3.47,35.97,0.0,,,13.86,37.5,19.45,32.34,,,-26.97
2022-10-21,9.5,11.11,17.57,0.53,9405259,4.49,67.07,-3.73,,,33.86,43.0,19.23,27.98,,,-14.14
2022-10-24,10.89,11.65,4.86,-1.98,5012102,2.27,91.61,-9.97,,,40.36,44.7,19.09,25.93,,,-9.97
2022-10-25,11.38,11.2,-3.86,-2.32,1827449,0.81,80.35,-12.16,,,34.94,43.6,19.11,26.12,,,-13.45
2022-10-26,11.38,12.15,8.48,1.61,1458419,0.64,10.35,2.02,,,46.39,46.8,19.11,22.97,,,-6.11
2022-10-27,11.71,10.97,-9.71,-3.62,1575872,0.67,16.08,1.2,,,32.17,43.5,19.13,24.57,,,-15.22
