date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,105.2,105.8,,,53921,,,,,,0.0,,,1.04,,,
2005-02-28,105.5,106.8,0.95,-0.28,54254,,,,,,0.95,,,1.12,,,
2005-03-01,107.3,107.2,0.37,0.47,29955,,,,,,1.32,,,1.13,,,
2005-03-02,107.5,107.8,0.56,0.28,18045,,,,,,1.89,,,1.3,,,
2005-03-03,108.6,108.4,0.56,0.74,16753,,,,,,2.46,,,1.32,,,
2005-03-04,108.4,108.7,0.28,0.0,16261,,2.74,,,,2.74,,,1.43,,,
2005-03-07,109.5,111.1,2.21,0.74,31351,,4.03,,,,5.01,,,1.5,,,
2005-03-08,112.3,109.7,-1.26,1.08,23998,,2.33,,,,3.69,90.0,,1.66,,,
2005-03-09,108.9,106.5,-2.92,-0.73,23742,,-1.21,,,,0.66,72.3,,1.97,,,
2005-03-10,107.5,108.1,1.5,0.94,28038,,-0.28,,,,2.17,75.0,,2.03,,,
2005-03-11,108.9,104.2,-3.61,0.74,19916,,-4.14,,,,-1.51,59.9,,2.29,,,
2005-03-14,103.5,105.6,1.34,-0.67,15769,,-4.95,,,,-0.19,62.8,,2.29,,,
2005-03-15,105.0,104.2,-1.33,-0.57,8386,,-5.01,,,,-1.51,58.3,,2.31,,,
2005-03-16,104.1,104.5,0.29,-0.1,14572,,-1.88,,,,-1.23,59.0,,2.28,,,
2005-03-17,103.1,101.9,-2.49,-1.34,18628,,-5.74,,,,-3.69,51.1,,2.48,,,
2005-03-18,101.5,101.9,0.0,-0.39,22274,,-2.21,,,,-3.69,51.1,,2.47,,,
2005-03-21,100.3,98.2,-3.63,-1.57,19792,,-7.01,,,,-7.18,42.0,,2.73,,,
2005-03-22,98.8,100.9,2.75,0.61,26459,,-3.17,,,,-4.63,49.1,,2.78,,,
2005-03-23,103.0,104.2,3.27,2.08,28137,,-0.29,,,,-1.51,56.3,,2.8,,,
2005-03-24,106.0,102.7,-1.44,1.73,19247,0.79,0.79,,,,-2.93,52.7,,2.91,,,-7.56
2005-03-28,102.6,102.2,-0.49,-0.1,14415,0.64,0.29,,,,-3.4,51.5,,2.96,,,-8.01
2005-03-29,101.1,98.6,-3.52,-1.08,19945,0.96,0.41,-6.81,,,-6.81,43.8,2.07,3.26,,,-11.25
2005-03-30,97.8,100.2,1.62,-0.81,34135,1.63,-0.69,-6.18,,,-5.29,47.6,2.1,3.17,,,-9.81
2005-03-31,98.7,99.8,-0.4,-1.5,47362,2.11,-4.22,-6.9,,,-5.67,46.7,2.09,3.2,,,-10.17
2005-04-01,102.0,100.1,0.3,2.2,16973,0.76,-2.53,-7.14,,,-5.39,47.5,2.09,3.28,,,-9.9
2005-04-04,100.1,100.3,0.2,0.0,14817,0.66,-1.86,-7.47,,,-5.2,48.0,2.08,3.22,,,-9.72
2005-04-05,101.3,100.2,-0.1,1.0,13210,0.61,1.62,-7.82,,,-5.29,47.7,2.08,3.16,,,-9.81
2005-04-06,101.7,106.2,5.99,1.5,27101,1.25,5.99,-4.41,,,0.38,61.1,2.44,3.18,,,-4.41
2005-04-07,105.1,107.9,1.6,-1.04,24523,1.13,8.12,-1.64,,,1.98,63.9,2.46,3.13,,,-2.88
2005-04-08,107.9,111.6,3.43,0.0,30157,1.38,11.49,4.79,,,5.48,69.2,2.48,3.05,,,0.0
2005-04-11,112.5,108.4,-2.87,0.81,22513,1.03,8.08,0.28,,,2.46,60.9,2.55,3.38,,,-2.87
2005-04-12,107.4,108.9,0.46,-0.92,25070,1.12,8.68,4.51,,,2.93,61.7,2.41,3.34,,,-2.42
2005-04-13,108.4,104.3,-4.22,-0.46,10585,0.47,-1.79,-1.23,,,-1.42,51.6,2.58,3.69,,,-6.54
2005-04-14,103.8,100.5,-3.64,-0.48,17332,0.77,-6.86,-3.55,,,-5.01,45.1,2.69,4.01,,,-9.95
2005-04-15,100.4,96.2,-4.28,-0.1,21687,0.95,-13.8,-7.94,,,-9.07,39.1,2.83,4.29,,,-13.8
2005-04-18,96.6,95.9,-0.31,0.42,17692,0.78,-11.53,-5.89,,,-9.36,38.7,2.79,4.2,,,-14.07
2005-04-19,97.8,97.6,1.77,1.98,13104,0.59,-10.38,-4.22,,,-7.75,42.2,2.83,4.03,,,-12.54
2005-04-20,98.4,95.2,-2.46,0.82,15520,0.72,-8.72,-3.05,,,-10.02,38.8,2.77,4.08,,,-14.7
2005-04-21,97.1,100.0,5.04,2.0,17094,0.81,-0.5,-0.89,,,-5.48,47.8,2.92,4.09,,,-10.39
2005-04-22,101.3,97.7,-2.3,1.3,25209,1.18,1.56,-6.24,,,-7.66,44.4,2.87,4.29,,,-12.46
2005-04-25,97.0,93.9,-3.89,-0.72,28755,1.3,-2.09,-8.57,,,-11.25,39.5,2.96,4.75,,,-15.86
2005-04-26,94.8,92.0,-2.02,0.96,30649,1.35,-5.74,-9.98,,,-13.04,37.3,2.99,5.02,,,-17.56
2005-04-27,92.2,90.8,-1.3,0.22,22873,1.03,-4.62,-7.91,,,-14.18,35.9,2.91,4.93,,,-18.64
2005-04-28,90.8,87.2,-3.96,0.0,21944,1.05,-12.8,-12.97,,,-17.58,32.0,2.97,5.08,,,-21.86
2005-04-29,86.8,87.5,0.34,-0.46,21954,1.04,-10.44,-12.32,,,-17.3,32.7,2.98,4.85,,,-21.59
2005-05-02,88.4,88.2,0.8,1.03,25103,1.16,-6.07,-11.89,,,-16.64,34.3,2.99,4.8,,,-20.97
2005-05-03,90.0,87.1,-1.25,2.04,22538,1.02,-5.33,-13.16,,,-17.67,32.9,2.99,4.92,,,-21.95
2005-05-04,88.2,93.5,7.35,1.26,23614,1.08,2.97,-6.69,,,-11.63,45.8,3.46,4.86,,,-16.22
2005-05-05,94.2,92.6,-0.96,0.75,11637,0.55,6.19,-12.81,,,-12.48,44.5,3.15,4.78,,,-17.03
2005-05-06,94.3,92.5,-0.11,1.84,12587,0.62,5.71,-14.27,,,-12.57,44.4,3.11,4.64,-8.33,,-17.11
2005-05-09,93.8,95.3,3.03,1.41,24547,1.2,8.05,-14.61,,,-9.92,49.5,3.09,4.48,-5.36,,-14.61
2005-05-10,95.7,98.5,3.36,0.42,31464,1.51,13.09,-9.13,,,-6.9,54.7,3.17,4.3,-2.02,,-11.74
2005-05-11,99.1,98.8,0.3,0.61,21818,1.02,5.67,-9.27,,,-6.62,55.1,3.16,4.2,-1.56,,-11.47
2005-05-12,98.7,93.6,-5.26,-0.1,61348,2.6,1.08,-10.26,,,-11.53,46.3,3.23,5.15,-6.48,,-16.13
2005-05-13,92.9,87.7,-6.3,-0.75,39751,1.63,-5.19,-12.74,,,-17.11,38.8,3.41,5.62,-12.01,,-21.42
2005-05-16,87.3,86.0,-1.94,-0.46,39813,1.56,-9.76,-10.6,,,-18.71,36.9,3.32,5.62,-13.32,,-22.94
2005-05-17,86.4,84.8,-1.4,0.47,33206,1.25,-13.91,-11.57,,,-19.85,35.6,3.33,5.54,-14.07,,-24.01
2005-05-18,83.8,84.5,-0.35,-1.18,34092,1.24,-14.47,-13.42,,,-20.13,35.2,3.29,5.36,-13.94,,-24.28
2005-05-19,84.3,83.7,-0.95,-0.24,16877,0.61,-10.58,-12.08,,,-20.89,34.3,3.26,5.17,-14.35,,-25.0
2005-05-20,83.0,91.3,9.08,-0.84,46590,1.63,4.1,-8.7,,,-13.71,48.3,3.7,5.3,-6.26,,-18.19
