date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2024-10-02,25.48,25.27,,,11160566,,,,,,0.0,,,4.99,,,
2024-10-03,25.1,25.4,0.51,-0.67,4698385,,,,,,0.51,,,4.9,,,
2024-10-04,25.5,26.47,4.21,0.39,3640724,,,,,,4.75,,,5.01,,,
2024-10-07,26.2,25.55,-3.48,-1.02,3579826,,,,,,1.11,73.6,,5.12,,,
2024-10-08,25.44,24.75,-3.13,-0.43,3114128,,,,,,-2.06,59.0,,5.25,,,
2024-10-09,24.44,25.5,3.03,-1.25,3793019,,0.91,,,,0.91,65.8,,5.38,,,
2024-10-10,25.04,25.99,1.92,-1.8,2715545,,2.32,,,,2.85,69.4,,5.45,,,
2024-10-11,26.0,26.9,3.5,0.04,2139551,,1.62,,,,6.45,74.7,,5.23,,,
2024-10-14,26.81,28.38,5.5,-0.33,3154155,,11.08,,,,12.31,80.6,,5.1,,,
2024-10-15,28.47,28.7,1.13,0.32,2743425,,15.96,,,,13.57,81.6,,4.89,,,
2024-10-16,28.47,28.93,0.8,-0.8,2112278,,13.45,,,,14.48,82.3,,5.09,,,
2024-10-17,29.13,29.69,2.63,0.69,1674703,,14.24,,,,17.49,84.4,,4.89,,,
2024-10-18,29.7,29.3,-1.31,0.03,1828737,,8.92,,,,15.95,79.2,,4.86,,,
2024-10-21,29.09,28.96,-1.16,-0.72,2767451,,2.04,,,,14.6,74.8,,4.87,,,
2024-10-22,28.61,28.97,0.03,-1.21,1081142,,0.94,,,,14.64,74.9,,4.73,,,
2024-10-23,28.82,28.87,-0.35,-0.52,3347248,,-0.21,,,,14.25,73.5,,4.64,,,
2024-10-24,29.45,29.97,3.81,2.01,1485219,,0.94,,,,18.6,78.2,,4.47,,,
2024-10-25,30.21,29.65,-1.07,0.8,1282149,,1.19,,,,17.33,74.1,,4.56,,,
2024-10-28,29.69,30.88,4.15,0.13,964423,,6.63,,,,22.2,78.8,,4.36,,,
2024-10-29,30.91,30.81,-0.23,0.1,1493496,0.51,6.35,,,,21.92,77.9,,4.29,,,-0.23
2024-10-30,30.72,30.12,-2.24,-0.29,1004673,0.41,4.33,,,,19.19,69.8,,4.3,,,-2.46
2024-10-31,30.0,29.74,-1.26,-0.4,1101697,0.49,-0.77,17.69,,,17.69,65.7,2.58,4.31,,,-3.69
2024-11-01,30.28,30.79,3.53,1.82,957085,0.45,3.84,21.22,,,21.84,70.8,2.65,4.19,,,-0.29
2024-11-04,30.78,29.63,-3.77,-0.03,787604,0.4,-4.05,11.94,,,17.25,60.2,2.73,4.39,,,-4.05
2024-11-05,29.54,30.0,1.25,-0.3,710428,0.38,-2.63,17.42,,,18.72,62.2,2.56,4.19,,,-2.85
2024-11-06,31.29,31.0,3.33,4.3,1331079,0.77,2.92,25.25,,,22.68,66.9,2.46,4.17,,,0.0
2024-11-07,31.19,31.84,2.71,0.61,1338813,0.8,7.06,24.86,,,26.0,70.2,2.44,3.99,,,0.0
2024-11-08,32.03,33.4,4.9,0.6,1403806,0.86,8.48,28.51,,,32.17,75.2,2.58,3.96,,,0.0
2024-11-11,33.91,32.28,-3.35,1.53,1007075,0.66,8.94,20.0,,,27.74,66.6,2.71,4.32,,,-3.35
