date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2010-04-29,18.11,17.7,,,3800227,,,,,,0.0,,,7.8,,,
2010-04-30,17.75,17.91,1.19,0.28,490866,,,,,,1.19,,,7.43,,,
2010-05-03,18.0,17.9,-0.06,0.5,92023,,,,,,1.13,99.6,,7.08,,,
2010-05-04,17.99,17.33,-3.18,0.5,126142,,,,,,-2.09,81.4,,7.17,,,
2010-05-05,17.25,16.7,-3.64,-0.46,89734,,,,,,-5.65,66.8,,7.33,,,
2010-05-06,16.93,15.25,-8.68,1.38,170172,,-13.84,,,,-13.84,46.3,,8.5,,,
2010-05-07,15.25,14.5,-4.92,0.0,140930,,-19.04,,,,-18.08,39.5,,8.93,,,
2010-05-10,15.48,14.84,2.34,6.76,93259,,-17.09,,,,-16.16,43.6,,8.81,,,
2010-05-11,14.84,15.0,1.08,0.0,71442,,-13.44,,,,-15.25,45.4,,8.35,,,
2010-05-12,15.0,15.41,2.73,0.0,49134,,-7.72,,,,-12.94,49.9,,7.82,,,
2010-05-13,15.57,15.1,-2.01,1.04,33293,,-0.98,,,,-14.69,46.8,,7.66,,,
2010-05-14,15.1,14.7,-2.65,0.0,69768,,1.38,,,,-16.95,43.0,,7.55,,,
2010-05-17,14.64,14.11,-4.01,-0.41,151123,,-4.92,,,,-20.28,38.1,,7.81,,,
2010-05-18,14.11,14.45,2.41,0.0,293765,,-3.67,,,,-18.36,42.2,,7.38,,,
2010-05-19,14.25,14.75,2.08,-1.38,242500,,-4.28,,,,-16.67,45.6,,7.06,,,
2010-05-20,14.58,14.26,-3.32,-1.15,59462,,-5.56,,,,-19.44,41.3,,7.18,,,
2010-05-21,14.06,14.78,3.65,-1.4,131057,,0.54,,,,-16.5,47.0,,6.91,,,
2010-05-24,14.67,14.47,-2.1,-0.74,34607,,2.55,,,,-18.25,44.3,,6.72,,,
2010-05-25,14.12,13.85,-4.28,-2.42,171699,,-4.15,,,,-21.75,39.3,,6.89,,,
2010-05-26,13.9,13.9,0.36,0.36,241833,0.74,-5.76,,,,-21.47,39.9,,6.58,,,-22.39
