date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2023-07-14,21.5,21.23,,,4710213,,,,,,0.0,,,9.28,,,
2023-07-17,20.4,20.8,-2.03,-3.91,417934,,,,,,-2.03,0.0,,9.39,,,
2023-07-18,20.8,20.7,-0.48,0.0,306222,,,,,,-2.5,0.0,,9.2,,,
2023-07-19,20.46,20.45,-1.21,-1.16,212556,,,,,,-3.67,0.0,,8.92,,,
2023-07-20,20.41,20.41,-0.2,-0.2,92823,,,,,,-3.86,0.0,,8.57,,,
2023-07-21,20.69,20.4,-0.05,1.37,276430,,-3.91,,,,-3.91,0.0,,8.16,,,
2023-07-24,20.4,20.32,-0.39,0.0,162226,,-2.31,,,,-4.29,0.0,,7.77,,,
2023-07-25,20.16,20.66,1.67,-0.79,80241,,-0.19,,,,-2.68,7.4,,7.49,,,
2023-07-26,20.51,21.03,1.79,-0.73,101403,,2.84,,,,-0.94,14.9,,7.15,,,
2023-07-27,21.07,21.29,1.24,0.19,241449,,4.31,,,,0.28,19.7,,6.86,,,
2023-07-28,21.5,20.75,-2.54,0.99,298841,,1.72,,,,-2.26,17.5,,6.95,,,
2023-07-31,20.62,21.4,3.13,-0.63,72812,,5.31,,,,0.8,28.1,,6.61,,,
2023-08-01,21.18,21.43,0.14,-1.03,47576,,3.73,,,,0.94,28.5,,6.45,,,
2023-08-02,21.64,20.81,-2.89,0.98,153889,,-1.05,,,,-1.98,25.0,,6.72,,,
2023-08-03,20.51,21.12,1.49,-1.44,127564,,-0.8,,,,-0.52,29.7,,6.44,,,
2023-08-04,20.88,20.7,-1.99,-1.14,81219,,-0.24,,,,-2.5,27.2,,6.4,,,
2023-08-07,20.68,20.5,-0.97,-0.1,202620,,-4.21,,,,-3.44,26.1,,6.16,,,
2023-08-08,21.13,21.46,4.68,3.07,162431,,0.14,,,,1.08,39.0,,5.96,,,
2023-08-09,21.65,21.62,0.75,0.89,124252,,3.89,,,,1.84,40.9,,5.75,,,
2023-08-10,21.76,21.95,1.53,0.65,201886,0.5,3.93,,,,3.39,44.6,,5.59,,,0.0
2023-08-11,21.78,21.67,-1.28,-0.77,118570,0.68,4.69,,,,2.07,42.2,,5.71,,,-1.28
2023-08-14,21.81,22.55,4.06,0.65,120915,0.76,10.0,6.22,,,6.22,51.2,2.08,5.71,,,0.0
2023-08-15,22.36,22.22,-1.46,-0.84,108380,0.73,3.54,6.83,,,4.66,48.2,2.05,5.56,,,-1.46
2023-08-16,22.06,23.19,4.37,-0.72,194596,1.31,7.26,12.03,,,9.23,56.4,2.22,5.34,,,0.0
