date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2023-09-14,56.1,63.59,,,130534500,,,,,,0.0,,,16.89,,,
2023-09-15,68.63,60.75,-4.47,7.93,74753091,,,,,,-4.47,0.0,,17.39,,,
2023-09-18,57.95,58.0,-4.53,-4.61,34571903,,,,,,-8.79,0.0,,17.62,,,
2023-09-19,56.25,55.17,-4.88,-3.02,18308644,,,,,,-13.24,0.0,,17.73,,,
2023-09-20,55.17,52.91,-4.1,0.0,16369470,,,,,,-16.8,0.0,,17.69,,,
2023-09-21,51.78,52.16,-1.42,-2.14,15010920,,-17.97,,,,-17.97,0.0,,17.08,,,
2023-09-22,52.9,51.32,-1.61,1.42,8430168,,-15.52,,,,-19.3,0.0,,16.48,,,
2023-09-25,51.12,54.44,6.08,-0.39,12896541,,-6.14,,,,-14.39,8.7,,15.01,,,
2023-09-26,53.93,53.52,-1.69,-0.94,6283544,,-2.99,,,,-15.84,8.5,,14.42,,,
2023-09-27,54.4,52.99,-0.99,1.64,6866740,,0.15,,,,-16.67,8.3,,13.88,,,
2023-09-28,53.5,55.49,4.72,0.96,8765755,,6.38,,,,-12.74,15.4,,12.78,,,
2023-09-29,56.21,53.52,-3.55,1.3,7810025,,4.29,,,,-15.84,14.4,,12.79,,,
2023-10-02,53.48,52.26,-2.35,-0.08,8857088,,-4.0,,,,-17.82,13.9,,12.48,,,
2023-10-03,51.96,51.57,-1.32,-0.57,4687735,,-3.64,,,,-18.9,13.5,,11.94,,,
2023-10-04,51.97,53.46,3.66,0.78,6206459,,0.89,,,,-15.93,19.1,,11.03,,,
2023-10-05,53.9,52.51,-1.78,0.82,2984420,,-5.37,,,,-17.42,18.5,,10.68,,,
2023-10-06,52.72,54.08,2.99,0.4,4009236,,1.05,,,,-14.96,23.1,,9.98,,,
2023-10-09,54.4,54.25,0.31,0.59,7197706,,3.81,,,,-14.69,23.6,,9.56,,,
2023-10-10,55.24,55.71,2.69,1.82,5138144,,8.03,,,,-12.39,27.9,,8.85,,,
2023-10-11,56.17,54.68,-1.85,0.83,4454722,0.23,2.28,,,,-14.01,26.8,,8.63,,,-14.01
2023-10-12,54.75,51.85,-5.18,0.13,7323145,0.56,-1.26,,,,-18.46,23.8,,8.91,,,-18.46
