date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2026-04-16,38.0,38.75,,,19256395,,,,,,0.0,,,9.81,,,
2026-04-17,37.67,38.0,-1.94,-2.79,3822488,,,,,,-1.94,0.0,,9.63,,,
2026-04-20,38.0,37.65,-0.92,0.0,2202288,,,,,,-2.84,0.0,,9.27,,,
2026-04-21,37.65,37.75,0.27,0.0,2092624,,,,,,-2.58,1.1,,8.95,,,
2026-04-22,38.32,36.26,-3.95,1.51,4785905,,,,,,-6.43,0.9,,9.22,,,
2026-04-23,36.26,37.25,2.73,0.0,1485945,,-3.87,,,,-3.87,10.2,,8.67,,,
2026-04-24,37.37,35.0,-6.04,0.32,1507587,,-7.89,,,,-9.68,8.3,,9.05,,,
2026-04-27,35.0,35.23,0.66,0.0,1315251,,-6.43,,,,-9.08,10.1,,8.62,,,
2026-04-28,35.0,35.04,-0.54,-0.65,592238,,-7.18,,,,-9.57,10.0,,8.27,,,
2026-04-29,35.0,35.15,0.31,-0.11,979243,,-3.06,,,,-9.29,10.9,,7.81,,,
2026-04-30,35.06,35.0,-0.43,-0.26,725751,,-6.04,,,,-9.68,10.8,,7.56,,,
2026-05-01,35.0,35.13,0.37,0.0,698715,,0.37,,,,-9.34,12.1,,7.16,,,
2026-05-04,35.13,35.26,0.37,0.0,585975,,0.09,,,,-9.01,13.4,,6.8,,,
2026-05-05,34.99,35.46,0.57,-0.77,535651,,1.2,,,,-8.49,15.6,,6.44,,,
2026-05-06,35.0,35.0,-1.3,-1.3,555070,,-0.43,,,,-9.68,14.7,,6.27,,,
2026-05-07,35.0,35.03,0.09,0.0,409940,,0.09,,,,-9.6,15.0,,5.95,,,
2026-05-08,35.03,35.1,0.2,0.0,751171,,-0.09,,,,-9.42,15.9,,5.78,,,
2026-05-11,35.4,38.56,9.86,0.85,2242212,,9.36,,,,-0.49,45.2,,5.63,,,
2026-05-12,38.56,36.26,-5.96,0.0,932002,,2.26,,,,-6.43,36.2,,6.21,,,
2026-05-13,36.72,35.4,-2.37,1.27,722619,0.31,1.14,,,,-8.65,33.5,,6.3,,,-8.65
2026-05-14,35.51,36.1,1.98,0.31,684984,0.5,3.05,,,,-6.84,37.5,,5.99,,,-6.84
2026-05-15,36.13,34.59,-4.18,0.08,832358,0.68,-1.45,-10.74,,,-10.74,32.9,3.33,6.14,,,-10.74
2026-05-18,34.85,34.05,-1.56,0.75,1002803,0.86,-11.7,-10.39,,,-12.13,31.4,3.33,6.09,,,-12.13
2026-05-19,33.68,34.14,0.26,-1.09,349966,0.32,-5.85,-9.32,,,-11.9,31.9,3.33,5.91,,,-11.9
2026-05-20,34.31,34.58,1.27,0.5,290377,0.34,-2.33,-8.41,,,-10.77,34.7,3.35,5.63,,,-10.77
2026-05-21,34.4,34.59,0.04,-0.51,280309,0.35,-4.18,-4.61,,,-10.74,34.8,3.24,5.48,,,-10.74
2026-05-22,34.75,34.8,0.61,0.46,321488,0.43,0.61,-6.58,,,-10.19,36.2,3.18,5.19,,,-10.19
2026-05-26,35.3,39.53,13.59,1.44,2015880,2.6,16.09,12.94,,,2.01,58.6,4.14,5.21,,,0.0
2026-05-27,39.79,39.75,0.56,0.66,1449738,1.77,16.43,12.83,,,2.58,59.3,4.14,5.23,,,0.0
2026-05-28,39.4,46.83,17.81,-0.88,2941551,3.21,35.44,33.65,,,20.85,74.5,5.57,5.59,,,0.0
2026-05-29,46.32,44.93,-4.06,-1.09,980924,1.06,29.89,27.82,,,15.95,67.3,5.7,6.02,,,-4.06
2026-06-01,45.65,43.1,-4.07,1.6,705344,0.76,23.85,23.14,,,11.23,61.1,5.81,6.44,,,-7.96
2026-06-02,43.37,42.84,-0.6,0.63,642075,0.69,8.37,21.95,,,10.55,60.2,5.82,6.26,,,-8.52
2026-06-03,42.26,41.33,-3.52,-1.35,1008984,1.06,3.97,17.21,,,6.66,55.4,5.9,6.43,,,-11.74
2026-06-04,41.33,41.98,1.57,0.0,840135,0.87,-10.36,18.39,,,8.34,57.0,5.9,6.42,,,-10.36
2026-06-05,41.64,39.41,-6.12,-0.81,1262429,1.25,-12.29,12.6,,,1.7,49.5,6.09,6.99,,,-15.84
2026-06-08,39.69,40.61,3.04,0.7,876950,0.86,-5.78,15.93,,,4.8,52.6,6.11,6.63,,,-13.28
2026-06-09,40.59,40.77,0.39,-0.05,780147,0.82,-4.83,16.15,,,5.21,53.1,6.11,6.6,,,-12.94
2026-06-10,40.77,40.04,-1.79,0.0,580452,0.63,-3.12,3.84,,,3.33,50.8,5.77,6.68,,,-14.5
2026-06-11,40.3,41.38,3.35,0.65,844343,0.9,-1.43,14.12,,,6.79,54.6,5.62,6.43,,,-11.64
2026-06-12,41.88,40.98,-0.95,1.21,749766,0.8,4.0,15.78,,,5.77,53.3,5.59,6.39,,,-12.48
2026-06-15,41.81,40.97,-0.04,2.01,417226,0.45,0.89,13.49,,,5.73,53.2,5.58,6.21,,,-12.51
2026-06-16,40.97,41.16,0.46,0.0,450500,0.51,0.96,18.99,,,6.22,53.8,5.47,6.06,,,-12.11
2026-06-17,41.5,40.45,-1.72,0.83,579867,0.64,1.02,18.8,,,4.39,51.2,5.47,6.11,,,-13.62
2026-06-18,40.41,43.61,7.81,-0.1,5180722,4.52,5.39,27.74,,,12.54,60.6,5.67,5.98,,,-6.88
2026-06-22,43.98,46.06,5.62,0.85,1394410,1.16,12.38,33.22,,,18.86,66.0,5.75,5.85,,,-1.64
2026-06-23,44.07,45.35,-1.54,-4.32,860443,0.7,10.69,31.11,,,17.03,63.3,5.78,6.13,,,-3.16
2026-06-24,45.04,43.09,-4.98,-0.68,1113926,0.94,4.69,23.82,,,11.2,55.4,5.94,6.41,,,-7.99
2026-06-25,43.84,44.24,2.67,1.74,1317046,1.12,9.37,11.92,,,14.17,58.3,5.24,6.33,,,-5.53
2026-06-26,44.11,44.34,0.23,-0.29,3028365,2.56,1.67,11.55,,,14.43,58.5,5.24,6.17,14.4,,-5.32
2026-06-29,44.47,46.0,3.74,0.29,2106824,1.7,-0.13,-1.77,,,18.71,62.5,3.57,6.11,18.24,,-1.77
2026-06-30,46.15,46.14,0.3,0.33,1710125,1.33,1.74,2.69,,,19.07,62.8,3.45,6.27,18.11,,-1.47
2026-07-01,46.04,46.55,0.89,-0.22,2587812,1.87,8.03,8.0,,,20.13,63.8,3.31,6.06,18.62,,-0.6
