date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-01-28,21.5,18.83,,,3659936,,,,,,0.0,,,18.22,,,
2015-01-29,18.71,20.0,6.21,-0.64,581182,,,,,,6.21,,,16.45,,,
2015-01-30,19.76,19.83,-0.85,-1.2,146296,,,,,,5.31,98.9,,15.75,,,
2015-02-02,19.85,19.08,-3.78,0.1,148738,,,,,,1.33,94.0,,15.53,,,
2015-02-03,19.04,18.99,-0.47,-0.21,69783,,,,,,0.85,93.4,,14.77,,,
2015-02-04,18.5,18.31,-3.58,-2.58,236646,,-2.76,,,,-2.76,88.7,,15.0,,,
2015-02-05,18.8,17.91,-2.18,2.68,82410,,-10.45,,,,-4.89,86.0,,14.68,,,
2015-02-06,17.76,18.0,0.47,-0.84,135738,,-9.25,,,,-4.43,86.1,,13.85,,,
2015-02-09,17.81,18.05,0.31,-1.03,80048,,-5.4,,,,-4.14,86.2,,13.15,,,
2015-02-10,18.16,18.27,1.22,0.6,73391,,-3.79,,,,-2.97,86.5,,12.42,,,
2015-02-11,18.04,18.05,-1.2,-1.25,11749,,-1.42,,,,-4.14,84.6,,11.83,,,
2015-02-12,18.15,18.0,-0.28,0.55,47126,,0.5,,,,-4.41,84.2,,11.22,,,
2015-02-13,17.99,17.98,-0.11,-0.06,33446,,-0.08,,,,-4.51,84.0,,10.47,,,
2015-02-17,17.94,17.96,-0.11,-0.22,41172,,-0.5,,,,-4.62,83.8,,9.81,,,
2015-02-18,17.95,18.0,0.22,-0.06,58328,,-1.48,,,,-4.41,83.9,,9.15,,,
2015-02-19,17.9,19.3,7.22,-0.56,85803,,6.93,,,,2.5,86.3,,8.47,,,
2015-02-20,19.61,19.34,0.21,1.61,34519,,7.44,,,,2.71,86.4,,8.04,,,
2015-02-23,19.92,18.2,-5.89,3.0,117384,,1.22,,,,-3.35,74.9,,8.7,,,
2015-02-24,18.21,18.48,1.54,0.05,71453,,2.9,,,,-1.86,75.7,,8.21,,,
2015-02-25,18.97,18.36,-0.65,2.65,80649,0.28,2.0,,,,-2.5,74.5,,8.0,,,-8.2
2015-02-26,18.55,18.4,0.22,1.03,20110,0.19,-4.66,,,,-2.28,74.7,,7.58,,,-8.0
2015-02-27,18.49,17.73,-3.64,0.49,61477,0.75,-8.32,-5.84,,,-5.84,67.9,2.97,7.69,,,-11.35
2015-03-02,18.0,17.97,1.35,1.52,42200,0.55,-1.26,-10.15,,,-4.57,69.0,2.61,7.22,,,-10.15
2015-03-03,17.9,18.0,0.17,-0.39,12000,0.17,-2.6,-9.23,,,-4.41,69.1,2.61,6.77,,,-10.0
2015-03-04,17.97,18.0,0.0,-0.17,19000,0.28,-1.96,-5.66,,,-4.41,69.1,2.5,6.44,,,-10.0
2015-03-05,18.15,17.98,-0.11,0.83,10200,0.18,-2.28,-5.32,,,-4.51,68.9,2.5,6.07,,,-10.1
2015-03-06,18.0,17.91,-0.39,0.11,46200,0.85,1.02,-2.18,,,-4.89,68.0,2.38,5.84,,,-10.45
2015-03-09,17.7,17.85,-0.34,-1.17,213600,3.68,-0.67,-0.34,,,-5.2,67.2,2.33,5.91,,,-10.75
2015-03-10,17.41,17.67,-1.01,-2.46,52400,0.93,-1.83,-1.81,,,-6.16,64.7,2.34,5.76,,,-11.65
2015-03-11,17.42,17.7,0.17,-1.41,35500,0.65,-1.67,-1.94,,,-6.0,64.9,2.34,5.73,,,-11.5
2015-03-12,18.05,18.1,2.26,1.98,37800,0.67,0.67,-0.93,,,-3.88,68.0,2.38,5.36,,,-9.5
2015-03-13,18.11,17.8,-1.66,0.06,19100,0.35,-0.61,-1.39,,,-5.47,63.5,2.39,5.29,,,-11.0
2015-03-16,17.23,18.19,2.19,-3.2,11100,0.21,1.9,1.06,,,-3.4,66.6,2.44,5.21,,,-9.05
2015-03-17,18.17,17.86,-1.81,-0.11,17400,0.33,1.08,-0.67,,,-5.15,61.9,2.47,5.34,,,-10.7
2015-03-18,17.87,18.31,2.52,0.06,20800,0.41,3.45,1.95,,,-2.76,65.5,2.53,5.02,,,-8.45
2015-03-19,18.87,18.17,-0.76,3.06,8400,0.18,0.39,0.94,,,-3.51,63.5,2.54,5.03,,,-9.15
