date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-11-12,9.78,9.78,,,1000,,,,,,0.0,,,0.0,,,
2019-11-13,9.78,9.78,0.0,0.0,393001,,,,,,0.0,,,0.01,,,
2019-11-18,9.79,9.79,0.1,0.1,1600100,,,,,,0.1,,,0.04,,,
2019-11-19,9.79,9.8,0.1,0.0,532701,,,,,,0.2,,,0.06,,,
2019-11-20,9.82,9.82,0.2,0.2,100,,,,,,0.41,,,0.07,,,
2019-11-21,9.82,9.83,0.1,0.0,523500,,0.51,,,,0.51,,,0.07,,,
2019-11-22,9.85,9.83,0.0,0.2,248797,,0.51,,,,0.51,,,0.08,,,
2019-11-25,9.84,9.83,-0.0,0.1,882,,0.41,,,,0.51,99.2,,0.08,,,
2019-11-26,9.83,9.83,0.0,0.0,3608,,0.31,,,,0.51,99.2,,0.07,,,
2019-11-29,9.81,9.82,-0.12,-0.2,60882,,-0.02,,,,0.39,74.1,,0.08,,,
2019-12-02,9.82,9.83,0.12,0.02,6500,,0.0,,,,0.51,79.6,,0.09,,,
2019-12-04,9.83,9.85,0.2,0.0,316041,,0.2,,,,0.72,85.4,,0.14,,,
2019-12-06,9.85,9.85,-0.0,-0.0,450,,0.21,,,,0.71,85.3,,0.13,,,
2019-12-09,9.83,9.83,-0.2,-0.2,31796,,0.0,,,,0.51,64.2,,0.13,,,
2019-12-10,9.83,9.83,0.0,0.0,109200,,0.12,,,,0.51,64.2,,0.12,,,
2019-12-12,9.83,9.84,0.1,0.0,155182,,0.1,,,,0.61,68.7,,0.12,,,
2019-12-16,9.85,9.85,0.1,0.1,4448,,0.0,,,,0.72,72.5,,0.12,,,
2019-12-17,9.85,9.86,0.1,0.0,100392,,0.1,,,,0.82,75.6,,0.13,,,
2019-12-18,9.85,9.85,-0.1,-0.1,43318,,0.2,,,,0.72,67.3,,0.12,,,
2019-12-19,9.87,9.87,0.2,0.2,2800,0.01,0.41,,,,0.92,73.6,,0.13,,,0.0
2020-01-03,9.87,9.89,0.2,0.0,105006,0.5,0.51,,,,0.0,78.1,,0.13,,,0.0
2020-01-06,9.9,9.89,0.0,0.1,127300,0.64,0.41,1.12,,,0.0,78.1,0.11,0.13,,,0.0
2020-01-07,9.92,9.92,0.3,0.3,200,0.0,0.61,1.43,,,0.3,83.1,0.12,0.14,,,0.0
2020-01-09,9.92,9.92,0.0,0.0,50000,0.53,0.71,1.33,,,0.3,83.1,0.12,0.13,,,0.0
2020-01-10,9.92,9.9,-0.2,0.0,253200,2.36,0.3,1.02,,,0.1,70.6,0.14,0.14,,,-0.2
2020-01-14,9.92,9.94,0.4,0.2,49273,0.59,0.51,1.22,,,0.51,77.8,0.15,0.16,,,0.0
2020-01-15,9.95,9.94,0.0,0.1,35282,0.48,0.51,1.12,,,0.51,77.8,0.15,0.16,,,0.0
2020-01-16,9.95,9.95,0.1,0.1,154249,1.92,0.3,1.22,,,0.61,79.3,0.15,0.16,,,0.0
2020-01-17,9.95,9.95,0.0,0.0,50100,0.61,0.3,1.22,,,0.61,79.3,0.15,0.14,,,0.0
2020-01-21,9.97,9.98,0.3,0.2,101704,1.2,0.81,1.53,,,0.91,83.1,0.16,0.16,,,0.0
2020-01-22,10.0,10.0,0.2,0.2,26103,0.3,0.6,1.85,,,1.11,85.1,0.16,0.16,,,0.0
2020-01-23,10.0,9.99,-0.1,0.0,226300,2.78,0.5,1.63,,,1.01,80.0,0.16,0.16,,,-0.1
2020-01-24,10.0,9.99,0.0,0.1,246447,2.63,0.4,1.42,,,1.01,80.0,0.16,0.16,,,-0.1
2020-01-27,9.99,9.99,0.0,0.0,105400,1.08,0.4,1.42,,,1.01,80.0,0.16,0.15,,,-0.1
2020-01-28,10.04,10.04,0.5,0.5,400,0.0,0.6,2.14,,,1.52,85.5,0.17,0.18,,,0.0
2020-01-29,10.02,10.01,-0.3,-0.2,1600,0.02,0.1,1.83,,,1.21,72.7,0.19,0.19,,,-0.3
2020-01-31,10.0,10.0,-0.1,-0.1,200,0.0,0.1,1.63,,,1.11,69.0,0.2,0.18,,,-0.4
2020-02-03,10.0,10.01,0.1,0.0,18221,0.23,0.2,1.62,,,1.21,70.6,0.2,0.17,,,-0.3
2020-02-04,10.0,10.0,-0.1,-0.1,3400,0.04,0.1,1.42,,,1.11,66.8,0.2,0.17,,,-0.4
2020-02-05,10.0,10.0,0.0,0.0,300,0.0,-0.4,1.52,,,1.11,66.8,0.2,0.16,,,-0.4
2020-02-07,10.01,10.0,0.0,0.1,1421,0.02,-0.1,1.32,,,1.11,66.8,0.2,0.15,,,-0.4
2020-02-10,10.0,10.01,0.1,0.0,121303,1.68,0.1,1.21,,,1.21,68.9,0.19,0.16,,,-0.3
