date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-06-10,15.75,16.0,,,6091428,,,,,,0.0,,,4.5,,,
2016-06-13,16.0,16.25,1.56,0.0,698666,,,,,,1.56,,,4.38,,,
2016-06-14,16.11,16.07,-1.11,-0.86,295866,,,,,,0.44,94.8,,4.36,,,
2016-06-15,16.19,16.13,0.37,0.75,201569,,,,,,0.81,94.8,,4.17,,,
2016-06-16,16.18,16.1,-0.19,0.31,205038,,,,,,0.63,93.9,,4.16,,,
2016-06-17,16.1,16.0,-0.62,0.0,167742,,0.0,,,,0.0,90.7,,4.0,,,
2016-06-20,16.08,16.52,3.25,0.5,497620,,1.66,,,,3.25,92.2,,3.96,,,
2016-06-21,16.45,16.16,-2.18,-0.42,134480,,0.56,,,,1.0,82.3,,3.97,,,
2016-06-22,16.17,16.4,1.49,0.06,191215,,1.67,,,,2.5,83.6,,3.79,,,
2016-06-23,16.45,16.75,2.13,0.3,285741,,4.04,,,,4.69,85.2,,3.64,,,
2016-06-24,16.4,16.07,-4.06,-2.09,379884,,0.44,,,,0.44,70.4,,3.84,,,
2016-06-27,16.0,15.83,-1.49,-0.44,335478,,-4.18,,,,-1.06,66.0,,4.05,,,
2016-06-28,16.0,16.04,1.33,1.07,255988,,-0.74,,,,0.25,67.9,,3.9,,,
2016-06-29,16.1,16.05,0.06,0.37,108430,,-2.13,,,,0.31,68.0,,3.75,,,
2016-06-30,16.09,16.0,-0.31,0.25,126203,,-4.48,,,,0.0,67.0,,3.6,,,
2016-07-01,16.09,16.85,5.31,0.56,77077,,4.85,,,,5.31,74.1,,3.55,,,
2016-07-05,16.94,16.39,-2.73,0.53,324097,,3.54,,,,2.44,65.8,,3.74,,,
2016-07-06,16.39,15.98,-2.5,0.0,262746,,-0.37,,,,-0.12,59.5,,3.86,,,
2016-07-07,16.13,16.0,0.13,0.94,578366,,-0.31,,,,0.0,59.7,,3.84,,,
2016-07-08,16.0,16.0,0.0,0.0,324511,0.56,0.0,,,,0.0,59.7,,3.62,,,-5.04
2016-07-11,16.1,16.68,4.25,0.63,470304,1.59,-1.01,,,,4.25,66.4,,3.6,,,-1.01
2016-07-12,16.86,16.93,1.5,1.08,414982,1.47,3.29,5.81,,,5.81,68.4,2.32,3.7,,,0.0
2016-07-13,17.0,16.38,-3.25,0.41,199737,0.72,2.5,0.8,,,2.37,59.7,2.42,3.93,,,-3.25
2016-07-14,16.49,16.55,1.04,0.67,162197,0.59,3.44,2.99,,,3.44,61.4,2.41,3.9,,,-2.24
2016-07-15,16.57,16.79,1.45,0.12,40459,0.15,4.94,4.09,,,4.94,63.6,2.43,3.69,,,-0.83
2016-07-18,16.7,17.01,1.31,-0.54,54266,0.21,1.98,5.65,,,6.31,65.6,2.44,3.55,,,0.0
