date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,1.4,1.36,0.0,3.16,66216,1.08,-8.58,6.54,12.15,2.22,0.0,52.1,2.33,3.45,4.59,3.89,-18.77
2000-01-04,1.36,1.36,0.0,0.0,51337,0.84,-9.18,4.92,18.89,-1.42,0.0,52.1,2.31,3.25,4.3,3.9,-18.77
2000-01-05,1.36,1.36,0.0,0.0,37200,0.6,-3.82,6.54,18.89,1.1,0.0,52.1,2.27,3.28,4.11,3.91,-18.77
2000-01-06,1.35,1.38,1.44,-0.44,54225,0.89,-2.43,8.07,22.17,2.55,1.44,55.2,2.29,3.14,5.25,5.39,-17.6
2000-01-07,1.36,1.36,-1.42,-1.42,38688,0.73,0.0,4.92,18.89,1.1,0.0,51.6,2.3,3.06,3.51,3.9,-18.77
2000-01-10,1.36,1.39,2.16,0.28,78640,1.4,2.16,8.01,31.02,-2.75,2.16,56.3,2.33,2.93,5.38,6.13,-17.01
2000-01-11,1.36,1.37,-1.41,-2.09,5952,0.11,0.72,7.73,25.11,-4.77,0.72,52.6,2.34,2.91,3.62,4.62,-18.18
2000-01-12,1.39,1.41,3.22,1.36,14850,0.29,3.97,11.2,29.15,-1.03,3.97,59.0,2.41,2.84,6.66,7.96,-15.54
2000-01-13,1.42,1.42,0.35,0.35,10418,0.21,2.85,11.15,26.76,-2.04,4.33,59.7,2.41,2.8,6.83,8.31,-15.25
2000-01-14,1.37,1.37,-3.46,-3.46,24544,0.48,0.72,2.96,22.91,-7.31,0.72,50.9,2.41,3.0,3.02,4.53,-18.18
2000-01-18,1.36,1.41,3.22,-0.51,51228,0.98,1.77,6.27,26.32,-4.95,3.97,57.0,2.5,3.21,6.18,7.85,-15.54
2000-01-19,1.41,1.43,1.38,-0.14,40147,0.8,4.65,7.35,13.62,-2.99,5.41,59.5,2.51,3.23,7.48,9.27,-14.37
2000-01-20,1.45,1.58,10.28,0.9,86943,1.78,11.8,17.52,36.43,3.2,16.24,72.1,3.31,3.39,18.05,20.37,-5.57
2000-01-21,1.48,1.59,0.62,-6.28,86848,1.71,12.11,16.96,40.26,3.85,16.96,72.7,3.31,3.69,18.26,21.01,-4.99
2000-01-24,1.61,1.53,-3.7,1.04,19310,0.41,11.82,11.03,30.0,-3.1,12.63,63.7,3.45,4.07,13.49,16.44,-8.51
2000-01-25,1.51,1.58,3.2,-1.19,131529,2.79,11.8,11.8,27.27,-3.02,16.24,67.3,3.47,4.08,16.64,20.04,-5.57
2000-01-26,1.54,1.57,-0.93,-2.72,57118,1.18,9.25,5.28,35.17,-5.34,15.16,65.2,3.32,4.02,15.16,18.79,-6.45
2000-01-27,1.57,1.45,-7.52,-0.04,36361,0.77,-8.38,-3.28,20.41,-12.2,6.5,51.4,3.73,4.62,6.28,9.79,-13.49
2000-01-28,1.4,1.51,4.41,-3.68,31984,0.68,-4.93,6.95,30.51,-9.15,11.19,56.7,3.63,4.66,10.63,14.55,-9.67
2000-01-31,1.39,1.39,-7.8,-7.8,1489,0.03,-8.97,-1.39,16.86,-12.62,2.52,46.5,4.05,5.3,1.86,5.53,-16.72
2000-02-01,1.48,1.33,-4.58,6.24,91318,1.92,-15.84,-2.17,8.4,-20.53,-2.17,42.1,4.09,6.06,-2.83,0.66,-20.53
2000-02-02,1.4,1.36,2.22,4.84,10417,0.23,-13.17,0.0,4.92,-14.77,0.0,44.7,4.12,5.84,-0.78,2.84,-18.77
2000-02-03,1.35,1.35,-1.08,-1.08,23040,0.51,-7.12,-1.08,3.79,-13.02,-1.08,43.6,4.12,5.76,-1.95,1.68,-19.65
2000-02-04,1.31,1.31,-2.55,-2.55,5204,0.12,-13.31,-3.61,0.0,-7.29,-3.61,41.2,4.16,5.67,-4.5,-0.94,-21.7
2000-02-07,1.28,1.35,2.62,-2.51,31956,0.76,-3.52,-2.49,1.11,1.11,-1.08,44.5,4.19,5.49,-2.15,1.61,-19.65
2000-02-08,1.35,1.3,-3.65,0.15,19293,0.49,-2.58,-4.69,-1.12,-11.41,-4.69,41.0,4.26,5.57,-5.79,-2.11,-22.58
2000-02-09,1.3,1.3,0.0,0.0,7419,0.19,-4.69,-6.71,0.0,-12.29,-4.69,41.0,4.22,5.17,-5.79,-2.15,-22.58
2000-02-10,1.29,1.31,1.14,-0.22,14871,0.38,-2.55,-4.3,1.14,-9.49,-3.61,42.6,4.23,4.94,-4.82,-1.07,-21.7
2000-02-11,1.31,1.24,-5.62,-0.18,30448,0.76,-5.62,-12.5,-4.9,-10.32,-9.02,37.1,4.31,5.29,-10.16,-6.66,-26.1
2000-02-14,1.26,1.26,1.98,1.55,130814,2.88,-6.21,-11.07,-5.17,-10.77,-7.22,39.9,4.35,5.29,-8.37,-4.83,-24.63
2000-02-15,1.31,1.23,-2.73,4.0,4456,0.1,-5.31,-10.4,-6.38,-13.2,-9.75,37.4,4.32,5.55,-10.78,-7.42,-26.69
2000-02-16,1.31,1.31,6.81,6.81,5947,0.14,1.14,-7.29,0.0,-9.49,-3.61,46.2,4.54,5.28,-4.75,-1.16,-21.7
2000-02-17,1.3,1.25,-4.49,-0.6,14870,0.39,-4.49,-12.66,-3.41,-18.53,-7.94,41.7,4.61,5.47,-9.0,-5.61,-25.22
2000-02-22,1.28,1.24,-1.18,2.16,54956,1.52,0.0,-21.74,-5.62,-12.5,-9.02,40.7,3.89,5.43,-9.99,-6.75,-26.1
2000-02-23,1.23,1.2,-2.78,-0.83,31953,0.87,-4.67,-24.38,-6.49,-15.81,-11.55,38.2,3.89,5.39,-12.39,-9.35,-28.15
2000-02-24,1.2,1.18,-2.04,0.08,3712,0.12,-4.0,-23.08,-7.7,-21.32,-13.36,36.6,3.85,5.27,-14.06,-11.19,-29.62
2000-02-25,1.2,1.19,1.26,1.94,11907,0.42,-8.99,-24.53,-6.53,-17.63,-12.27,38.3,3.77,4.97,-12.88,-10.04,-28.74
2000-02-28,1.2,1.24,3.7,0.54,7426,0.28,-1.18,-21.0,-0.4,-16.28,-9.02,43.4,3.92,4.7,-9.6,-6.7,-26.1
2000-03-01,1.19,1.19,-3.57,-3.57,742,0.03,-3.57,-17.63,-3.95,-15.03,-12.27,39.9,3.68,4.79,-12.66,-10.0,-28.74
2000-03-02,1.19,1.25,4.53,0.01,7441,0.29,3.68,-17.53,-3.79,-14.19,-8.3,45.6,3.69,4.57,-8.59,-5.93,-25.51
2000-03-03,1.23,1.23,-1.58,-1.58,8916,0.42,4.16,-11.97,-0.8,-13.2,-9.75,44.0,3.33,4.42,-9.9,-7.4,-26.69
2000-03-06,1.26,1.27,3.6,2.95,31173,1.4,6.58,-4.43,2.37,-3.0,-6.5,48.5,3.32,4.21,-6.55,-4.06,-24.05
2000-03-07,1.32,1.41,11.2,3.89,328903,8.74,14.28,3.97,10.77,11.2,3.97,59.8,4.12,4.66,3.84,6.62,-15.54
2000-03-08,1.35,1.38,-2.43,-4.81,69825,1.71,15.63,2.55,6.43,8.07,1.44,56.6,4.15,5.22,1.31,4.0,-17.6
2000-03-09,1.38,1.44,4.27,-0.02,183517,3.79,15.35,9.73,12.69,12.69,5.77,60.5,4.2,5.4,5.6,8.38,-14.08
2000-03-10,1.29,1.42,-1.36,-10.15,102687,1.95,15.61,5.48,11.15,7.44,4.33,58.6,4.19,5.9,4.26,6.84,-15.25
2000-03-13,1.37,1.37,-3.46,-3.46,742,0.01,7.73,5.68,5.68,7.31,0.72,54.0,4.18,5.93,0.85,3.09,-18.18
2000-03-14,1.28,1.37,0.0,-6.48,12644,0.24,-3.12,5.68,6.49,7.73,0.72,54.0,4.18,5.97,0.91,3.05,-18.18
2000-03-15,1.37,1.37,0.0,0.0,56526,1.06,-0.71,4.49,7.73,4.49,0.72,54.0,4.17,6.24,0.98,3.01,-18.18
2000-03-16,1.38,1.41,3.22,0.77,116564,2.21,-1.7,14.28,11.2,6.27,3.97,57.7,3.99,5.96,4.15,6.26,-15.54
2000-03-17,1.41,1.4,-0.7,-0.12,140496,2.36,-1.04,11.29,10.0,7.11,3.25,56.6,3.99,6.08,3.36,5.44,-16.13
2000-03-20,1.41,1.41,0.7,0.7,17818,0.3,3.22,15.21,6.27,10.77,3.97,57.5,3.92,5.66,4.0,6.09,-15.54
2000-03-21,1.38,1.46,3.47,-2.52,41636,0.68,6.81,11.6,9.96,14.61,7.58,61.6,3.72,5.49,7.45,9.66,-12.61
2000-03-22,1.41,1.41,-3.35,-3.35,51228,0.84,3.22,12.94,5.88,9.09,3.97,55.8,3.65,5.53,3.79,5.9,-15.54
2000-03-23,1.41,1.43,1.04,-0.1,127086,1.92,1.04,15.47,6.21,15.02,5.05,57.1,3.63,5.25,4.77,6.92,-14.66
2000-03-24,1.44,1.48,3.43,1.08,113120,1.58,5.24,22.86,8.66,14.01,8.66,61.2,3.58,4.95,8.23,10.47,-11.73
2000-03-27,1.46,1.51,2.0,-1.47,46761,0.64,6.6,27.92,9.26,13.29,10.83,63.5,3.51,4.75,10.16,12.55,-9.97
2000-03-28,1.48,1.52,0.97,-1.79,80983,1.05,4.03,27.56,7.64,23.01,11.91,64.6,3.51,4.72,11.06,13.52,-9.09
