date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2026-04-17,23.01,26.93,,,16686747,,,,,,0.0,,,18.42,,,
2026-04-20,30.4,33.41,24.06,12.89,14949319,,,,,,24.06,,,17.08,,,
2026-04-21,37.39,35.99,7.72,11.91,6440130,,,,,,33.64,,,15.83,,,
2026-04-22,36.4,30.17,-16.17,1.14,5444726,,,,,,12.03,93.3,,19.31,,,
2026-04-23,31.07,31.77,5.3,2.98,4655788,,,,,,17.97,93.4,,17.9,,,
2026-04-24,31.26,29.7,-6.52,-1.61,2475465,,10.29,,,,10.29,90.9,,18.52,,,
2026-04-27,29.03,33.95,14.31,-2.26,2652813,,1.62,,,,26.07,91.4,,16.43,,,
2026-04-28,32.14,29.9,-11.93,-5.33,1802008,,-16.92,,,,11.03,86.5,,18.55,,,
2026-04-29,30.07,30.79,2.98,0.57,952174,,2.06,,,,14.33,86.7,,17.23,,,
2026-04-30,31.05,30.25,-1.75,0.84,992793,,-4.78,,,,12.33,86.0,,16.86,,,
2026-05-01,29.8,27.89,-7.8,-1.49,1092803,,-6.09,,,,3.56,82.8,,17.59,,,
2026-05-04,27.65,26.87,-3.66,-0.86,1322131,,-20.85,,,,-0.22,81.4,,17.51,,,
2026-05-05,26.44,25.21,-6.18,-1.6,1775282,,-15.69,,,,-6.39,79.1,,18.02,,,
2026-05-06,24.37,26.12,3.61,-3.33,1364007,,-15.17,,,,-3.01,79.4,,16.81,,,
2026-05-07,26.07,23.83,-8.77,-0.19,970698,,-21.22,,,,-11.51,76.0,,17.99,,,
2026-05-08,24.02,25.07,5.2,0.8,1367834,,-10.11,,,,-6.91,76.6,,16.9,,,
2026-05-11,24.31,24.41,-2.63,-3.03,1220907,,-9.16,,,,-9.36,75.5,,16.71,,,
2026-05-12,25.77,28.15,15.32,5.57,3522064,,11.66,,,,4.53,77.4,,14.51,,,
2026-05-13,28.12,25.89,-8.03,-0.11,1738154,,-0.88,,,,-3.86,73.7,,15.48,,,
2026-05-14,26.1,24.15,-6.72,0.81,2292555,0.62,1.34,,,,-10.32,70.8,,16.25,,,-32.9
2026-05-15,23.36,24.87,2.98,-3.27,1021547,0.35,-0.8,,,,-7.65,71.3,,15.24,,,-30.9
2026-05-18,25.17,28.58,14.92,1.21,1955572,0.87,17.08,6.13,,,6.13,73.8,10.32,13.3,,,-20.59
2026-05-19,27.5,26.33,-7.87,-3.78,1412057,0.71,-6.47,-21.19,,,-2.23,69.9,8.98,14.13,,,-26.84
2026-05-20,26.48,26.27,-0.23,0.57,2187102,1.19,1.47,-27.01,,,-2.45,69.8,8.77,13.66,,,-27.01
2026-05-21,27.0,26.72,1.71,2.78,2378914,1.38,10.64,-11.44,,,-0.78,70.1,8.08,13.12,,,-25.76
2026-05-22,26.39,26.82,0.37,-1.24,1092393,0.66,7.84,-15.58,,,-0.41,70.2,7.98,12.7,,,-25.48
2026-05-26,27.43,28.89,7.72,2.27,1613277,1.01,1.08,-2.73,,,7.28,72.0,8.05,11.89,,,-19.73
2026-05-27,28.39,30.87,6.85,-1.73,1447434,0.91,17.24,-9.07,,,14.63,73.7,7.54,11.18,,,-14.23
2026-05-28,32.1,40.48,31.13,3.98,3838001,2.22,54.09,35.38,,,50.32,79.9,9.73,9.73,,,0.0
2026-05-29,39.68,38.47,-4.97,-1.98,2427696,1.35,43.97,24.94,,,42.85,75.8,9.83,10.32,,,-4.97
2026-06-01,37.41,38.61,0.36,-2.76,1179917,0.65,43.96,27.64,,,43.37,75.9,9.81,10.34,,,-4.62
2026-06-02,34.1,32.44,-15.98,-11.68,2191169,1.18,12.29,16.31,,,20.46,64.4,10.35,13.12,,,-19.86
2026-06-03,31.67,27.66,-14.73,-2.37,3256301,1.69,-10.4,2.94,,,2.71,57.2,10.88,15.85,,,-31.67
2026-06-04,26.49,24.61,-11.03,-4.23,8662951,3.78,-39.2,-2.38,,,-8.61,53.1,11.08,17.51,,,-39.2
2026-06-05,24.82,22.87,-7.07,0.85,4147229,1.69,-40.55,-12.44,,,-15.08,50.9,11.17,18.28,,,-43.5
2026-06-08,23.54,23.01,0.61,2.93,2110268,0.85,-40.4,-3.44,,,-14.56,51.1,10.99,17.18,,,-43.16
2026-06-09,23.4,22.2,-3.52,1.69,3814605,1.46,-31.57,-11.45,,,-17.56,49.9,10.97,17.53,,,-45.16
2026-06-10,21.7,20.35,-8.33,-2.25,1862624,0.74,-26.43,-16.63,,,-24.43,47.3,11.1,18.57,,,-49.73
2026-06-11,20.4,21.46,5.45,0.25,2241805,0.88,-12.8,-23.77,,,-20.31,49.0,10.61,16.98,,,-46.99
