date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2009-08-05,1.09,1.09,,,0,,,,,,0.0,,,0.0,,,
2009-08-06,1.2,1.17,7.87,9.99,333927352,,,,,,7.87,,,0.84,,,
2009-08-07,1.17,1.19,1.54,-0.2,33867897,,,,,,9.53,,,1.09,,,
2009-08-10,1.21,1.16,-2.78,1.21,33407558,,,,,,6.48,96.9,,1.5,,,
2009-08-11,1.16,1.14,-1.88,0.06,31813106,,,,,,4.47,94.9,,1.64,,,
2009-08-12,1.17,1.16,2.09,3.04,20027208,,6.66,,,,6.66,95.0,,1.73,,,
2009-08-13,1.16,1.2,3.44,0.0,15877183,,2.28,,,,10.33,95.2,,1.87,,,
2009-08-14,1.2,1.2,0.3,-0.31,8801107,,1.03,,,,10.66,95.2,,2.05,,,
2009-08-17,1.18,1.18,-2.29,-1.99,3510452,,1.54,,,,8.12,92.1,,2.13,,,
2009-08-18,1.19,1.24,5.24,1.6,19962663,,8.91,,,,13.78,92.7,,2.29,,,
2009-08-19,1.22,1.3,4.8,-1.35,28575602,,11.81,,,,19.25,93.2,,2.48,,,
2009-08-20,1.3,1.29,-0.73,0.35,25971856,,7.29,,,,18.38,92.1,,2.59,,,
2009-08-21,1.29,1.29,0.35,0.19,11916104,,7.35,,,,18.79,92.2,,2.55,,,
2009-08-24,1.27,1.27,-1.79,-1.67,14097375,,7.91,,,,16.67,89.2,,2.64,,,
2009-08-25,1.28,1.29,1.99,0.84,7323772,,4.58,,,,18.99,89.6,,2.56,,,
2009-08-26,1.28,1.29,0.0,-0.89,9778023,,-0.22,,,,18.99,89.6,,2.66,,,
2009-08-27,1.29,1.32,1.72,0.0,16022652,,2.25,,,,21.04,89.9,,2.68,,,
2009-08-28,1.31,1.34,1.7,-0.31,17869763,,3.62,,,,23.09,90.3,,2.84,,,
2009-08-31,1.33,1.32,-1.44,-0.62,13864632,,3.99,,,,21.33,87.3,,2.93,,,
2009-09-01,1.32,1.29,-1.92,0.29,19091404,0.57,0.0,,,,18.99,83.3,,3.37,,,-3.33
2009-09-02,1.29,1.28,-0.95,-0.52,17848227,0.52,-0.95,,,,17.86,81.4,,3.47,,,-4.25
2009-09-03,1.3,1.26,-1.29,1.65,50473375,2.52,-3.88,16.34,,,16.34,78.7,2.81,3.67,,,-5.49
2009-09-04,1.29,1.29,1.75,1.7,15987920,0.84,-3.83,9.75,,,18.38,79.7,2.3,3.57,,,-3.83
2009-09-08,1.29,1.28,-0.33,0.0,7933202,0.44,-2.75,7.73,,,17.99,78.9,2.3,3.52,,,-4.15
2009-09-09,1.29,1.25,-2.49,0.85,7606083,0.46,-3.31,8.06,,,15.05,73.5,2.28,3.61,,,-6.53
2009-09-10,1.23,1.24,-1.19,-1.46,5729522,0.36,-3.55,8.82,,,13.68,71.0,2.25,3.61,,,-7.65
2009-09-11,1.23,1.22,-1.01,-0.32,8559631,0.55,-3.27,5.51,,,12.53,68.9,2.23,3.72,,,-8.58
2009-09-14,1.21,1.21,-1.36,-1.42,22279231,1.37,-6.23,0.61,,,11.0,66.1,2.14,3.75,,,-9.82
2009-09-15,1.25,1.25,3.18,3.58,27422319,1.57,-2.93,3.5,,,14.53,69.2,2.25,3.68,,,-6.95
2009-09-16,1.26,1.27,2.31,1.28,27907827,1.57,1.85,8.38,,,17.18,71.3,2.22,3.6,,,-4.81
2009-09-17,1.28,1.21,-5.33,0.46,19959042,1.15,-2.42,-2.5,,,10.93,60.7,2.26,4.11,,,-9.88
2009-09-18,1.2,1.17,-2.66,-0.42,12417066,0.74,-4.04,-9.45,,,7.98,56.4,2.03,4.29,,,-12.28
2009-09-21,1.18,1.2,2.54,0.51,7630537,0.46,-0.26,-6.47,,,10.72,59.3,2.13,4.22,,,-10.05
2009-09-22,1.23,1.25,3.85,2.1,15372887,0.93,0.39,-3.21,,,14.98,63.3,2.31,4.08,,,-6.6
2009-09-23,1.28,1.26,0.89,2.15,7317637,0.44,-1.01,-0.58,,,16.0,64.2,2.29,3.98,,,-5.77
2009-09-24,1.26,1.27,0.51,-0.4,10745939,0.65,5.1,-2.02,,,16.59,64.8,2.25,4.13,,,-5.28
2009-09-25,1.27,1.24,-2.06,-0.04,6464196,0.4,5.75,-4.03,,,14.19,60.7,2.29,4.08,,,-7.23
2009-09-28,1.26,1.28,3.03,1.1,3222560,0.21,6.26,-2.8,,,17.65,64.2,2.36,4.0,,,-4.42
2009-09-29,1.27,1.23,-3.5,-0.57,4921944,0.33,-1.26,-7.77,,,13.53,57.6,2.43,4.23,,,-7.77
2009-09-30,1.23,1.24,0.22,-0.19,7073498,0.49,-1.91,-6.22,,,13.78,57.9,2.42,4.07,,,-7.56
2009-10-01,1.23,1.18,-4.43,-0.41,9114444,0.66,-6.73,-8.61,,,8.75,50.6,2.56,4.34,,,-11.65
2009-10-02,1.17,1.17,-1.37,-0.71,8686877,0.74,-6.07,-8.99,,,7.26,48.7,2.57,4.29,,,-12.86
2009-10-05,1.17,1.19,2.47,0.08,2605631,0.23,-6.58,-5.52,,,9.91,52.2,2.64,4.12,,,-10.71
2009-10-06,1.21,1.19,-0.12,1.53,6477126,0.58,-3.31,-7.27,,,9.78,52.0,2.6,4.16,,,-10.82
2009-10-07,1.2,1.17,-2.05,0.63,4025143,0.37,-5.5,-8.87,,,7.52,48.7,2.62,4.25,,,-12.65
2009-10-08,1.17,1.16,-0.76,-0.12,7689404,0.7,-1.88,-7.25,,,6.71,47.6,2.58,4.08,,,-13.31
2009-10-09,1.16,1.18,1.52,-0.16,12012068,1.08,0.99,-4.71,,,8.33,50.1,2.6,3.96,,,-12.0
2009-10-12,1.18,1.18,0.57,-0.19,17784066,1.63,-0.89,-3.19,,,8.94,51.1,2.6,3.83,,,-11.5
2009-10-13,1.17,1.2,1.15,-0.93,7690331,0.77,0.38,-0.73,,,10.19,53.1,2.6,3.74,,,-10.48
2009-10-14,1.22,1.22,2.0,1.87,9644334,1.07,4.53,-1.87,,,12.39,56.5,2.54,3.61,-0.61,,-8.69
2009-10-15,1.26,1.24,1.79,3.21,28867691,3.04,7.21,-2.36,,,14.41,59.4,2.52,3.74,0.91,,-7.06
2009-10-16,1.25,1.19,-4.27,0.38,17439128,1.79,1.11,-1.27,,,9.53,50.6,2.42,4.08,-3.42,,-11.02
2009-10-19,1.19,1.18,-1.16,0.18,29569816,2.73,-0.63,0.26,,,8.26,48.6,2.36,4.08,-4.52,,-12.05
2009-10-20,1.18,1.2,1.79,0.63,6747007,0.65,0.0,-0.48,,,10.19,51.7,2.32,3.94,-2.87,,-10.48
2009-10-21,1.19,1.19,-0.25,-0.96,3225031,0.32,-2.2,-4.4,,,9.91,51.3,2.15,4.01,-3.21,,-10.71
2009-10-22,1.18,1.18,-1.26,-0.95,13570350,1.31,-5.13,-6.43,,,8.53,48.8,2.15,4.16,-4.46,,-11.83
2009-10-23,1.17,1.16,-1.41,-0.93,15649617,1.45,-2.3,-8.22,,,7.0,46.2,2.15,4.13,-5.75,,-13.07
2009-10-26,1.15,1.15,-1.33,-0.88,2240052,0.21,-2.47,-7.54,,,5.58,43.8,2.13,4.03,-6.92,,-14.23
2009-10-27,1.16,1.12,-2.45,0.72,4536681,0.42,-6.54,-12.46,,,2.99,39.8,2.03,4.17,-9.12,,-16.33
2009-10-28,1.12,1.08,-3.37,0.33,8582903,0.79,-9.46,-12.35,,,-0.48,35.1,2.02,4.3,-11.97,,-19.15
2009-10-29,1.08,1.09,0.74,0.14,16328502,1.46,-7.63,-11.89,,,0.25,36.8,2.03,4.19,-11.02,,-18.56
2009-10-30,1.09,1.09,-0.25,0.4,3837560,0.35,-6.54,-8.04,,,0.0,36.5,1.83,4.06,-10.95,,-18.76
2009-11-02,1.09,1.08,-0.86,0.66,3816142,0.35,-6.09,-7.57,,,-0.86,35.3,1.82,3.98,-11.4,,-19.46
2009-11-03,1.06,1.05,-2.57,-1.31,5017695,0.46,-6.21,-12.12,-3.4,,-3.4,31.8,1.76,4.01,-13.37,,-21.53
2009-11-04,1.06,1.07,2.0,0.75,11111689,0.99,-0.99,-10.24,-8.65,,-1.47,36.8,1.85,4.09,-11.31,,-19.95
2009-11-05,1.09,1.11,3.66,1.61,3782229,0.34,1.88,-5.01,-6.75,,2.13,45.0,2.02,4.11,-7.78,,-17.03
2009-11-06,1.11,1.11,-0.2,0.0,3552651,0.33,1.93,-4.47,-4.27,,1.93,44.6,2.02,4.21,-7.65,,-17.19
2009-11-09,1.11,1.13,2.41,-0.21,3489928,0.35,5.3,-3.63,-0.07,,4.4,49.7,2.06,4.11,-5.09,,-15.19
2009-11-10,1.14,1.12,-1.35,0.19,2025299,0.21,6.62,-5.46,-3.44,,2.99,47.0,2.07,4.1,-6.06,,-16.33
2009-11-11,1.13,1.11,-0.57,0.54,2117045,0.23,3.93,-7.07,-7.19,,2.4,45.9,2.05,4.02,-6.31,,-16.81
2009-11-12,1.12,1.13,1.54,0.25,1792653,0.23,1.81,-7.48,-6.03,,3.98,49.4,2.02,3.95,-4.62,,-15.53
2009-11-13,1.13,1.13,-0.12,0.08,856913,0.12,1.89,-9.22,-3.94,,3.86,49.1,1.96,3.83,-4.52,,-15.63
2009-11-16,1.13,1.16,2.74,0.31,2151607,0.38,2.22,-2.57,-6.22,,6.71,55.1,1.88,3.76,-1.69,,-13.31
2009-11-17,1.15,1.16,0.39,-1.11,1358056,0.25,4.02,-1.04,-10.17,,7.13,55.9,1.86,3.75,-1.1,,-12.97
2009-11-18,1.17,1.16,-0.23,0.49,1593525,0.3,4.37,-3.01,-9.72,,6.87,55.2,1.82,3.64,-1.19,,-13.18
2009-11-19,1.15,1.13,-2.89,-1.21,1608510,0.34,-0.19,-5.58,-12.64,,3.78,47.9,1.91,3.84,-3.87,,-15.69
2009-11-20,1.13,1.12,-0.84,-0.07,5846298,1.37,-0.91,-5.18,-11.79,,2.91,46.0,1.9,3.75,-4.51,,-16.4
2009-11-23,1.13,1.1,-1.58,0.68,6419771,1.43,-5.09,-5.35,-14.89,,1.28,42.7,1.91,3.76,-5.85,,-17.72
2009-11-24,1.09,1.11,0.44,-0.61,7213290,1.56,-5.05,-3.66,-14.52,,1.72,43.8,1.9,3.62,-5.22,,-17.36
2009-11-25,1.11,1.12,1.59,0.8,1867060,0.44,-3.31,0.33,-14.63,,3.33,48.1,1.86,3.65,-3.46,,-16.05
2009-11-27,1.1,1.15,2.32,-2.38,849787,0.24,1.87,6.24,-14.11,,5.73,53.7,1.75,3.68,-1.13,,-14.11
2009-11-30,1.15,1.15,0.0,0.06,3814906,1.09,2.74,5.46,-12.86,,5.73,53.7,1.75,3.75,-1.09,,-14.11
2009-12-01,1.15,1.16,0.65,0.25,5765405,1.6,5.07,6.42,-10.57,,6.42,55.3,1.75,3.68,-0.36,,-13.55
2009-12-02,1.16,1.13,-2.21,0.43,11680167,2.96,2.31,4.96,-11.7,,4.07,49.0,1.81,3.82,-2.36,,-15.46
2009-12-03,1.13,1.15,2.03,-0.2,7008059,1.87,2.76,9.92,-8.73,,6.18,54.1,1.73,3.64,-0.2,,-13.74
2009-12-04,1.19,1.2,3.71,2.95,13065287,3.11,4.16,11.76,-6.98,,10.12,61.7,1.85,3.74,3.63,,-10.54
2009-12-07,1.2,1.22,2.12,-0.12,4258364,1.0,6.36,10.1,-4.69,,12.45,65.3,1.74,3.58,5.86,,-8.64
2009-12-08,1.2,1.21,-0.69,-1.54,3441722,0.81,4.95,9.56,-2.93,,11.68,63.2,1.76,3.53,5.25,,-9.27
2009-12-09,1.2,1.22,0.34,-0.86,1333303,0.32,7.68,7.34,-1.43,,12.06,63.8,1.7,3.46,5.64,,-8.97
2009-12-10,1.22,1.22,-0.24,-0.06,3524724,0.82,5.28,8.54,-0.66,,11.79,63.0,1.66,3.32,5.42,,-9.18
2009-12-11,1.21,1.2,-1.13,-0.47,1066873,0.25,0.37,7.94,-0.43,,10.53,59.1,1.68,3.26,4.2,,-10.21
2009-12-14,1.21,1.22,1.61,0.97,3101247,0.71,-0.13,8.01,-1.94,,12.31,62.6,1.68,3.11,5.78,,-8.76
2009-12-15,1.22,1.21,-0.63,0.0,1937462,0.45,-0.07,7.45,-4.76,,11.6,60.4,1.69,2.99,5.08,,-9.34
2009-12-16,1.22,1.23,1.54,0.84,4355553,0.97,1.13,6.19,2.15,,13.32,63.7,1.63,2.9,6.62,,-7.94
2009-12-17,1.23,1.18,-4.03,-0.5,2055313,0.46,-2.72,1.51,0.71,,8.75,51.4,1.88,3.18,2.3,,-11.65
2009-12-18,1.18,1.19,0.47,-0.06,5765490,1.22,-1.15,2.23,-1.32,,9.26,52.5,1.88,3.19,2.73,,-11.24
2009-12-21,1.22,1.19,0.6,2.43,1990535,0.44,-2.13,5.91,-4.4,,9.91,53.9,1.75,3.16,3.32,,-10.71
2009-12-22,1.2,1.21,1.47,0.07,4315123,0.98,-0.06,8.38,-3.85,,11.53,57.4,1.75,3.1,4.79,,-9.39
2009-12-23,1.21,1.22,0.3,0.13,3082959,0.73,-1.28,10.46,-4.05,,11.87,58.1,1.69,2.95,5.07,,-9.12
2009-12-24,1.21,1.22,0.0,-0.37,423850,0.1,2.87,9.98,-2.03,,11.87,58.1,1.69,2.86,5.08,,-9.12
2009-12-28,1.21,1.26,3.56,-0.17,10975124,2.36,6.03,12.11,-1.53,,15.85,65.9,1.81,3.0,8.79,,-5.89
