date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-11-19,9.0,8.74,,,532300,,,,,,0.0,,,12.81,,,
2015-11-20,8.54,9.07,3.78,-2.29,30800,,,,,,3.78,,,11.99,,,
2015-11-23,9.07,9.06,-0.11,0.0,13800,,,,,,3.66,99.8,,11.26,,,
2015-11-24,9.2,9.2,1.55,1.55,7500,,,,,,5.26,99.8,,10.44,,,
2015-11-25,9.2,8.82,-4.13,0.0,135600,,,,,,0.92,90.8,,11.41,,,
2015-11-27,8.9,9.19,4.2,0.91,4300,,5.15,,,,5.15,91.6,,10.75,,,
2015-11-30,8.8,8.83,-3.92,-4.24,37600,,-2.65,,,,1.03,84.0,,10.89,,,
2015-12-01,8.81,8.73,-1.13,-0.23,75142,,-3.64,,,,-0.11,82.0,,10.74,,,
2015-12-02,8.95,8.79,0.69,2.52,136416,,-4.46,,,,0.57,82.2,,10.77,,,
2015-12-03,8.94,8.6,-2.16,1.71,119212,,-2.49,,,,-1.6,78.1,,10.57,,,
2015-12-04,8.26,8.6,0.0,-3.95,109100,,-6.42,,,,-1.6,78.1,,10.21,,,
2015-12-07,8.52,8.55,-0.58,-0.93,127200,,-3.17,,,,-2.17,77.0,,9.96,,,
2015-12-08,8.8,8.69,1.64,2.92,35546,,-0.46,,,,-0.57,78.0,,9.49,,,
2015-12-09,8.6,8.67,-0.23,-1.04,50500,,-1.37,,,,-0.8,77.4,,9.12,,,
2015-12-10,8.79,8.58,-1.04,1.38,67000,,-0.23,,,,-1.83,75.0,,8.95,,,
2015-12-11,8.64,8.45,-1.52,0.7,75200,,-1.74,,,,-3.32,71.6,,9.05,,,
2015-12-14,8.33,8.25,-2.37,-1.42,26789,,-3.51,,,,-5.61,66.5,,9.17,,,
2015-12-15,8.27,8.35,1.21,0.24,15100,,-3.91,,,,-4.46,67.7,,8.73,,,
2015-12-16,8.35,8.28,-0.84,0.0,37100,,-4.5,,,,-5.26,65.9,,8.73,,,
2015-12-17,8.4,8.5,2.66,1.45,9900,0.12,-0.93,,,,-2.75,68.8,,8.17,,,-7.61
2015-12-18,8.31,9.11,7.18,-2.24,62600,1.06,7.81,,,,4.23,75.0,,7.79,,,-0.98
2015-12-21,9.05,9.05,-0.66,-0.66,33000,0.56,9.7,3.55,,,3.55,73.4,2.7,7.58,,,-1.63
2015-12-22,8.75,9.15,1.1,-3.31,27802,0.47,9.58,0.88,,,4.69,74.4,2.58,7.55,,,-0.54
2015-12-23,9.15,8.97,-1.97,0.0,17800,0.3,8.33,-0.99,,,2.63,69.6,2.62,7.47,,,-2.5
2015-12-24,8.75,8.67,-3.34,-2.45,12209,0.23,2.0,-5.76,,,-0.8,62.3,2.69,7.63,,,-5.76
2015-12-28,8.34,8.72,0.58,-3.82,34319,0.62,-4.28,-1.13,,,-0.23,63.0,2.54,7.63,,,-5.22
2015-12-29,9.0,9.21,5.62,3.21,113718,1.92,1.77,0.22,,,5.38,69.0,2.68,7.45,,,0.0
2015-12-30,9.14,9.2,-0.11,-0.76,68499,1.16,0.55,4.19,,,5.26,68.8,2.52,7.38,,,-0.11
2015-12-31,9.15,9.27,0.76,-0.54,74484,1.33,3.34,6.19,,,6.06,69.6,2.5,7.31,,,0.0
2016-01-04,9.54,12.19,31.5,2.91,48398,0.93,40.6,38.68,,,0.0,86.0,7.25,6.87,,,0.0
2016-01-05,12.27,14.98,22.89,0.66,156736,2.87,71.79,74.19,,,22.89,91.0,8.52,6.88,,,0.0
2016-01-06,14.71,14.47,-3.4,-1.8,45512,0.9,57.11,68.26,,,18.7,85.0,8.61,7.15,,,-3.4
2016-01-07,14.07,12.45,-13.96,-2.76,56042,1.09,35.33,45.61,,,2.13,66.4,9.34,9.07,,,-16.89
2016-01-08,12.57,11.86,-4.74,0.96,17003,0.34,27.94,36.48,,,-2.71,62.1,9.46,9.4,,,-20.83
