date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,21.71,22.54,,,416954,,,,,,0.0,,,4.52,,,
2005-02-28,22.54,22.94,1.78,0.0,331406,,,,,,1.78,,,4.34,,,
2005-03-01,22.73,23.01,0.3,-0.92,455272,,,,,,2.08,,,4.3,,,
2005-03-02,23.01,23.12,0.5,0.0,279156,,,,,,2.6,,,4.16,,,
2005-03-03,23.32,22.97,-0.67,0.87,192452,,,,,,1.91,96.8,,4.09,,,
2005-03-04,23.21,23.35,1.67,1.05,213289,,3.62,,,,3.62,97.0,,3.86,,,
2005-03-07,23.37,22.91,-1.89,0.09,227846,,-0.13,,,,1.66,88.4,,3.87,,,
2005-03-08,22.77,22.73,-0.8,-0.63,214653,,-1.21,,,,0.84,85.0,,3.76,,,
2005-03-09,22.81,22.39,-1.47,0.38,261985,,-3.16,,,,-0.64,79.1,,3.71,,,
2005-03-10,22.49,22.16,-1.05,0.43,266589,,-3.53,,,,-1.69,75.1,,3.73,,,
2005-03-11,22.19,22.16,0.0,0.17,189207,,-5.12,,,,-1.69,75.1,,3.64,,,
2005-03-14,22.04,22.08,-0.35,-0.52,257373,,-3.62,,,,-2.03,73.7,,3.54,,,
2005-03-15,21.99,21.98,-0.46,-0.42,425224,,-3.29,,,,-2.48,71.8,,3.43,,,
2005-03-16,21.98,21.8,-0.79,0.0,298738,,-2.62,,,,-3.25,68.5,,3.36,,,
2005-03-17,21.97,22.15,1.57,0.76,265437,,-0.04,,,,-1.73,71.3,,3.23,,,
2005-03-18,22.38,22.57,1.89,1.06,796419,,1.85,,,,0.13,74.3,,3.08,,,
2005-03-21,22.51,22.39,-0.77,-0.26,276118,,1.41,,,,-0.64,71.0,,2.94,,,
2005-03-22,22.35,22.45,0.26,-0.21,263971,,2.14,,,,-0.39,71.4,,2.9,,,
2005-03-23,22.44,22.01,-1.95,-0.04,957043,,0.95,,,,-2.33,63.3,,2.94,,,
2005-03-24,21.92,22.17,0.7,-0.41,214130,0.63,0.09,,,,-1.64,64.8,,2.89,,,-5.07
2005-03-28,22.01,21.71,-2.07,-0.7,254025,0.77,-3.8,,,,-3.68,57.3,,2.92,,,-7.04
2005-03-29,21.72,21.47,-1.1,0.05,305227,0.92,-4.12,-4.74,,,-4.74,53.8,1.24,2.91,,,-8.06
2005-03-30,21.63,21.59,0.58,0.76,307846,0.95,-3.82,-5.87,,,-4.19,55.3,1.17,2.83,,,-7.53
2005-03-31,21.49,21.21,-1.77,-0.49,289206,0.89,-3.64,-7.81,,,-5.88,49.8,1.2,2.86,,,-9.17
2005-04-01,21.3,21.15,-0.27,0.4,314544,0.95,-4.57,-8.51,,,-6.14,49.0,1.19,2.93,,,-9.41
2005-04-04,21.16,21.34,0.86,0.04,187430,0.57,-1.71,-7.11,,,-5.33,51.6,1.22,2.91,,,-8.63
2005-04-05,21.4,21.54,0.98,0.31,187430,0.57,0.35,-7.74,,,-4.41,54.5,1.17,2.83,,,-7.74
2005-04-06,21.6,22.09,2.53,0.27,281353,0.85,2.3,-3.58,,,-1.98,61.0,1.27,2.79,,,-5.4
2005-04-07,22.12,22.25,0.74,0.13,178423,0.55,4.91,-2.09,,,-1.26,62.7,1.28,2.74,,,-4.71
2005-04-08,22.16,21.57,-3.05,-0.43,174448,0.54,1.98,-3.66,,,-4.28,52.4,1.4,2.85,,,-7.62
2005-04-11,21.81,20.94,-2.92,1.11,241878,0.75,-1.84,-5.48,,,-7.07,45.0,1.52,3.05,,,-10.31
2005-04-12,20.94,21.01,0.32,0.0,188791,0.59,-2.48,-5.17,,,-6.77,45.8,1.52,3.01,,,-10.03
2005-04-13,21.01,20.37,-3.04,0.0,209625,0.68,-7.78,-7.74,,,-9.61,39.4,1.64,3.18,,,-12.77
2005-04-14,20.4,20.18,-0.93,0.15,632552,1.94,-9.31,-8.18,,,-10.46,37.7,1.65,3.12,,,-13.58
2005-04-15,20.17,20.0,-0.89,-0.04,451507,1.35,-7.29,-8.28,,,-11.26,36.1,1.65,3.1,,,-14.35
