date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-02-06,24.0,18.75,,,5873277,,,,,,0.0,,,35.79,,,
2020-02-07,19.19,20.62,9.97,2.35,1221500,,,,,,9.97,,,31.31,,,
2020-02-10,21.37,22.1,7.18,3.64,727361,,,,,,17.87,,,27.62,,,
2020-02-11,22.15,24.1,9.05,0.23,764473,,,,,,28.53,,,24.32,,,
2020-02-12,24.4,27.6,14.52,1.24,862078,,,,,,47.2,,,20.62,,,
2020-02-13,27.77,29.2,5.8,0.62,1403653,,55.73,,,,55.73,,,19.36,,,
2020-02-14,29.65,27.9,-4.45,1.54,821731,,35.31,,,,48.8,95.1,,19.86,,,
2020-02-18,27.88,27.8,-0.36,-0.07,289059,,25.79,,,,48.27,94.7,,19.06,,,
2020-02-19,27.85,28.18,1.37,0.18,380876,,16.93,,,,50.29,94.8,,17.89,,,
2020-02-20,28.28,26.91,-4.51,0.35,249345,,-2.5,,,,43.52,89.6,,17.85,,,
2020-02-21,26.76,26.09,-3.05,-0.56,397347,,-10.65,,,,39.15,86.3,,17.76,,,
2020-02-24,24.9,24.2,-7.24,-4.56,247678,,-13.26,,,,29.07,79.0,,18.4,,,
2020-02-25,24.44,22.63,-6.49,0.99,361491,,-18.6,,,,20.69,73.5,,19.05,,,
2020-02-26,22.73,24.45,8.04,0.44,239694,,-13.24,,,,30.4,75.6,,17.04,,,
2020-02-27,23.46,22.93,-6.22,-4.05,217006,,-14.79,,,,22.29,70.5,,17.4,,,
2020-02-28,22.87,22.49,-1.92,-0.26,157424,,-13.8,,,,19.95,69.1,,16.92,,,
2020-03-02,23.25,23.02,2.36,3.38,365221,,-4.88,,,,22.77,69.9,,15.79,,,
2020-03-03,23.11,23.51,2.13,0.39,366078,,3.89,,,,25.39,70.6,,14.93,,,
2020-03-04,23.69,24.41,3.83,0.77,281497,,-0.16,,,,30.19,72.0,,13.73,,,
2020-03-05,24.31,23.81,-2.46,-0.41,340811,0.44,3.84,,,,26.99,69.6,,13.53,,,-18.46
2020-03-06,23.41,23.55,-1.09,-1.68,175937,0.36,4.71,,,,25.6,68.6,,12.84,,,-19.35
2020-03-09,21.97,22.6,-4.03,-6.71,178760,0.41,-1.82,20.53,,,20.53,64.7,6.14,13.07,,,-22.6
2020-03-10,22.56,22.5,-0.44,-0.18,346924,0.82,-4.3,9.12,,,20.0,64.3,5.8,12.91,,,-22.95
2020-03-11,22.32,21.25,-5.56,-0.8,228706,0.58,-12.95,-3.85,,,13.33,59.3,5.74,13.7,,,-27.23
2020-03-12,20.97,18.3,-13.88,-1.32,411252,1.1,-23.14,-24.07,,,-2.4,49.4,6.09,16.02,,,-37.33
2020-03-13,19.7,17.38,-5.03,7.65,347715,1.09,-26.2,-37.03,,,-7.31,46.8,4.98,17.18,,,-40.48
2020-03-16,16.0,13.31,-23.42,-7.94,380895,1.28,-41.11,-54.42,,,-29.01,37.3,6.52,23.18,,,-54.42
2020-03-17,13.68,15.01,12.77,2.78,304848,1.02,-33.29,-46.2,,,-19.95,42.5,7.41,20.27,,,-48.6
2020-03-18,14.44,15.21,1.33,-3.8,171522,0.59,-28.42,-45.29,,,-18.88,43.1,7.44,19.56,,,-47.91
2020-03-19,15.29,16.86,10.85,0.53,279100,0.96,-7.87,-40.17,,,-10.08,48.0,7.96,17.74,,,-42.26
2020-03-20,17.07,19.4,15.07,1.25,1920885,5.25,11.62,-27.91,,,3.47,54.4,8.77,16.61,,,-33.56
2020-03-23,19.43,18.01,-7.16,0.15,363898,0.98,35.31,-30.97,,,-3.95,50.7,8.86,17.73,,,-38.32
2020-03-24,18.5,19.16,6.39,2.72,222726,0.61,27.65,-20.83,,,2.19,53.5,8.9,16.26,,,-34.38
2020-03-25,19.0,19.6,2.3,-0.84,299791,0.81,28.86,-13.39,,,4.53,54.6,8.83,15.78,,,-32.88
2020-03-26,19.45,19.0,-3.06,-0.77,172332,0.47,12.69,-22.29,,,1.33,52.8,8.63,15.8,,,-34.93
2020-03-27,18.67,18.05,-5.0,-1.74,95772,0.26,-6.96,-21.28,,,-3.73,50.0,8.6,16.22,,,-38.18
2020-03-30,18.0,18.0,-0.28,-0.28,106180,0.3,-0.06,-19.96,,,-4.0,49.9,8.59,15.54,,,-38.36
2020-03-31,17.99,18.0,0.0,-0.06,139598,0.41,-6.05,-21.81,,,-4.0,49.9,8.57,15.27,,,-38.36
2020-04-01,17.31,16.12,-10.44,-3.83,173844,0.52,-17.76,-31.43,,,-14.03,44.1,8.79,16.72,,,-44.79
2020-04-02,16.12,15.26,-5.33,0.0,129688,0.4,-19.68,-37.48,,,-18.61,41.8,8.74,17.15,,,-47.74
2020-04-03,15.24,16.11,5.57,-0.13,227172,0.7,-10.75,-32.34,,,-14.08,44.9,8.89,15.69,,,-44.83
2020-04-06,16.54,16.65,3.35,2.67,177498,0.55,-7.5,-29.3,,,-11.2,46.9,8.95,14.8,,,-42.98
2020-04-07,17.3,15.81,-5.05,3.9,128400,0.41,-12.17,-30.04,,,-15.68,44.2,8.97,15.35,,,-45.86
2020-04-08,16.04,16.7,5.63,1.45,145289,0.47,3.6,-25.78,,,-10.93,47.6,9.1,14.04,,,-42.81
2020-04-09,16.83,16.62,-0.48,0.78,179661,0.6,8.91,-21.79,,,-11.36,47.3,9.04,13.58,,,-43.08
2020-04-13,16.73,16.1,-3.13,0.66,164839,0.57,-0.06,-12.02,,,-14.13,45.5,8.55,13.42,,,-44.86
2020-04-14,16.5,17.07,6.02,2.48,296445,1.04,2.52,-1.78,,,-8.96,49.4,8.58,12.22,,,-41.54
2020-04-15,16.8,15.9,-6.85,-1.58,125434,0.45,0.57,19.46,,,-15.2,45.2,6.88,12.81,,,-45.55
2020-04-16,16.23,16.17,1.7,2.08,139010,0.51,-3.17,7.73,,,-13.76,46.3,6.34,12.09,,,-44.62
2020-04-17,16.63,15.98,-1.18,2.84,190818,0.71,-3.85,5.06,,,-14.77,45.6,6.35,11.85,-21.7,,-45.27
2020-04-20,15.99,16.56,3.63,0.06,345397,1.81,2.86,-1.78,,,-11.68,48.3,5.94,11.11,-18.68,,-43.29
2020-04-21,16.5,16.1,-2.78,-0.36,169282,0.93,-5.68,-17.01,,,-14.13,46.3,4.87,11.0,-20.59,,-44.86
2020-04-22,16.38,16.66,3.48,1.74,123684,0.7,4.78,-7.5,,,-11.15,49.0,4.73,10.37,-17.38,,-42.95
2020-04-23,16.81,17.74,6.48,0.9,213937,1.24,9.71,-7.41,,,-5.39,53.8,4.73,9.77,-11.47,,-39.25
2020-04-24,17.88,18.15,2.31,0.79,220844,1.26,13.58,-7.4,,,-3.2,55.5,4.73,9.15,-8.56,,-37.84
2020-04-27,18.39,16.53,-8.93,1.32,246711,1.35,-0.18,-13.0,,,-11.84,48.0,5.07,10.37,-15.64,,-43.39
2020-04-28,16.8,16.3,-1.39,1.63,221618,1.18,1.24,-9.7,,,-13.07,47.0,4.97,10.43,-15.82,,-44.18
2020-04-29,16.74,16.89,3.62,2.7,195780,1.03,1.38,-6.17,,,-9.92,49.8,5.04,9.9,-11.78,,-42.16
2020-04-30,16.64,15.95,-5.57,-1.48,239896,1.24,-10.09,-11.39,,,-14.93,45.6,5.18,10.31,-15.61,,-45.38
2020-05-01,15.81,15.38,-3.57,-0.88,185838,0.94,-15.26,-4.59,,,-17.97,43.3,4.71,10.38,-17.62,,-47.33
2020-05-04,15.08,15.76,2.47,-1.95,128072,0.67,-4.66,3.28,,,-15.95,45.3,4.59,9.86,-14.64,,-46.03
2020-05-05,16.34,16.49,4.63,3.68,179853,0.94,1.17,2.36,,,-12.05,49.1,4.54,9.16,-9.93,,-43.53
