date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-07-01,27.95,27.0,,,5140100,,,,,,0.0,,,9.44,,,
2015-07-02,27.9,27.81,3.0,3.33,1957700,,,,,,3.0,,,8.88,,,
2015-07-06,27.75,28.99,4.24,-0.22,1297800,,,,,,7.37,,,8.27,,,
2015-07-07,28.41,28.14,-2.93,-2.0,1289500,,,,,,4.22,92.7,,8.24,,,
2015-07-08,27.13,27.1,-3.7,-3.59,1620300,,,,,,0.37,84.7,,8.26,,,
2015-07-09,27.0,26.95,-0.55,-0.37,2155800,,-0.19,,,,-0.19,83.5,,7.87,,,
2015-07-10,27.02,28.79,6.83,0.26,1641700,,3.52,,,,6.63,86.0,,7.38,,,
2015-07-13,28.5,29.57,2.71,-1.01,1772000,,2.0,,,,9.52,86.9,,7.12,,,
2015-07-14,29.04,30.1,1.79,-1.79,1225739,,6.97,,,,11.48,87.5,,6.8,,,
2015-07-15,29.92,29.19,-3.02,-0.6,1427115,,7.71,,,,8.11,80.8,,6.87,,,
2015-07-16,29.01,29.34,0.51,-0.62,1721000,,8.87,,,,8.67,81.0,,6.5,,,
2015-07-17,29.04,31.11,6.03,-1.02,1401800,,8.06,,,,15.22,83.8,,6.3,,,
2015-07-20,31.67,31.44,1.06,1.8,1514300,,6.32,,,,16.44,84.3,,6.26,,,
2015-07-21,30.74,31.13,-0.99,-2.23,1284800,,3.42,,,,15.3,81.9,,6.25,,,
2015-07-22,31.12,30.88,-0.8,-0.03,1007700,,5.79,,,,14.37,80.0,,6.17,,,
2015-07-23,31.0,30.61,-0.87,0.39,456300,,4.33,,,,13.37,77.8,,5.96,,,
2015-07-24,30.53,30.33,-0.91,-0.26,435400,,-2.51,,,,12.33,75.6,,5.78,,,
2015-07-27,30.36,30.23,-0.33,0.1,462400,,-3.85,,,,11.96,74.7,,5.56,,,
2015-07-28,29.91,30.0,-0.76,-1.06,933800,,-3.63,,,,11.11,72.7,,5.68,,,
2015-07-29,30.14,29.3,-2.33,0.47,538800,0.37,-5.12,,,,8.52,66.9,,5.67,,,-6.81
2015-07-30,29.3,29.09,-0.72,0.0,642900,0.52,-4.97,,,,7.74,65.2,,5.43,,,-7.47
2015-07-31,28.94,28.76,-1.13,-0.52,691800,0.59,-5.18,6.52,,,6.52,62.5,2.85,5.23,,,-8.52
2015-08-03,28.21,29.25,1.7,-1.91,697541,0.61,-3.24,5.18,,,8.33,64.8,2.8,5.05,,,-6.97
