date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,5.75,6.01,,,733139,,,,,,0.0,,,4.83,,,
2005-02-28,6.0,6.07,1.0,-0.17,712276,,,,,,1.0,,,4.79,,,
2005-03-01,5.98,6.2,2.14,-1.48,1256661,,,,,,3.16,,,4.88,,,
2005-03-02,6.18,5.99,-3.39,-0.32,446813,,,,,,-0.33,80.1,,5.0,,,
2005-03-03,5.79,5.8,-3.17,-3.34,850672,,,,,,-3.49,67.1,,5.19,,,
2005-03-04,5.67,5.72,-1.38,-2.24,657813,,-4.83,,,,-4.83,62.5,,5.2,,,
2005-03-07,5.65,5.72,0.0,-1.22,497373,,-5.77,,,,-4.83,62.5,,5.04,,,
2005-03-08,5.65,5.73,0.17,-1.22,356346,,-7.58,,,,-4.66,62.9,,4.9,,,
2005-03-09,5.7,6.0,4.71,-0.52,928733,,0.17,,,,-0.17,71.1,,4.96,,,
2005-03-10,6.03,5.76,-4.0,0.5,326903,,-0.69,,,,-4.16,58.6,,5.17,,,
2005-03-11,5.76,5.77,0.17,0.0,159505,,0.87,,,,-3.99,59.0,,4.97,,,
2005-03-14,5.76,5.67,-1.73,-0.17,261441,,-0.87,,,,-5.66,54.4,,4.87,,,
2005-03-15,5.55,5.49,-3.17,-2.12,380930,,-4.19,,,,-8.65,47.3,,5.05,,,
2005-03-16,5.4,5.35,-2.55,-1.64,410676,,-10.83,,,,-10.98,42.6,,5.0,,,
2005-03-17,5.45,5.39,0.75,1.87,569000,,-6.42,,,,-10.32,44.3,,5.02,,,
2005-03-18,5.49,5.46,1.3,1.86,346412,,-5.37,,,,-9.15,47.2,,4.97,,,
2005-03-21,5.41,5.31,-2.75,-0.92,499749,,-6.35,,,,-11.65,42.1,,5.0,,,
2005-03-22,5.3,5.26,-0.94,-0.19,255082,,-4.19,,,,-12.48,40.5,,4.87,,,
2005-03-23,5.25,5.24,-0.38,-0.19,629407,,-2.06,,,,-12.81,39.9,,4.98,,,
2005-03-24,5.25,5.16,-1.53,0.19,308696,0.58,-4.27,,,,-14.14,37.3,,4.86,,,-16.77
2005-03-28,5.12,5.05,-2.13,-0.78,252257,0.5,-7.51,,,,-15.97,34.1,,4.95,,,-18.55
2005-03-29,5.06,4.84,-4.16,0.2,752714,1.48,-8.85,-19.47,,,-19.47,28.9,2.24,5.58,,,-21.94
2005-03-30,4.95,5.14,6.2,2.27,726489,1.51,-2.28,-15.32,,,-14.48,42.3,2.71,5.38,,,-17.1
2005-03-31,5.34,5.17,0.58,3.89,822960,1.65,-1.34,-16.61,,,-13.98,43.5,2.65,5.49,,,-16.61
2005-04-01,5.36,5.1,-1.35,3.68,485277,1.01,-1.16,-14.86,,,-15.14,41.4,2.59,5.64,,,-17.74
2005-04-04,5.24,5.14,0.78,2.75,458766,0.97,1.78,-11.38,,,-14.48,43.1,2.55,5.45,,,-17.1
2005-04-05,5.22,5.1,-0.78,1.56,258959,0.56,5.37,-10.84,,,-15.14,41.8,2.54,5.44,,,-17.74
2005-04-06,5.06,4.95,-2.94,-0.78,460218,0.99,-3.7,-13.46,,,-17.64,37.3,2.59,5.46,,,-20.16
2005-04-07,5.0,5.11,3.23,1.01,555832,1.25,-1.16,-10.82,,,-14.98,44.2,2.72,5.26,,,-17.58
2005-04-08,5.07,4.92,-3.72,-0.78,239101,0.54,-3.53,-18.0,,,-18.14,38.8,2.53,5.45,,,-20.65
2005-04-11,4.91,4.77,-3.05,-0.2,562703,1.22,-7.2,-17.19,,,-20.63,35.1,2.48,5.64,,,-23.06
2005-04-12,4.77,4.73,-0.84,0.0,352217,0.76,-7.25,-18.02,,,-21.3,34.2,2.47,5.4,,,-23.71
2005-04-13,4.73,4.71,-0.42,0.0,290273,0.63,-4.85,-16.93,,,-21.63,33.7,2.46,5.24,,,-24.03
2005-04-14,4.75,4.46,-5.31,0.85,564962,1.2,-12.72,-18.76,,,-25.79,28.3,2.6,5.82,,,-28.06
2005-04-15,4.45,4.13,-7.4,-0.22,817951,1.7,-16.06,-22.8,,,-31.28,23.1,2.94,6.58,,,-33.39
2005-04-18,4.1,4.25,2.91,-0.73,593641,1.2,-10.9,-21.15,,,-29.28,28.3,3.05,6.38,,,-31.45
2005-04-19,4.38,4.25,0.0,3.06,628100,1.25,-10.15,-22.16,,,-29.28,28.3,3.01,6.26,,,-31.45
2005-04-20,4.39,4.08,-4.0,3.29,533711,1.04,-13.38,-23.16,,,-32.11,25.5,3.06,6.61,,,-34.19
2005-04-21,4.28,4.28,4.9,4.9,356463,0.71,-4.04,-18.63,,,-28.79,33.8,3.34,6.29,,,-30.97
2005-04-22,4.25,4.3,0.47,-0.7,407839,0.81,4.12,-17.94,,,-28.45,34.6,3.35,6.11,,,-30.65
2005-04-25,4.29,4.16,-3.26,-0.23,245077,0.48,-2.12,-19.38,,,-30.78,31.8,3.39,6.29,,,-32.9
2005-04-26,4.18,4.24,1.92,0.48,271548,0.56,-0.24,-16.04,,,-29.45,35.0,3.43,5.99,,,-31.61
2005-04-27,4.22,4.12,-2.83,-0.47,381508,0.82,0.98,-14.88,,,-31.45,32.5,3.38,6.1,,,-33.55
2005-04-28,4.2,3.92,-4.85,1.94,578680,1.28,-8.41,-23.74,,,-34.78,28.8,3.1,6.59,,,-36.77
2005-04-29,3.84,3.88,-1.02,-2.04,440643,0.98,-9.77,-24.95,,,-35.44,28.1,3.07,6.54,,,-37.42
2005-05-02,3.93,3.82,-1.55,1.29,460412,1.02,-8.17,-25.1,,,-36.44,27.0,3.07,6.48,,,-38.39
2005-05-03,3.83,3.73,-2.36,0.26,512964,1.11,-12.03,-27.43,,,-37.94,25.5,3.04,6.45,,,-39.84
2005-05-04,3.75,3.67,-1.61,0.54,496755,1.07,-10.92,-28.04,,,-38.94,24.5,3.04,6.42,,,-40.81
2005-05-05,3.73,3.68,0.27,1.63,390895,0.86,-6.12,-25.66,,,-38.77,25.0,3.04,6.12,,,-40.65
2005-05-06,3.7,3.63,-1.36,0.54,341938,0.74,-6.44,-28.96,,,-39.6,24.1,2.85,6.17,-26.35,,-41.45
2005-05-09,3.64,3.61,-0.55,0.28,447916,0.98,-5.5,-26.63,,,-39.93,23.7,2.82,5.96,-26.03,,-41.77
2005-05-10,3.62,3.61,0.0,0.28,598340,1.28,-3.22,-24.32,,,-39.93,23.7,2.81,6.07,-25.28,,-41.77
2005-05-11,3.62,3.52,-2.49,0.28,294319,0.63,-4.09,-25.58,,,-41.43,21.9,2.82,6.0,-26.33,,-43.23
2005-05-12,3.6,3.51,-0.28,2.27,406666,0.88,-4.62,-25.48,,,-41.6,21.7,2.82,5.84,-25.76,,-43.39
2005-05-13,3.52,3.41,-2.85,0.28,483589,1.09,-6.06,-23.54,,,-43.26,19.9,2.7,5.91,-27.14,,-45.0
2005-05-16,3.44,3.45,1.17,0.88,421248,0.97,-4.43,-16.46,,,-42.6,22.8,2.34,5.63,-25.57,,-44.35
2005-05-17,3.48,3.52,2.03,0.87,391020,0.92,-2.49,-17.18,,,-41.43,27.7,2.28,5.37,-23.33,,-43.23
2005-05-18,3.54,3.53,0.28,0.57,311337,0.76,0.28,-16.94,,,-41.26,28.4,2.29,5.24,-22.37,,-43.06
2005-05-19,3.48,3.58,1.42,-1.42,299922,0.73,1.99,-12.25,,,-40.43,32.0,2.22,5.07,-20.42,,-42.26
2005-05-20,3.69,3.56,-0.56,3.07,287207,0.71,4.4,-16.82,,,-40.77,31.3,1.83,5.08,-20.08,,-42.58
2005-05-23,3.58,3.55,-0.28,0.56,275247,0.68,2.9,-17.44,,,-40.93,30.9,1.81,4.91,-19.5,,-42.74
2005-05-24,3.61,4.11,15.77,1.69,1344318,2.93,16.76,-1.2,,,-31.61,58.7,4.0,4.98,-6.14,,-33.71
2005-05-25,4.12,4.1,-0.24,0.24,1799849,3.4,16.15,-3.3,,,-31.78,58.3,3.98,5.32,-5.77,,-33.87
2005-05-26,4.33,3.98,-2.93,5.61,1289885,2.28,11.17,-3.4,-33.78,,-33.78,53.0,3.98,5.96,-7.95,,-35.81
2005-05-27,4.08,3.93,-1.26,2.51,526266,0.92,10.39,0.26,-35.26,,-34.61,51.0,3.84,5.88,-8.49,,-36.61
2005-05-31,4.04,3.7,-5.85,2.8,2144031,3.28,4.23,-4.64,-40.32,,-38.44,42.7,4.05,6.8,-13.13,,-40.32
