date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-02-14,3.29,3.1,,,833479,,,,,,0.0,,,15.81,,,
2018-02-15,3.15,3.17,2.26,1.61,252840,,,,,,2.26,,,14.85,,,
2018-02-16,3.16,3.17,0.0,-0.32,112336,,,,,,2.26,,,14.1,,,
2018-02-20,3.05,3.13,-1.26,-3.79,72967,,,,,,0.97,95.5,,13.54,,,
2018-02-21,3.15,3.01,-3.83,0.64,153645,,,,,,-2.9,83.3,,13.55,,,
2018-02-22,3.0,3.05,1.33,-0.33,170370,,-1.61,,,,-1.61,84.0,,12.77,,,
2018-02-23,3.1,2.99,-1.96,1.64,50955,,-5.67,,,,-3.54,78.5,,12.42,,,
2018-02-26,3.1,3.05,2.0,3.67,66192,,-3.79,,,,-1.61,79.9,,11.59,,,
2018-02-27,3.1,2.97,-2.62,1.64,42021,,-5.11,,,,-4.19,73.0,,11.54,,,
2018-02-28,3.08,2.9,-2.36,3.7,33946,,-3.65,,,,-6.45,67.5,,11.51,,,
2018-03-01,2.91,2.85,-1.72,0.34,51135,,-6.56,,,,-8.06,63.7,,11.28,,,
2018-03-02,2.61,2.56,-10.18,-8.42,86466,,-14.39,,,,-17.42,47.4,,12.6,,,
2018-03-05,2.71,2.68,4.69,5.86,27644,,-12.13,,,,-13.55,52.8,,11.68,,,
2018-03-06,2.7,2.61,-2.61,0.75,12557,,-12.12,,,,-15.81,49.6,,11.93,,,
2018-03-07,2.62,2.73,4.6,0.38,33824,,-5.86,,,,-11.94,54.7,,11.29,,,
2018-03-08,2.8,2.84,4.03,2.56,36284,,-0.35,,,,-8.39,58.8,,10.63,,,
2018-03-09,2.82,2.85,0.35,-0.7,25616,,11.33,,,,-8.06,59.1,,10.2,,,
2018-03-12,2.94,2.8,-1.75,3.16,33276,,4.48,,,,-9.68,56.5,,10.1,,,
2018-03-13,2.85,2.84,1.43,1.79,32988,,8.81,,,,-8.39,58.1,,9.5,,,
2018-03-14,2.97,2.85,0.35,4.58,10209,0.1,4.39,,,,-8.07,58.5,,9.21,,,-10.1
2018-03-15,2.82,2.75,-3.51,-1.05,15693,0.24,-3.17,,,,-11.29,52.8,,9.2,,,-13.25
2018-03-16,2.75,2.8,1.82,0.0,8440,0.16,-1.75,-9.68,,,-9.68,55.2,3.41,8.73,,,-11.67
2018-03-19,2.85,2.89,3.21,1.79,25630,0.52,3.21,-8.83,,,-6.77,59.1,3.46,8.1,,,-8.83
2018-03-20,2.89,2.94,1.73,0.0,180191,3.28,3.52,-7.26,,,-5.16,61.1,3.49,8.0,,,-7.26
2018-03-21,2.96,2.86,-2.72,0.68,44487,0.9,0.35,-8.63,,,-7.74,56.3,3.52,7.91,,,-9.78
2018-03-22,2.85,2.86,0.0,-0.35,24834,0.59,4.0,-4.98,,,-7.74,56.3,3.43,7.59,,,-9.78
2018-03-23,2.85,2.8,-2.1,-0.35,31817,0.77,0.0,-8.2,,,-9.68,52.7,3.44,7.71,,,-11.67
2018-03-26,2.8,2.85,1.63,0.0,15812,0.41,-1.53,-4.84,,,-8.2,55.1,3.44,7.47,,,-10.23
2018-03-27,2.9,2.85,0.15,1.91,64807,1.63,-3.06,-6.56,,,-8.06,55.3,3.41,7.55,,,-10.09
2018-03-28,2.85,2.77,-2.81,0.0,33107,0.83,-3.15,-6.73,,,-10.65,50.2,3.42,7.68,,,-12.62
2018-03-29,2.8,2.75,-0.72,1.08,27073,0.7,-3.85,-5.17,,,-11.29,49.0,3.38,7.57,,,-13.25
2018-04-02,2.77,2.89,5.09,0.73,6317,0.18,3.21,1.4,,,-6.77,56.8,3.55,7.04,,,-8.83
2018-04-03,2.87,2.7,-6.57,-0.69,21290,0.62,-5.12,5.47,,,-12.9,46.4,3.09,7.5,,,-14.83
2018-04-04,2.73,2.69,-0.37,1.11,46832,1.3,-5.61,0.37,,,-13.23,45.9,2.92,7.48,,,-15.14
2018-04-05,2.74,2.4,-10.78,1.86,26268,0.74,-13.36,-8.05,,,-22.58,34.7,3.73,8.85,,,-24.29
2018-04-06,2.43,2.17,-9.58,1.25,42236,1.18,-21.09,-20.51,,,-30.0,28.8,4.06,10.23,,,-31.55
2018-04-09,2.19,2.06,-5.07,0.92,21619,0.61,-28.72,-27.46,,,-33.55,26.4,3.98,10.67,,,-35.02
2018-04-10,2.09,2.0,-2.91,1.46,17951,0.51,-25.93,-29.82,,,-35.48,25.2,3.97,11.48,,,-36.91
2018-04-11,2.38,2.38,19.0,19.0,153675,3.76,-11.52,-15.0,,,-23.23,43.0,5.99,11.0,,,-24.92
2018-04-12,2.39,2.47,3.78,0.42,18640,0.45,2.92,-13.03,,,-20.32,46.2,6.06,11.23,,,-22.08
2018-04-13,2.44,2.41,-2.43,-1.21,29254,0.7,11.06,-15.44,,,-22.26,44.4,6.07,11.83,,,-23.97
2018-04-16,2.37,2.1,-12.86,-1.66,25149,0.59,1.94,-23.64,,,-32.26,36.4,6.61,13.87,,,-33.75
2018-04-17,2.11,1.94,-7.62,0.48,175692,3.49,-3.0,-30.71,,,-37.42,33.1,6.72,15.45,,,-38.8
2018-04-18,1.83,1.76,-9.28,-5.67,167759,3.37,-26.05,-39.1,,,-43.23,29.8,6.83,17.24,,,-44.48
2018-04-19,1.76,1.76,0.0,0.0,42613,0.86,-28.74,-40.14,,,-43.23,29.8,6.8,16.41,,,-44.48
2018-04-20,1.77,1.74,-1.02,0.57,21710,0.44,-27.71,-39.09,,,-43.8,29.5,6.8,15.8,,,-45.04
2018-04-23,1.79,1.51,-13.04,2.75,58005,1.14,-27.86,-47.03,,,-51.13,25.5,7.18,18.48,,,-52.21
2018-04-24,1.53,1.6,5.61,0.99,57739,1.09,-17.53,-42.86,,,-48.39,29.4,7.41,16.92,,,-49.53
2018-04-25,1.6,1.45,-9.38,0.0,82265,1.53,-17.61,-49.05,,,-53.23,26.8,7.5,18.76,,,-54.26
2018-04-26,1.43,1.33,-8.28,-1.38,35624,0.66,-24.43,-53.33,,,-57.1,24.9,7.55,19.91,-48.3,,-58.04
2018-04-27,1.35,1.45,9.03,1.5,38250,0.7,-16.76,-47.65,,,-53.22,30.2,8.02,17.91,-42.9,,-54.26
2018-04-30,1.5,1.48,2.06,3.44,56354,0.99,-2.31,-46.18,,,-52.26,31.5,8.08,16.78,-40.94,,-53.31
2018-05-01,1.49,1.5,1.35,0.68,15658,0.28,-6.25,-48.1,,,-51.61,32.4,7.94,15.96,-39.33,,-52.68
2018-05-02,1.5,1.41,-6.0,0.0,36635,0.65,-2.76,-47.78,,,-54.52,30.4,7.93,16.4,-42.17,,-55.52
2018-05-03,1.42,1.52,7.73,0.71,16823,0.3,14.21,-43.53,,,-51.0,35.5,8.24,14.89,-36.92,,-52.08
2018-05-04,1.47,1.48,-2.57,-3.23,19719,0.36,2.06,-38.33,,,-52.26,34.6,8.01,14.43,-37.73,,-53.31
2018-05-07,1.95,4.04,172.97,31.76,60676486,19.65,172.97,86.18,,,30.32,77.7,38.89,10.6,68.49,,0.0
2018-05-08,5.43,6.24,54.46,34.41,44196968,8.34,316.0,202.91,,,101.29,86.2,40.14,9.01,153.49,,0.0
2018-05-09,5.29,4.93,-20.99,-15.22,10632276,1.83,249.65,146.5,,,59.03,69.3,40.61,12.56,97.13,,-20.99
2018-05-10,4.95,5.2,5.48,0.41,6199441,1.01,242.33,118.49,,,67.74,70.6,40.54,12.84,104.17,,-16.67
2018-05-11,6.03,5.75,10.58,16.0,14499646,2.12,288.51,132.79,,,85.48,73.1,40.53,12.33,120.74,,-7.85
2018-05-14,6.09,5.75,0.0,5.91,5697839,0.8,42.33,138.59,,,85.48,73.1,40.51,12.27,115.47,,-7.85
2018-05-15,5.6,5.46,-5.04,-2.61,2166936,0.3,-12.5,160.0,,,76.13,69.5,40.33,12.72,100.42,,-12.5
2018-05-16,7.01,7.19,31.68,28.39,26788096,3.13,45.84,270.62,131.94,,131.94,76.8,40.44,11.31,155.34,,0.0
2018-05-17,8.37,8.01,11.4,16.41,15808206,1.69,54.04,355.11,152.68,,158.39,79.3,40.18,10.73,174.18,,0.0
2018-05-18,7.8,6.79,-15.23,-2.62,6279905,0.65,18.09,285.8,114.2,,119.03,67.6,40.54,13.21,126.3,,-15.23
2018-05-21,7.15,7.09,4.42,5.3,2409764,0.25,23.3,306.98,126.52,,128.71,68.8,40.48,12.31,129.8,,-11.49
2018-05-22,7.77,6.94,-2.12,9.59,5021723,0.5,27.11,358.09,130.56,,123.87,67.4,40.22,12.79,119.06,,-13.36
2018-05-23,7.12,7.22,4.03,2.59,1606920,0.16,0.42,351.25,136.72,,132.9,68.7,40.23,11.89,121.77,,-9.86
2018-05-24,7.11,7.15,-0.97,-1.52,964108,0.09,-10.74,393.1,139.11,,130.65,68.0,40.05,11.53,113.97,,-10.74
2018-05-25,6.85,7.18,0.42,-4.2,3188998,0.31,5.74,439.85,135.41,,131.61,68.1,39.88,11.49,109.31,,-10.36
