date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-11-11,19.0,19.9,,,7541761,,,,,,0.0,,,20.2,,,
2021-11-12,20.9,22.04,10.75,5.03,2415704,,,,,,10.75,,,17.94,,,
2021-11-15,26.5,25.5,15.7,20.24,4275350,,,,,,28.14,,,16.24,,,
2021-11-16,26.14,31.5,23.53,2.51,2613234,,,,,,58.29,,,13.57,,,
2021-11-17,33.0,31.16,-1.08,4.76,3379978,,,,,,56.58,99.0,,14.6,,,
2021-11-18,27.9,30.94,-0.71,-10.46,885243,,55.48,,,,55.48,98.3,,14.62,,,
2021-11-19,30.74,27.05,-12.57,-0.65,795176,,22.73,,,,35.93,86.5,,16.89,,,
2021-11-22,29.08,27.86,2.99,7.5,439277,,9.25,,,,40.0,86.8,,16.08,,,
2021-11-23,27.85,24.57,-11.81,-0.04,524906,,-22.0,,,,23.47,77.9,,18.24,,,
2021-11-24,25.0,26.0,5.82,1.75,232380,,-16.56,,,,30.65,78.9,,16.54,,,
2021-11-26,24.65,25.67,-1.27,-5.19,198594,,-17.03,,,,28.99,78.0,,16.22,,,
2021-11-29,25.76,22.41,-12.7,0.35,556041,,-17.15,,,,12.61,69.7,,18.67,,,
2021-11-30,22.41,21.47,-4.19,0.0,598421,,-22.94,,,,7.89,67.4,,19.02,,,
2021-12-01,21.76,19.74,-8.06,1.35,737457,,-19.66,,,,-0.8,63.4,,20.91,,,
2021-12-02,19.8,21.86,10.74,0.3,795411,,-15.92,,,,9.85,66.1,,18.74,,,
2021-12-03,22.02,22.49,2.88,0.73,553795,,-12.39,,,,13.02,66.9,,17.8,,,
2021-12-06,23.36,22.4,-0.4,3.89,431380,,-0.04,,,,12.56,66.6,,17.33,,,
2021-12-07,22.7,24.0,7.14,1.34,287503,,11.78,,,,20.6,68.7,,15.94,,,
2021-12-08,24.86,24.09,0.37,3.58,163431,,22.04,,,,21.06,68.8,,15.26,,,
2021-12-09,23.85,23.62,-1.95,-1.0,285727,0.21,8.05,,,,18.69,67.4,,14.9,,,-25.02
2021-12-10,23.7,21.56,-8.72,0.34,266073,0.26,-4.14,,,,8.34,61.3,,16.01,,,-31.56
2021-12-13,22.22,21.38,-0.83,3.07,217505,0.24,-4.55,7.44,,,7.44,60.8,9.35,15.64,,,-32.13
2021-12-14,20.75,20.57,-3.79,-2.95,281139,0.39,-14.29,-6.67,,,3.37,58.4,9.1,15.65,,,-34.7
2021-12-15,20.64,18.65,-9.33,0.34,998925,1.58,-22.58,-26.86,,,-6.28,53.1,8.58,17.56,,,-40.79
2021-12-16,19.06,19.48,4.45,2.2,523581,1.07,-17.53,-38.16,,,-2.11,55.0,6.62,16.54,,,-38.16
