date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,61.2,61.4,,,264,,,,,,0.0,,,0.98,,,
2005-02-28,61.2,61.76,0.59,-0.33,692,,,,,,0.59,,,1.06,,,
2005-03-01,62.0,62.6,1.36,0.39,50,,,,,,1.95,,,1.09,,,
2005-03-02,61.4,61.4,-1.92,-1.92,121,,,,,,0.0,81.0,,1.41,,,
2005-03-03,61.4,60.2,-1.95,0.0,330,,,,,,-1.95,67.3,,1.78,,,
2005-03-04,59.04,58.04,-3.59,-1.93,936,,-5.47,,,,-5.47,50.6,,2.18,,,
2005-03-07,60.0,62.4,7.51,3.38,465,,1.04,,,,1.63,67.9,,2.47,,,
2005-03-08,62.4,61.8,-0.96,0.0,127,,-1.28,,,,0.65,64.6,,2.72,,,
2005-03-10,59.4,60.6,-1.94,-3.88,450,,-1.3,,,,-1.3,58.4,,2.93,,,
2005-03-11,59.4,61.4,1.32,-1.98,1203,,1.99,,,,0.0,61.0,,3.24,,,
2005-03-14,65.36,61.4,0.0,6.45,357,,5.79,,,,0.0,61.0,,3.7,,,
2005-03-15,64.36,61.4,0.0,4.82,420,,-1.6,,,,0.0,61.0,,3.86,,,
2005-03-16,60.6,59.2,-3.58,-1.3,750,,-4.21,,,,-3.58,50.0,,4.31,,,
2005-03-17,59.2,54.68,-7.64,0.0,1287,,-9.77,,,,-10.94,35.7,,5.29,,,
2005-03-18,54.28,51.48,-5.85,-0.73,959,,-16.16,,,,-16.16,29.3,,5.85,,,
2005-03-21,54.48,55.24,7.3,5.83,278,,-10.03,,,,-10.03,42.4,,5.99,,,
2005-03-22,55.24,55.44,0.36,0.0,126,,-9.71,,,,-9.71,43.0,,5.82,,,
2005-03-23,63.96,63.0,13.64,15.37,67791,,6.42,,,,2.61,60.0,,7.88,,,
2005-03-24,59.6,57.04,-9.46,-5.4,12529,,4.32,,,,-7.1,47.9,,9.02,,,
2005-03-28,56.24,55.48,-2.73,-1.4,4434,0.95,7.77,,,,-9.64,45.3,,9.24,,,-11.94
2005-03-29,55.24,55.04,-0.79,-0.43,2252,0.47,-0.36,,,,-10.36,44.5,,9.19,,,-12.63
2005-03-30,56.04,51.48,-6.47,1.82,5595,1.11,-7.14,-16.16,,,-16.16,39.1,5.29,10.39,,,-18.29
2005-03-31,52.48,51.28,-0.39,1.94,1669,0.33,-18.6,-16.97,,,-16.48,38.8,5.28,10.35,,,-18.6
2005-04-01,50.52,48.12,-6.16,-1.48,1098,0.21,-15.64,-23.13,,,-21.63,34.4,5.38,10.91,,,-23.62
