date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-09-16,14.28,14.26,,,1546,,,,,,0.0,,,0.12,,,
2016-09-19,14.38,14.39,0.94,0.81,619,,,,,,0.94,,,0.18,,,
2016-09-20,14.52,14.52,0.88,0.88,105,,,,,,1.83,,,0.23,,,
2016-09-22,14.92,14.86,2.34,2.74,3811,,,,,,4.21,,,0.4,,,
2016-09-23,14.87,14.81,-0.33,0.07,9547,,,,,,3.87,97.5,,0.42,,,
2016-09-26,14.69,14.58,-1.58,-0.79,2929,,2.23,,,,2.23,86.5,,0.51,,,
2016-09-27,14.71,14.75,1.2,0.93,3520,,2.5,,,,3.46,87.6,,1.24,,,
2016-09-28,14.83,14.85,0.66,0.53,2977,,2.27,,,,4.14,88.2,,1.19,,,
2016-09-29,14.85,14.8,-0.33,0.0,3899,,-0.4,,,,3.8,86.0,,1.14,,,
2016-09-30,14.82,14.85,0.33,0.13,3818,,0.26,,,,4.14,86.4,,1.11,,,
2016-10-03,14.9,14.8,-0.35,0.33,3554,,1.51,,,,3.78,83.8,,1.11,,,
2016-10-04,14.93,14.79,-0.04,0.88,10837,,0.27,,,,3.74,83.5,,1.1,,,
2016-10-05,14.92,14.93,0.92,0.85,1378,,0.52,,,,4.69,84.9,,1.08,,,
2016-10-06,14.94,14.88,-0.32,0.06,3860,,0.53,,,,4.35,82.3,,1.05,,,
2016-10-07,14.89,14.89,0.06,0.06,8858,,0.26,,,,4.41,82.4,,1.01,,,
2016-10-10,14.98,14.96,0.46,0.58,11195,,1.08,,,,4.9,83.3,,0.98,,,
2016-10-11,15.0,14.84,-0.79,0.24,6253,,0.32,,,,4.07,76.6,,0.99,,,
2016-10-12,14.85,14.78,-0.39,0.07,4865,,-0.98,,,,3.67,73.5,,0.98,,,
2016-10-13,14.63,14.67,-0.8,-1.06,6557,,-1.45,,,,2.84,67.5,,1.03,,,
