date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-07-01,25.57,22.32,,,2056269,,,,,,0.0,,,16.73,,,
2015-07-02,22.23,23.3,4.39,-0.4,1942924,,,,,,4.39,,,15.25,,,
2015-07-06,23.23,22.86,-1.89,-0.32,1762345,,,,,,2.42,96.7,,14.59,,,
2015-07-07,22.48,22.86,0.0,-1.67,1664334,,,,,,2.42,96.7,,13.72,,,
2015-07-08,22.6,22.93,0.28,-1.17,1387492,,,,,,2.71,96.7,,12.83,,,
2015-07-09,22.85,22.93,0.0,-0.36,1306892,,2.71,,,,2.71,96.7,,12.02,,,
2015-07-10,23.05,23.22,1.27,0.52,889988,,-0.36,,,,4.01,96.8,,11.15,,,
2015-07-13,23.17,23.47,1.07,-0.2,890099,,2.64,,,,5.13,96.9,,10.35,,,
2015-07-14,23.3,23.52,0.24,-0.7,715650,,2.89,,,,5.38,96.9,,9.67,,,
2015-07-15,23.38,23.41,-0.48,-0.63,919856,,2.11,,,,4.87,95.6,,9.12,,,
2015-07-16,23.36,23.32,-0.38,-0.23,782776,,1.72,,,,4.47,94.5,,8.59,,,
2015-07-17,23.44,23.29,-0.16,0.5,1040563,,0.29,,,,4.31,94.1,,8.04,,,
2015-07-20,23.13,22.99,-1.29,-0.67,2752644,,-2.06,,,,2.96,90.1,,7.66,,,
2015-07-21,22.85,22.78,-0.87,-0.6,1408631,,-3.15,,,,2.06,87.5,,7.25,,,
2015-07-22,22.55,22.77,-0.09,-1.04,617636,,-2.76,,,,1.97,87.3,,6.85,,,
2015-07-23,22.83,22.56,-0.89,0.29,815629,,-3.26,,,,1.07,84.4,,6.56,,,
2015-07-24,22.41,22.2,-1.62,-0.67,958762,,-4.68,,,,-0.57,79.3,,6.32,,,
2015-07-27,21.94,22.03,-0.77,-1.18,859215,,-4.17,,,,-1.33,77.0,,6.0,,,
2015-07-28,22.02,22.1,0.32,-0.04,1091265,,-3.01,,,,-1.01,77.3,,5.62,,,
2015-07-29,22.13,22.29,0.87,0.17,923279,0.74,-2.09,,,,-0.16,78.1,,5.25,,,-5.25
