date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-02-01,9.8,9.82,,,61500,,,,,,0.0,,,0.2,,,
2022-02-03,9.82,9.82,0.0,0.0,297080,,,,,,0.0,,,0.19,,,
2022-02-04,9.82,9.84,0.2,-0.0,71816,,,,,,0.2,,,0.19,,,
2022-02-07,9.83,9.84,0.0,-0.1,458988,,,,,,0.2,,,0.19,,,
2022-02-08,9.84,9.84,0.0,0.0,202682,,,,,,0.2,,,0.19,,,
2022-02-09,9.82,9.84,0.0,-0.2,1580623,,0.2,,,,0.2,,,0.19,,,
2022-02-10,9.84,9.83,-0.1,0.0,188785,,0.1,,,,0.1,61.2,,0.18,,,
2022-02-11,9.84,9.83,0.0,0.1,29004,,-0.1,,,,0.1,61.2,,0.18,,,
2022-02-14,9.84,9.84,0.1,0.1,14226,,0.0,,,,0.2,73.2,,0.17,,,
2022-02-15,9.85,9.82,-0.2,0.06,719,,-0.2,,,,0.0,44.1,,0.18,,,
2022-02-16,9.84,9.84,0.2,0.2,8800,,0.0,,,,0.2,60.9,,0.18,,,
2022-02-18,9.84,9.83,-0.1,0.0,1886,,0.0,,,,0.1,52.3,,0.17,,,
2022-02-22,9.84,9.85,0.2,0.1,113436,,0.2,,,,0.31,63.4,,0.18,,,
2022-02-23,9.85,9.86,0.1,0.0,147510,,0.2,,,,0.41,67.5,,0.19,,,
2022-02-24,9.85,9.85,-0.1,-0.1,24414,,0.3,,,,0.31,60.2,,0.18,,,
2022-02-25,9.86,9.85,0.0,0.1,117900,,0.1,,,,0.31,60.2,,0.17,,,
2022-02-28,9.85,9.85,0.0,0.0,6527,,0.2,,,,0.31,60.2,,0.16,,,
2022-03-01,9.87,9.88,0.3,0.2,528906,,0.3,,,,0.61,71.6,,0.17,,,
2022-03-02,9.87,9.88,0.0,-0.1,63179,,0.2,,,,0.61,71.6,,0.17,,,
2022-03-03,9.88,9.88,0.0,0.0,901300,3.74,0.3,,,,0.61,71.6,,0.18,,,0.0
2022-03-07,9.87,9.86,-0.2,-0.1,1166,0.0,0.1,,,,0.41,57.8,,0.18,,,-0.2
2022-03-09,9.88,9.88,0.2,0.2,427187,1.75,0.3,0.61,,,0.61,65.1,0.14,0.19,,,0.0
2022-03-10,9.89,9.88,0.0,0.1,77807,0.32,0.0,0.61,,,0.61,65.1,0.14,0.18,,,0.0
2022-03-14,9.87,9.87,-0.1,-0.1,22006,0.1,-0.1,0.3,,,0.51,59.2,0.13,0.18,,,-0.1
2022-03-15,9.87,9.87,0.0,0.0,2483,0.01,-0.1,0.3,,,0.51,59.2,0.13,0.17,,,-0.1
2022-03-16,9.87,9.87,0.0,0.0,1922,0.01,0.1,0.3,,,0.51,59.2,0.13,0.16,,,-0.1
2022-03-17,9.87,9.87,0.0,0.0,2161,0.02,-0.1,0.3,,,0.51,59.2,0.13,0.15,,,-0.1
2022-03-18,9.87,9.87,0.0,0.0,5132,0.04,-0.1,0.41,,,0.51,59.2,0.13,0.14,,,-0.1
2022-03-21,9.87,9.9,0.3,0.0,2607,0.02,0.3,0.71,,,0.81,70.7,0.14,0.15,,,0.0
2022-03-22,9.9,9.87,-0.3,0.0,2089,0.02,0.0,0.3,,,0.51,54.2,0.16,0.17,,,-0.3
2022-03-23,9.9,9.87,0.0,0.3,241724,1.8,0.0,0.51,,,0.51,54.2,0.15,0.18,,,-0.3
2022-03-24,9.87,9.89,0.2,0.0,18978,0.14,0.2,0.51,,,0.71,61.2,0.15,0.19,,,-0.1
