date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-11-21,12.6,8.99,,,4073294,,,,,,0.0,,,53.28,,,
2019-11-22,8.05,8.98,-0.11,-10.46,672461,,,,,,-0.11,0.0,,50.72,,,
2019-11-25,8.88,8.29,-7.68,-1.11,1125433,,,,,,-7.79,0.0,,52.41,,,
2019-11-26,8.25,8.19,-1.21,-0.48,674490,,,,,,-8.9,0.0,,49.69,,,
2019-11-27,8.25,8.27,0.98,0.73,132525,,,,,,-8.01,9.1,,46.01,,,
2019-11-29,8.26,8.25,-0.24,-0.12,97102,,-8.23,,,,-8.23,8.9,,43.22,,,
2019-12-02,8.25,8.35,1.21,0.0,95292,,-7.02,,,,-7.12,19.3,,39.92,,,
2019-12-03,8.29,8.18,-2.04,-0.72,67054,,-1.33,,,,-9.01,15.9,,38.09,,,
2019-12-04,8.22,8.07,-1.34,0.49,50194,,-1.47,,,,-10.23,14.2,,36.23,,,
2019-12-05,8.0,7.85,-2.73,-0.87,284821,,-5.08,,,,-12.68,11.6,,35.11,,,
2019-12-06,8.1,7.8,-0.64,3.18,354882,,-5.45,,,,-13.24,11.0,,33.72,,,
2019-12-09,7.9,7.25,-7.05,1.28,143611,,-13.17,,,,-19.35,7.3,,34.4,,,
2019-12-10,7.24,6.57,-9.38,-0.14,198459,,-19.68,,,,-26.92,5.0,,36.11,,,
2019-12-11,6.59,6.17,-6.09,0.3,164228,,-23.54,,,,-31.37,4.2,,36.33,,,
2019-12-12,6.11,5.71,-7.46,-0.97,202161,,-27.26,,,,-36.48,3.5,,37.3,,,
2019-12-13,5.75,5.24,-8.23,0.7,212368,,-32.82,,,,-41.71,2.9,,38.63,,,
2019-12-16,5.2,4.65,-11.26,-0.76,442548,,-35.86,,,,-48.28,2.4,,41.47,,,
2019-12-17,4.6,5.19,11.61,-1.08,451674,,-21.0,,,,-42.27,16.8,,35.56,,,
2019-12-18,5.2,4.63,-10.79,0.19,425127,,-24.96,,,,-48.5,14.4,,38.06,,,
2019-12-19,4.57,4.65,0.43,-1.3,201770,0.4,-18.56,,,,-48.28,14.9,,35.67,,,-48.28
2019-12-20,4.61,4.77,2.58,-0.86,75831,0.25,-8.97,,,,-46.94,17.8,,32.81,,,-46.94
2019-12-23,4.93,5.29,10.9,3.35,446404,1.53,13.76,-41.16,,,-41.16,29.0,6.19,28.72,,,-41.16
2019-12-24,5.22,5.69,7.56,-1.32,243638,0.98,9.63,-36.64,,,-36.71,36.2,6.54,25.43,,,-36.71
2019-12-26,5.68,5.58,-1.93,-0.18,206815,0.92,20.52,-32.69,,,-37.93,35.1,6.41,25.03,,,-37.93
2019-12-27,5.53,5.63,0.9,-0.9,694043,2.74,21.08,-31.26,,,-37.37,36.0,6.43,23.47,,,-37.37
2019-12-30,5.71,6.53,15.99,1.42,393357,1.47,36.9,-21.04,,,-27.36,49.7,7.48,19.99,,,-27.36
2019-12-31,6.51,6.1,-6.58,-0.31,116679,0.43,15.31,-26.06,,,-32.15,44.8,7.58,20.5,,,-32.15
2020-01-02,6.09,6.02,-1.31,-0.16,225536,0.82,5.8,-27.9,,,0.0,43.9,7.56,19.91,,,-33.04
2020-01-03,6.04,6.07,0.83,0.33,160580,0.57,8.78,-25.79,,,0.83,44.7,7.57,18.85,,,-32.48
2020-01-06,6.08,5.88,-3.13,0.16,88290,0.32,4.44,-27.14,,,-2.33,42.4,7.59,18.54,,,-34.59
2020-01-07,6.05,5.82,-1.02,2.89,80984,0.31,-10.87,-25.86,,,-3.32,41.7,7.58,17.98,,,-35.26
2020-01-08,5.8,6.12,5.15,-0.34,115936,0.45,0.33,-21.54,,,1.66,46.5,7.7,16.41,,,-31.92
2020-01-09,6.25,6.49,6.05,2.12,193275,0.75,7.81,-10.48,,,7.81,51.9,7.71,15.0,,,-27.81
2020-01-10,6.5,6.49,0.0,0.15,247122,0.95,6.92,-1.22,,,7.81,51.9,7.42,14.27,,,-27.81
2020-01-13,6.42,6.44,-0.77,-1.08,61905,0.24,9.52,4.38,,,6.98,51.1,7.28,13.61,,,-28.36
2020-01-14,6.41,6.14,-4.66,-0.47,129074,0.52,5.5,7.53,,,1.99,46.5,7.15,13.74,,,-31.7
2020-01-15,6.15,5.62,-8.47,0.16,240682,1.0,-8.17,7.25,,,-6.64,39.8,7.17,14.94,,,-37.49
2020-01-16,5.66,5.78,2.85,0.71,90665,0.41,-10.94,24.3,,,-3.99,42.5,6.65,13.93,,,-35.71
2020-01-17,5.8,6.0,3.81,0.35,82373,0.4,-7.55,15.61,,,-0.33,46.1,6.24,12.96,,,-33.26
2020-01-21,6.04,5.7,-5.0,0.67,132790,0.66,-11.49,23.11,,,-5.32,42.2,5.82,13.42,,,-36.6
2020-01-22,5.85,5.24,-8.07,2.63,808456,3.4,-14.66,12.69,,,-12.96,37.0,6.15,14.61,,,-41.71
2020-01-23,5.21,5.08,-3.05,-0.57,87841,0.4,-9.61,6.5,,,-15.61,35.4,6.19,14.49,,,-43.49
2020-01-24,5.08,5.07,-0.2,0.0,39542,0.19,-12.28,-4.16,,,-15.78,35.3,5.71,13.64,,,-43.6
2020-01-27,5.05,4.99,-1.58,-0.39,61790,0.31,-16.83,-12.3,,,-17.11,34.4,5.45,13.56,,,-44.49
2020-01-28,5.0,5.05,1.2,0.2,60407,0.35,-11.4,-9.5,,,-16.11,35.7,5.45,12.74,,,-43.83
2020-01-29,5.04,5.67,12.28,-0.2,89781,0.58,8.21,0.71,,,-5.81,47.2,6.1,11.38,,,-36.93
2020-01-30,5.7,5.86,3.35,0.53,168479,1.06,15.35,-10.26,,,-2.66,50.2,4.99,10.63,,,-34.82
2020-01-31,5.9,6.0,2.39,0.68,262551,1.64,18.34,-1.64,,,-0.33,52.3,4.82,11.07,,,-33.26
2020-02-03,5.92,5.58,-7.0,-1.33,216776,1.33,11.82,-7.31,,,-7.31,46.0,5.05,11.82,,,-37.93
2020-02-04,5.5,5.11,-8.42,-1.43,277538,1.61,1.19,-15.82,,,-15.12,40.2,5.35,12.73,-18.39,,-43.16
2020-02-05,5.2,4.94,-3.33,1.76,149525,0.85,-12.87,-15.99,,,-17.94,38.3,5.35,13.14,-20.08,,-45.05
2020-02-06,5.1,4.88,-1.21,3.24,253699,1.39,-16.72,-16.15,,,-18.94,37.6,5.35,13.04,-19.98,,-45.72
2020-02-07,5.05,4.55,-6.76,3.48,336407,1.77,-24.17,-25.65,,,-24.42,34.0,5.33,13.94,-24.47,,-49.39
2020-02-10,4.5,4.57,0.44,-1.1,355356,1.82,-18.1,-29.58,,,-24.09,34.4,5.08,13.22,-23.21,,-49.17
2020-02-11,4.76,4.4,-3.72,4.16,325424,1.56,-13.89,-32.2,,,-26.91,32.6,5.09,13.48,-25.1,,-51.06
2020-02-12,4.42,8.04,82.73,0.45,11997687,14.96,62.75,24.84,,,33.55,69.7,19.13,10.66,36.97,,-10.57
2020-02-13,7.06,6.64,-17.41,-12.19,4089172,4.11,36.07,8.14,,,10.3,56.8,19.55,14.15,13.78,,-26.14
2020-02-14,6.95,6.78,2.11,4.67,1932725,1.78,49.01,20.64,,,12.62,57.6,19.42,13.75,16.74,,-24.58
2020-02-18,6.83,5.75,-15.19,0.74,1356837,1.18,25.82,-0.52,,,-4.49,49.9,19.78,16.47,-0.2,,-36.04
2020-02-19,5.82,5.71,-0.7,1.22,1029082,0.86,29.77,-4.83,,,-5.15,49.6,19.78,16.25,-0.15,,-36.48
2020-02-20,5.5,5.32,-6.83,-3.68,745259,0.63,-33.83,-6.67,,,-11.63,46.8,19.81,17.0,-6.16,,-40.82
2020-02-21,5.26,5.86,10.15,-1.13,580408,0.48,-11.75,11.83,,,-2.66,50.9,19.79,15.26,3.88,,-34.82
2020-02-24,5.99,5.65,-3.58,2.22,494842,0.4,-16.67,11.22,,,-6.15,49.3,19.8,15.48,0.48,,-37.15
2020-02-25,5.62,5.5,-2.65,-0.53,326560,0.26,-4.35,8.48,-38.82,,-8.64,48.2,19.82,15.21,-1.95,,-38.82
2020-02-26,5.4,5.5,0.0,-1.82,333293,0.26,-3.68,10.22,-38.75,,-8.64,48.2,19.81,14.41,-1.88,,-38.82
2020-02-27,5.23,5.36,-2.55,-4.91,451640,0.35,0.75,6.14,-35.34,,-10.96,47.0,19.83,14.46,-4.42,,-40.38
2020-02-28,5.23,5.09,-5.04,-2.43,314038,0.24,-13.14,-10.23,-37.85,,-15.45,44.7,19.72,14.93,-9.37,,-43.38
2020-03-02,5.15,5.04,-0.98,1.22,225120,0.17,-10.8,-13.99,-39.06,,-16.28,44.3,19.72,14.78,-10.21,,-43.94
2020-03-03,5.02,4.9,-2.78,-0.4,291904,0.23,-10.91,-18.33,-40.61,,-18.6,43.0,19.73,14.77,-12.79,,-45.49
2020-03-04,4.9,4.66,-4.9,0.0,229017,0.18,-15.27,-16.49,-44.19,,-22.59,40.9,19.69,14.9,-17.07,,-48.16
2020-03-05,4.63,4.83,3.65,-0.64,311764,0.24,-9.89,-5.48,-40.95,,-19.77,43.1,19.6,13.76,-14.06,,-46.27
2020-03-06,4.63,4.26,-11.8,-4.14,419019,0.32,-16.31,-13.77,-47.21,,-29.24,38.1,19.78,15.54,-23.92,,-52.61
2020-03-09,4.05,3.38,-20.66,-4.93,594826,0.45,-32.94,-30.74,-56.94,,-43.85,31.9,20.31,20.22,-39.14,,-62.4
2020-03-10,3.64,3.43,1.48,7.69,462878,0.35,-30.0,-24.62,-56.03,,-43.02,32.6,20.26,19.06,-37.75,,-61.85
