date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,28.0,28.75,,,220,,,,,,0.0,,,2.61,,,
2005-02-28,28.75,28.75,0.0,0.0,20,,,,,,0.0,,,2.42,,,
2005-03-01,28.75,28.75,0.0,0.0,20,,,,,,0.0,,,2.25,,,
2005-03-03,28.75,27.5,-4.35,0.0,820,,,,,,-4.35,0.0,,2.51,,,
2005-03-04,28.75,28.5,3.64,4.55,1140,,,,,,-0.87,46.3,,2.56,,,
2005-03-07,29.0,31.5,10.53,1.75,2273,,9.57,,,,9.57,78.5,,3.06,,,
2005-03-08,32.0,31.75,0.79,1.59,2107,,10.43,,,,10.43,79.6,,2.93,,,
2005-03-09,32.5,32.5,2.36,2.36,1060,,13.04,,,,13.04,82.5,,2.82,,,
2005-03-10,33.0,32.0,-1.54,1.54,391,,16.36,,,,11.3,74.9,,2.89,,,
2005-03-11,32.0,33.75,5.47,0.0,1000,,18.42,,,,17.39,81.3,,2.91,,,
2005-03-14,33.75,34.5,2.22,0.0,1699,,9.52,,,,20.0,83.3,,2.8,,,
2005-03-15,34.5,35.5,2.9,0.0,1500,,11.81,,,,23.48,85.5,,2.73,,,
2005-03-16,35.5,36.5,2.82,0.0,2918,,12.31,,,,26.96,87.3,,2.66,,,
2005-03-17,36.5,36.5,0.0,0.0,500,,14.06,,,,26.96,87.3,,2.66,,,
2005-03-18,36.5,35.5,-2.74,0.0,1050,,5.19,,,,23.48,76.3,,2.8,,,
2005-03-21,35.5,35.0,-1.41,0.0,760,,1.45,,,,21.74,71.4,,3.3,,,
2005-03-22,33.25,33.25,-5.0,-5.0,700,,-6.34,,,,15.65,57.6,,3.6,,,
2005-03-24,32.5,32.5,-2.26,-2.26,230,,-10.96,,,,13.04,52.9,,3.58,,,
2005-03-29,32.5,32.5,0.0,0.0,180,,-10.96,,,,13.04,52.9,,3.33,,,
2005-03-30,33.25,32.5,0.0,2.31,120,0.13,-8.45,,,,13.04,52.9,,3.25,,,-10.96
2005-04-05,31.5,32.0,-1.54,-3.08,220,0.24,-8.57,,,,11.3,49.5,,3.29,,,-12.33
2005-04-06,32.0,33.25,3.91,0.0,240,0.25,0.0,15.65,,,15.65,56.9,3.52,3.21,,,-8.9
2005-04-08,31.75,31.75,-4.51,-4.51,100,0.11,-2.31,10.43,,,10.43,47.8,3.7,3.46,,,-13.01
