date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,19.37,19.5,,,3973889,,,,,,0.0,,,4.44,,,
2005-02-28,19.95,18.8,-3.63,2.28,4057592,,,,,,-3.63,0.0,,4.81,,,
2005-03-01,18.96,17.97,-4.39,0.89,4178410,,,,,,-7.86,0.0,,5.28,,,
2005-03-02,17.93,18.05,0.42,-0.24,3999365,,,,,,-7.47,0.8,,5.49,,,
2005-03-03,18.08,18.22,0.95,0.18,1754771,,,,,,-6.58,2.7,,5.25,,,
2005-03-04,18.34,18.68,2.54,0.68,3297021,,-4.21,,,,-4.21,7.9,,5.12,,,
2005-03-07,19.15,18.59,-0.49,2.51,1691693,,-1.1,,,,-4.68,7.8,,5.01,,,
2005-03-08,18.83,18.83,1.3,1.3,2005383,,4.79,,,,-3.44,10.7,,4.81,,,
2005-03-09,18.73,18.47,-1.9,-0.55,1883353,,2.36,,,,-5.28,10.2,,4.75,,,
2005-03-10,18.14,17.38,-5.93,-1.83,3942592,,-4.61,,,,-10.89,8.8,,5.25,,,
2005-03-11,17.22,18.03,3.75,-0.9,1577667,,-3.49,,,,-7.55,16.0,,5.1,,,
2005-03-14,18.24,17.44,-3.3,1.14,2023821,,-6.21,,,,-10.6,14.8,,5.33,,,
2005-03-15,17.64,17.86,2.41,1.17,1458303,,-5.18,,,,-8.45,19.3,,5.06,,,
2005-03-16,17.9,17.99,0.74,0.24,1659185,,-2.63,,,,-7.77,20.7,,4.92,,,
2005-03-17,17.9,19.0,5.63,-0.49,2575750,,9.33,,,,-2.58,30.6,,4.76,,,
2005-03-18,19.41,19.92,4.82,2.13,5096917,,10.46,,,,2.12,38.1,,4.72,,,
2005-03-21,20.07,19.46,-2.28,0.78,2604863,,11.63,,,,-0.2,36.0,,4.74,,,
2005-03-22,19.41,19.32,-0.76,-0.26,2295542,,8.17,,,,-0.97,35.3,,4.67,,,
