date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2022-01-20,40.71,44.74,,,154303,,,,,,0.0,,,16.49,,,
2022-01-21,42.75,44.74,0.0,-4.44,331395,,,,,,0.0,,,16.42,,,
2022-01-24,44.66,42.55,-4.89,-0.18,110641,,,,,,-4.89,0.0,,16.55,,,
2022-01-25,42.26,41.66,-2.11,-0.7,23608,,,,,,-6.89,0.0,,16.31,,,
2022-01-26,44.75,42.97,3.16,7.43,91286,,,,,,-3.96,32.6,,15.21,,,
2022-01-27,46.99,45.5,5.88,9.35,152496,,1.69,,,,1.69,59.7,,14.34,,,
2022-01-28,44.29,46.48,2.16,-2.64,43861,,3.89,,,,3.89,65.6,,13.56,,,
2022-01-31,45.73,47.72,2.67,-1.6,71727,,12.15,,,,6.67,71.2,,12.56,,,
2022-02-01,47.23,49.49,3.71,-1.04,300540,,18.81,,,,10.62,77.0,,11.67,,,
2022-02-02,49.74,52.7,6.49,0.5,23999206,,22.65,,,,17.8,83.5,,11.04,,,
2022-02-03,51.89,53.31,1.15,-1.55,8474356,,17.18,,,,19.16,84.4,,10.97,,,
2022-02-04,52.3,49.85,-6.49,-1.9,6797071,,7.25,,,,11.42,63.3,,11.5,,,
2022-02-07,49.71,45.8,-8.12,-0.28,9487274,,-4.02,,,,2.38,48.1,,12.26,,,
2022-02-08,44.87,45.24,-1.24,-2.04,7319582,,-8.6,,,,1.11,46.4,,12.06,,,
2022-02-09,44.49,47.04,3.98,-1.65,4418765,,-10.75,,,,5.13,52.2,,11.31,,,
2022-02-10,45.25,46.78,-0.55,-3.8,2464100,,-12.25,,,,4.56,51.3,,11.03,,,
2022-02-11,46.49,47.81,2.21,-0.62,3476836,,-4.09,,,,6.87,54.5,,10.45,,,
2022-02-14,47.91,47.83,0.04,0.21,2167549,,4.43,,,,6.91,54.5,,9.99,,,
2022-02-15,47.43,47.72,-0.23,-0.85,2373508,,5.49,,,,6.67,54.1,,9.49,,,
2022-02-16,47.45,46.93,-1.67,-0.58,5889269,1.51,-0.23,,,,4.89,50.9,,9.19,,,-11.97
2022-02-17,46.05,45.03,-4.05,-1.86,3160784,0.78,-3.74,,,,0.64,44.3,,9.21,,,-15.54
2022-02-18,44.89,45.15,0.26,-0.31,2030363,0.49,-5.57,0.91,,,0.91,44.8,3.82,8.7,,,-15.31
2022-02-22,45.15,43.29,-4.12,0.0,2626320,0.62,-9.5,-3.24,,,-3.24,39.0,3.93,8.79,,,-18.8
2022-02-23,43.44,42.84,-1.03,0.34,2807401,0.64,-10.23,0.68,,,-4.24,37.8,3.78,8.55,,,-19.64
2022-02-24,42.9,44.06,2.85,0.14,2462101,0.54,-6.1,5.78,,,-1.51,43.2,3.79,8.1,,,-17.34
2022-02-25,44.04,43.66,-0.93,-0.05,2052773,0.44,-3.05,1.6,,,-2.42,41.9,3.74,7.78,,,-18.11
2022-02-28,43.05,45.72,4.71,-1.39,5567033,1.14,1.26,0.48,,,2.18,50.0,3.66,7.55,,,-14.25
2022-03-01,45.36,47.51,3.94,-0.78,4237288,0.83,9.76,2.22,,,6.2,55.9,3.73,7.15,,,-10.87
2022-03-02,47.72,49.17,3.49,0.44,3537442,0.67,14.78,3.04,,,9.91,60.5,3.76,6.84,,,-7.76
2022-03-03,49.53,49.23,0.12,0.73,2084401,0.5,11.73,-0.52,,,10.04,60.6,3.68,6.75,,,-7.65
2022-03-04,48.89,50.71,2.99,-0.71,2559457,0.66,16.15,-3.79,,,13.33,64.4,3.44,6.47,,,-4.89
2022-03-07,50.77,51.35,1.27,0.12,2742925,0.75,12.33,-3.67,,,14.78,66.0,3.44,6.31,,,-3.67
2022-03-08,50.89,52.02,1.3,-0.91,3896175,1.15,9.48,4.35,,,16.27,67.6,3.13,6.39,,,-2.42
2022-03-09,52.14,51.03,-1.89,0.23,3068309,0.96,3.78,11.42,,,14.07,62.9,2.53,6.48,,,-4.27
2022-03-10,50.28,51.02,-0.02,-1.48,2708447,0.87,3.63,12.79,,,14.04,62.9,2.5,6.35,,,-4.29
2022-03-11,51.12,49.04,-3.9,0.2,3051664,0.98,-3.29,4.25,,,9.6,54.2,2.56,6.65,,,-8.02
2022-03-14,51.56,50.66,3.3,5.15,2933494,0.95,-1.36,8.29,,,13.22,59.2,2.64,6.44,,,-4.98
2022-03-15,51.04,50.99,0.67,0.77,2129771,0.69,-1.97,6.65,,,13.98,60.1,2.61,6.17,,,-4.35
2022-03-16,51.41,51.47,0.94,0.82,3007125,0.96,0.86,7.61,,,15.04,61.5,2.61,5.96,,,-3.45
2022-03-17,51.58,50.7,-1.51,0.21,2257601,0.77,-0.64,6.23,,,13.31,58.0,2.64,5.87,,,-4.9
2022-03-18,50.36,48.73,-3.88,-0.67,9719941,2.97,-0.63,3.83,,,8.91,50.1,2.77,6.04,,,-8.6
2022-03-21,48.63,48.94,0.43,-0.2,2466169,0.75,-3.4,8.68,,,9.38,50.9,2.59,5.71,,,-8.21
2022-03-22,50.06,50.85,3.9,2.3,3864178,1.15,-0.29,12.62,,,13.64,57.3,2.7,5.49,,,-4.62
2022-03-23,50.41,50.7,-0.29,-0.86,2410186,0.72,-1.51,17.11,,,13.31,56.7,2.48,5.27,,,-4.9
2022-03-24,50.89,52.11,2.79,0.37,2348723,0.7,2.79,21.63,,,16.47,61.0,2.48,5.01,,,-2.26
2022-03-25,51.94,53.49,2.65,-0.32,2455344,0.73,9.77,21.39,,,19.56,64.7,2.47,4.77,,,0.0
2022-03-28,54.07,56.45,5.54,1.08,3145333,0.97,15.36,29.31,,,26.18,71.1,2.63,4.58,,,0.0
2022-03-29,56.67,56.01,-0.79,0.39,2214050,0.71,10.15,22.51,,,25.18,69.0,2.54,4.63,,,-0.79
