date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-09-20,12.35,14.29,,,1207437,,,,,,0.0,,,26.94,,,
2017-09-21,15.03,13.41,-6.16,5.18,201501,,,,,,-6.16,0.0,,27.99,,,
2017-09-22,13.07,13.63,1.64,-2.54,48941,,,,,,-4.62,1.9,,26.06,,,
2017-09-25,13.82,13.92,2.13,1.39,135544,,,,,,-2.59,4.4,,24.16,,,
2017-09-26,13.62,13.98,0.43,-2.16,28162,,,,,,-2.17,5.0,,22.82,,,
2017-09-27,13.96,13.0,-7.01,-0.14,96150,,-9.03,,,,-9.03,4.5,,23.73,,,
2017-09-28,13.08,11.94,-8.15,0.62,133228,,-10.96,,,,-16.45,4.1,,25.4,,,
2017-09-29,11.9,12.23,2.43,-0.34,57131,,-10.27,,,,-14.42,6.8,,23.42,,,
2017-10-02,12.25,12.12,-0.9,0.16,61496,,-12.93,,,,-15.19,6.7,,22.46,,,
2017-10-03,12.47,12.82,5.78,2.89,32185,,-8.3,,,,-10.29,13.4,,20.32,,,
2017-10-04,12.99,12.61,-1.64,1.33,27131,,-3.0,,,,-11.76,13.1,,19.6,,,
2017-10-05,12.9,12.56,-0.43,2.3,30468,,5.15,,,,-12.14,13.0,,18.72,,,
2017-10-06,12.28,13.06,4.02,-2.19,18806,,6.79,,,,-8.61,18.1,,17.16,,,
2017-10-09,13.2,12.67,-2.99,1.07,20575,,4.54,,,,-11.34,17.2,,16.78,,,
2017-10-10,12.5,12.8,1.03,-1.34,19700,,-0.16,,,,-10.43,18.6,,15.66,,,
2017-10-11,12.61,13.93,8.83,-1.48,52605,,10.47,,,,-2.52,29.5,,14.37,,,
2017-10-12,13.78,14.2,1.94,-1.06,30377,,13.1,,,,-0.63,31.8,,13.5,,,
2017-10-13,13.5,15.3,7.75,-4.93,68957,,17.15,,,,7.07,40.5,,12.87,,,
2017-10-16,15.17,15.48,1.18,-0.85,126230,,22.18,,,,8.33,41.8,,12.68,,,
2017-10-17,15.94,15.95,3.04,2.97,81859,0.66,24.61,,,,11.62,45.2,,12.03,,,0.0
2017-10-18,16.42,16.36,2.57,2.95,49641,0.75,17.44,,,,14.49,48.0,,11.31,,,0.0
2017-10-19,16.25,16.23,-0.79,-0.67,21087,0.37,14.3,13.58,,,13.58,47.2,4.35,10.9,,,-0.79
2017-10-20,16.24,16.24,0.06,0.06,16336,0.29,6.14,21.1,,,13.65,47.3,4.07,10.54,,,-0.73
2017-10-23,16.37,15.88,-2.22,0.8,16521,0.33,2.58,16.51,,,11.13,44.8,4.12,10.38,,,-2.93
2017-10-24,16.37,15.97,0.57,3.09,12859,0.26,0.13,14.73,,,11.76,45.5,4.11,9.96,,,-2.38
2017-10-25,15.87,16.4,2.69,-0.63,21192,0.47,0.24,17.31,,,14.77,49.2,4.13,9.32,,,0.0
2017-10-26,16.75,16.11,-1.77,2.13,27592,0.7,-0.74,23.92,,,12.74,46.9,3.78,9.09,,,-1.77
2017-10-27,15.88,16.34,1.43,-1.41,5808,0.16,0.62,36.85,,,14.35,48.9,3.13,8.53,,,-0.37
2017-10-30,16.21,18.26,11.75,-0.82,27818,0.79,14.99,49.3,,,27.78,62.0,3.84,8.38,,,0.0
2017-10-31,19.0,17.99,-1.48,4.05,37339,1.05,12.65,48.43,,,25.89,59.7,3.86,8.35,,,-1.48
2017-11-01,17.75,18.58,3.28,-1.33,35375,0.98,13.29,44.93,,,30.02,62.9,3.78,7.94,,,0.0
2017-11-02,18.41,18.55,-0.16,-0.91,11734,0.33,15.15,47.11,,,29.81,62.7,3.72,7.97,,,-0.16
2017-11-03,18.43,19.83,6.9,-0.65,20118,0.57,21.36,57.94,,,38.77,68.9,3.83,7.52,,,0.0
2017-11-06,19.83,21.35,7.67,0.0,44307,1.22,16.92,63.48,,,49.41,74.4,4.0,7.53,,,0.0
2017-11-07,21.35,20.56,-3.7,0.0,58017,1.52,14.29,62.27,,,43.88,67.7,4.05,7.62,,,-3.7
2017-11-08,20.45,20.29,-1.31,-0.54,40082,1.06,9.2,58.52,,,41.99,65.6,4.12,7.33,,,-4.96
2017-11-09,20.69,20.38,0.44,1.97,61910,1.58,9.87,46.3,,,42.62,66.0,3.85,7.37,,,-4.54
2017-11-10,20.15,21.65,6.23,-1.13,39556,1.05,9.18,52.46,,,51.5,71.0,3.97,7.07,,,0.0
2017-11-13,21.01,21.0,-3.0,-2.96,36273,1.09,-1.64,37.25,,,46.96,65.6,3.89,7.25,,,-3.0
2017-11-14,21.0,20.5,-2.38,0.0,29018,0.95,-0.29,32.43,,,43.46,61.8,3.99,7.22,,,-5.31
2017-11-15,20.35,20.24,-1.27,-0.73,9717,0.34,-0.25,26.9,,,41.64,59.8,4.01,7.08,,,-6.51
2017-11-16,20.19,19.98,-1.28,-0.24,65970,2.14,-1.96,22.13,,,39.82,57.8,4.04,7.02,,,-7.71
2017-11-17,19.86,18.25,-8.66,-0.6,42194,1.31,-15.7,12.45,,,27.71,46.7,4.55,7.96,,,-15.7
2017-11-20,18.33,17.2,-5.75,0.44,70150,2.01,-18.1,5.91,,,20.36,41.5,4.76,9.06,,,-20.55
2017-11-21,16.9,18.09,5.17,-1.74,28813,0.81,-11.76,13.92,,,26.59,46.9,4.83,8.71,,,-16.44
2017-11-22,18.3,19.1,5.58,1.16,13663,0.39,-5.63,19.6,,,33.66,52.3,4.94,8.12,,,-11.78
2017-11-24,19.27,18.43,-3.51,0.89,11835,0.34,-7.76,12.38,,,28.97,48.8,5.02,8.29,,,-14.87
2017-11-27,18.71,18.78,1.9,1.52,15524,0.44,2.9,16.57,,,31.42,50.7,4.99,8.13,,,-13.26
2017-11-28,18.59,18.75,-0.16,-1.01,59037,1.62,9.01,14.75,,,31.21,50.5,5.0,8.88,,,-13.39
2017-11-29,18.56,17.59,-6.19,-1.01,32062,0.88,-2.76,-3.67,,,23.09,44.3,4.54,9.4,6.64,,-18.75
2017-11-30,17.37,18.4,4.6,-1.25,23852,0.67,-3.66,2.28,,,28.76,49.0,4.64,8.97,10.99,,-15.01
2017-12-01,18.4,18.15,-1.36,0.0,36246,0.98,-1.52,-2.31,,,27.01,47.7,4.59,8.92,8.86,,-16.17
2017-12-04,18.1,17.91,-1.32,-0.28,16209,0.44,-4.63,-3.45,,,25.33,46.3,4.6,8.76,6.87,,-17.27
2017-12-05,17.5,18.27,2.01,-2.29,13833,0.39,-2.56,-7.87,,,27.85,48.6,4.35,8.27,8.46,,-15.61
2017-12-06,17.35,17.85,-2.3,-5.05,20257,0.61,1.48,-16.39,,,24.91,46.2,3.96,8.25,5.48,,-17.55
2017-12-07,17.99,17.99,0.78,0.78,13834,0.43,-2.23,-12.5,,,25.89,47.1,3.92,7.68,5.68,,-16.91
2017-12-08,18.0,18.11,0.67,0.06,20585,0.69,-0.22,-10.74,,,26.73,48.0,3.92,7.59,5.62,,-16.35
2017-12-11,17.94,17.98,-0.72,-0.94,28333,0.96,0.39,-11.78,,,25.82,47.1,3.92,7.26,4.17,,-16.95
2017-12-12,17.84,18.11,0.72,-0.81,31299,1.07,-0.88,-16.35,,,26.73,48.1,3.62,6.92,4.2,,-16.35
2017-12-13,18.6,18.79,3.75,2.71,38559,1.3,5.27,-10.52,,,31.49,53.3,3.71,6.89,7.37,,-13.21
2017-12-14,18.82,19.5,3.78,0.16,108487,3.14,8.39,-4.88,,,36.46,58.0,3.79,6.98,10.56,,-9.93
2017-12-15,19.5,18.78,-3.69,0.0,265427,5.96,3.7,-7.21,,,31.42,52.3,3.86,7.04,5.73,,-13.26
2017-12-18,18.92,19.07,1.54,0.75,31315,0.71,6.06,-4.55,,,33.45,54.2,3.88,6.83,6.64,,-11.92
2017-12-19,19.04,19.31,1.26,-0.16,57047,1.32,6.63,5.81,35.13,,35.13,55.8,3.36,6.7,7.19,,-10.81
2017-12-20,19.44,19.0,-1.61,0.67,27912,0.65,1.12,10.47,41.69,,32.96,53.2,3.09,6.56,4.75,,-12.24
2017-12-21,19.39,18.88,-0.63,2.05,30471,0.69,-3.18,4.37,38.52,,32.12,52.2,2.91,6.81,3.52,,-12.79
2017-12-22,18.91,19.05,0.9,0.16,8458,0.19,1.44,-0.26,36.85,,33.31,53.6,2.65,6.46,3.9,,-12.01
2017-12-26,19.22,19.0,-0.26,0.89,5872,0.14,-0.37,3.09,35.91,,32.96,53.1,2.52,6.22,3.21,,-12.24
2017-12-27,18.76,19.0,0.0,-1.26,9807,0.24,-1.61,1.17,46.15,,32.96,53.1,2.49,5.96,2.82,,-12.24
2017-12-28,18.86,18.98,-0.11,-0.74,10176,0.26,-0.11,1.23,58.96,,32.82,52.9,2.49,5.73,2.37,,-12.33
2017-12-29,19.09,18.95,-0.16,0.58,43252,1.06,0.37,7.73,54.95,,32.61,52.5,2.04,5.7,1.93,,-12.47
2018-01-02,18.46,20.52,8.28,-2.59,36227,0.89,7.72,11.52,69.31,,0.0,65.4,2.52,5.61,9.86,,-5.22
2018-01-03,20.81,20.32,-0.97,1.41,42485,1.01,6.95,11.96,58.5,,-0.97,63.1,2.51,6.22,8.32,,-6.14
2018-01-04,21.01,20.98,3.25,3.4,9704,0.23,10.42,17.14,66.38,,2.24,67.3,2.53,5.89,11.23,,-3.09
2018-01-05,21.04,21.3,1.53,0.29,16012,0.38,12.22,16.58,69.65,,3.8,69.1,2.52,6.19,12.29,,-1.62
2018-01-08,21.5,20.27,-4.84,0.94,13854,0.33,6.97,13.56,55.21,,-1.22,57.9,2.73,6.56,6.43,,-6.37
2018-01-09,20.46,20.08,-0.94,0.94,29362,0.7,-2.14,11.62,58.48,,-2.14,56.1,2.75,6.68,4.99,,-7.25
2018-01-10,20.73,20.15,0.35,3.23,14029,0.34,-0.84,11.26,57.42,,-1.8,56.6,2.75,6.67,4.94,,-6.93
2018-01-11,19.69,19.5,-3.23,-2.28,15127,0.37,-7.05,8.45,39.99,,-4.97,50.4,2.86,6.82,1.43,,-9.93
2018-01-12,19.29,19.64,0.72,-1.08,28673,0.71,-7.79,8.45,38.31,,-4.29,51.7,2.86,6.74,1.98,,-9.28
2018-01-16,19.73,19.18,-2.34,0.46,22499,0.63,-5.38,2.08,25.36,,-6.53,47.5,2.82,6.71,-0.47,,-11.41
2018-01-17,19.25,19.51,1.72,0.36,20352,0.86,-2.84,0.05,26.03,,-4.92,50.6,2.72,6.36,1.14,,-9.88
2018-01-18,19.4,19.45,-0.31,-0.56,13956,0.61,-3.47,3.57,21.94,,-5.21,50.0,2.58,6.07,0.87,,-10.16
2018-01-19,19.36,19.19,-1.34,-0.46,8181,0.4,-1.59,0.63,17.3,,-6.48,47.5,2.58,5.85,-0.26,,-11.36
2018-01-22,19.66,19.47,1.46,2.45,6456,0.34,-0.87,0.83,19.96,,-5.12,50.4,2.59,5.56,1.31,,-10.07
2018-01-23,19.74,19.62,0.77,1.39,7424,0.41,2.29,3.26,20.81,,-4.39,51.9,2.56,5.3,2.17,,-9.38
2018-01-24,20.1,19.01,-3.11,2.45,12853,0.7,-2.56,0.69,19.71,,-7.36,45.8,2.66,5.49,-0.87,,-12.19
2018-01-25,19.25,19.23,1.16,1.26,43119,2.14,-1.13,0.94,20.41,,-6.29,48.1,2.66,5.34,0.53,,-11.18
2018-01-26,19.32,19.28,0.26,0.47,6580,0.33,0.47,1.47,17.56,,-6.04,48.7,2.66,5.07,0.98,,-10.95
2018-01-29,19.39,18.01,-6.59,0.57,25802,1.24,-7.5,-5.21,11.79,,-12.23,37.7,3.04,5.59,-5.43,,-16.81
2018-01-30,18.18,18.12,0.61,0.94,6972,0.37,-7.65,-4.53,10.89,,-11.7,39.0,3.04,5.34,-4.64,,-16.3
