date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,8.1,8.14,,,5800,,,,,,0.0,,,0.49,,,
2005-02-28,7.95,7.91,-2.83,-2.33,32944,,,,,,-2.83,0.0,,0.7,,,
2005-03-01,7.87,7.99,1.01,-0.51,227855,,,,,,-1.84,2.6,,0.84,,,
2005-03-02,7.83,8.16,2.13,-2.0,34403,,,,,,0.25,8.1,,1.14,,,
2005-03-03,8.05,7.86,-3.68,-1.35,47691,,,,,,-3.44,7.3,,1.37,,,
2005-03-04,7.9,7.88,0.25,0.51,55482,,-3.19,,,,-3.19,7.9,,1.53,,,
2005-03-07,8.14,8.05,2.16,3.3,24451,,1.77,,,,-1.11,13.4,,1.63,,,
2005-03-08,8.05,7.98,-0.87,0.0,10200,,-0.13,,,,-1.97,13.1,,1.63,,,
2005-03-09,7.9,8.12,1.75,-1.0,69666,,-0.49,,,,-0.25,17.6,,1.71,,,
2005-03-10,7.92,8.1,-0.25,-2.46,53587,,3.05,,,,-0.49,17.5,,1.8,,,
2005-03-11,8.01,7.85,-3.09,-1.11,34481,,-0.38,,,,-3.56,15.8,,1.98,,,
2005-03-14,8.05,7.9,0.64,2.55,3342,,-1.86,,,,-2.95,17.5,,2.0,,,
2005-03-15,7.8,7.9,0.0,-1.27,6018,,-1.0,,,,-2.95,17.5,,2.08,,,
2005-03-16,7.8,7.93,0.38,-1.27,13572,,-2.34,,,,-2.58,18.7,,2.11,,,
2005-03-17,7.8,7.76,-2.14,-1.64,21375,,-4.2,,,,-4.67,17.2,,2.18,,,
2005-03-18,7.79,7.7,-0.77,0.39,12766,,-1.91,,,,-5.41,16.7,,2.14,,,
2005-03-21,7.65,7.39,-4.03,-0.65,80426,,-6.46,,,,-9.21,14.4,,2.6,,,
2005-03-22,7.22,7.44,0.68,-2.3,27413,,-5.82,,,,-8.6,16.4,,2.63,,,
2005-03-23,7.24,7.52,1.08,-2.69,160045,,-5.17,,,,-7.62,19.7,,2.74,,,
2005-03-24,7.69,7.54,0.27,2.26,11050,0.24,-2.84,,,,-7.37,20.5,,2.7,,,-7.6
2005-03-28,7.71,7.37,-2.25,2.25,30327,0.63,-4.29,,,,-9.46,18.7,,2.89,,,-9.68
