date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,288.0,291.6,,,1637,,,,,,0.0,,,5.56,,,
2005-02-28,298.8,302.4,3.7,2.47,1900,,,,,,3.7,,,5.27,,,
2005-03-01,295.2,302.4,0.0,-2.38,1296,,,,,,3.7,,,5.15,,,
2005-03-02,306.0,309.6,2.38,1.19,2139,,,,,,6.17,,,5.21,,,
2005-03-03,306.0,297.0,-4.07,-1.16,2372,,,,,,1.85,91.0,,5.74,,,
2005-03-04,297.0,298.8,0.61,0.0,1702,,2.47,,,,2.47,91.1,,5.68,,,
2005-03-07,289.8,302.4,1.2,-3.01,2325,,0.0,,,,3.7,91.4,,5.51,,,
2005-03-08,298.8,297.0,-1.79,-1.19,1377,,-1.79,,,,1.85,87.4,,5.51,,,
2005-03-09,297.0,298.8,0.61,0.0,1395,,-3.49,,,,2.47,87.6,,5.52,,,
2005-03-10,304.2,295.2,-1.2,1.81,2032,,-0.61,,,,1.23,84.7,,5.45,,,
2005-03-11,293.4,297.0,0.61,-0.61,979,,-0.6,,,,1.85,85.0,,5.38,,,
2005-03-14,297.0,298.8,0.61,0.0,1778,,-1.19,,,,2.47,85.3,,5.18,,,
2005-03-15,295.2,320.4,7.23,-1.2,11109,,7.88,,,,9.88,88.1,,5.69,,,
2005-03-16,311.4,291.6,-8.99,-2.81,2403,,-2.41,,,,0.0,69.2,,6.55,,,
2005-03-17,293.4,300.6,3.09,0.62,1814,,1.83,,,,3.09,71.3,,6.29,,,
2005-03-18,295.2,286.2,-4.79,-1.8,2840,,-3.64,,,,-1.85,63.9,,6.67,,,
2005-03-21,282.6,288.9,0.94,-1.26,1192,,-3.31,,,,-0.93,64.6,,6.49,,,
2005-03-22,286.2,286.2,-0.93,-0.93,1292,,-10.67,,,,-1.85,63.2,,6.49,,,
2005-03-23,282.6,288.0,0.63,-1.26,1428,,-1.23,,,,-1.23,63.8,,6.21,,,
2005-03-24,286.2,291.6,1.25,-0.63,1076,0.49,-2.99,,,,0.0,64.9,,6.05,,,-8.99
2005-03-28,291.6,295.2,1.23,0.0,780,0.36,3.14,,,,1.23,66.1,,5.73,,,-7.87
2005-03-29,291.6,289.8,-1.83,-1.22,1378,0.65,0.31,-0.62,,,-0.62,62.7,3.3,5.64,,,-9.55
2005-03-30,288.0,293.4,1.24,-0.62,1270,0.6,2.52,-2.98,,,0.62,64.0,3.2,5.35,,,-8.43
2005-03-31,286.2,293.4,0.0,-2.45,1734,0.82,1.87,-2.98,,,0.62,64.0,3.2,5.31,,,-8.43
2005-04-01,293.4,288.0,-1.84,0.0,1827,0.88,-1.23,-6.98,,,-1.23,60.3,3.17,5.38,,,-10.11
2005-04-04,288.0,280.8,-2.5,0.0,947,0.46,-4.88,-5.45,,,-3.7,55.7,3.1,5.4,,,-12.36
2005-04-05,284.4,280.8,0.0,1.28,1011,0.51,-3.11,-6.02,,,-3.7,55.7,3.09,5.29,,,-12.36
2005-04-06,277.2,279.0,-0.64,-1.28,2326,1.15,-4.91,-7.74,,,-4.32,54.5,3.07,5.31,,,-12.92
2005-04-07,275.4,275.4,-1.29,-1.29,753,0.38,-6.13,-7.27,,,-5.56,52.1,3.06,5.19,,,-14.04
2005-04-08,271.8,270.0,-1.96,-1.31,2162,1.08,-6.25,-9.64,,,-7.41,48.6,3.08,5.15,,,-15.73
2005-04-11,270.0,255.6,-5.33,0.0,2146,1.04,-8.97,-13.41,,,-12.35,40.7,3.26,5.6,,,-20.22
2005-04-12,255.6,259.2,1.41,0.0,2410,1.15,-7.69,-12.73,,,-11.11,43.2,3.28,5.53,,,-19.1
2005-04-13,255.6,252.0,-2.78,-1.39,821,0.52,-9.68,-15.66,,,-13.58,39.6,3.3,5.54,,,-21.35
2005-04-14,252.0,248.4,-1.43,0.0,1210,0.8,-9.8,-22.47,,,-14.81,37.9,2.74,5.63,,,-22.47
2005-04-15,250.2,239.4,-3.62,0.72,1770,1.17,-11.33,-17.9,,,-17.9,34.0,2.17,5.96,,,-25.28
2005-04-18,239.4,264.6,10.53,0.0,2259,1.52,3.52,-11.98,,,-9.26,49.6,3.21,6.12,,,-17.42
2005-04-19,271.8,266.4,0.68,2.72,1166,0.78,2.78,-6.92,,,-8.64,50.5,3.07,6.18,,,-16.85
2005-04-20,261.0,255.6,-4.05,-2.03,1440,0.96,1.43,-11.53,,,-12.35,45.3,3.16,6.63,,,-20.22
2005-04-21,255.6,264.6,3.52,0.0,968,0.66,6.52,-7.55,,,-9.26,50.0,3.28,6.39,,,-17.42
2005-04-22,261.0,270.0,2.04,-1.36,1300,0.88,12.78,-6.25,,,-7.41,52.6,3.31,6.34,,,-15.73
2005-04-25,268.2,262.8,-2.67,-0.67,1112,0.74,-0.68,-9.88,,,-9.88,48.9,3.34,6.73,,,-17.98
2005-04-26,259.2,244.8,-6.85,-1.37,1538,1.02,-8.11,-17.07,,,-16.05,41.2,3.59,7.24,,,-23.6
2005-04-27,244.8,248.4,1.47,0.0,797,0.54,-2.82,-14.29,,,-14.81,43.1,3.62,7.14,,,-22.47
2005-04-28,250.2,234.0,-5.8,0.72,1073,0.74,-11.56,-20.25,,,-19.75,37.8,3.75,7.64,,,-26.97
2005-04-29,234.0,219.6,-6.15,0.0,2616,1.75,-18.67,-25.15,,,-24.69,33.3,3.91,8.91,,,-31.46
2005-05-02,217.8,225.0,2.46,-0.82,1236,0.82,-14.38,-21.88,,,-22.84,36.3,3.99,8.59,,,-29.78
2005-05-03,230.4,223.2,-0.8,2.4,1143,0.76,-8.82,-20.51,,,-23.46,35.8,3.98,8.44,,,-30.34
2005-05-04,219.6,257.4,15.32,-1.61,1764,1.19,3.62,-8.33,,,-11.73,51.6,5.34,8.0,,,-19.66
2005-05-05,253.8,235.8,-8.39,-1.4,2051,1.32,0.77,-15.48,,,-19.14,44.2,5.63,9.09,,,-26.4
2005-05-06,235.8,225.0,-4.58,0.0,1846,1.2,2.46,-18.3,,,-22.84,41.0,5.69,9.3,-18.13,,-29.78
2005-05-09,228.6,239.4,6.4,1.6,2428,1.57,6.4,-11.33,,,-17.9,46.5,5.9,8.65,-12.56,,-25.28
2005-05-10,239.4,234.0,-2.26,0.0,2072,1.35,4.84,-8.45,,,-19.75,44.9,5.81,8.55,-14.11,,-26.97
2005-05-11,239.4,230.4,-1.54,2.31,939,0.61,-10.49,-11.11,,,-20.99,43.7,5.8,8.45,-14.98,,-28.09
2005-05-12,234.0,234.0,1.56,1.56,632,0.42,-0.76,-7.14,,,-19.75,45.2,5.79,8.22,-13.17,,-26.97
2005-05-13,237.6,226.8,-3.08,1.54,1602,1.07,0.8,-8.7,,,-22.22,42.8,5.82,8.22,-15.4,,-29.21
2005-05-16,241.2,232.2,2.38,6.35,560,0.4,-3.01,-3.01,,,-20.37,45.2,5.79,7.9,-12.95,,-27.53
2005-05-17,235.8,234.0,0.78,1.55,766,0.55,0.0,-11.56,,,-19.75,46.0,5.27,7.61,-11.82,,-26.97
2005-05-18,243.0,252.0,7.69,3.85,6892,4.13,9.38,-5.41,,,-13.58,53.4,5.56,8.24,-4.72,,-21.35
2005-05-19,250.2,246.6,-2.14,-0.71,2199,1.27,5.38,-3.52,,,-15.43,51.2,5.51,8.39,-6.39,,-23.03
2005-05-20,250.2,244.8,-0.73,1.46,961,0.56,7.94,-7.48,,,-16.05,50.4,5.45,8.11,-6.72,,-23.6
2005-05-23,255.6,259.2,5.88,4.41,2552,1.43,11.63,-4.0,,,-11.11,56.1,5.59,7.76,-0.94,,-19.1
2005-05-24,261.0,261.0,0.69,0.69,1687,0.94,11.54,-0.68,,,-10.49,56.8,5.56,7.5,0.03,,-18.54
2005-05-25,261.0,252.0,-3.45,0.0,893,0.5,0.0,2.94,,,-13.58,52.5,5.4,7.67,-2.91,,-21.35
2005-05-26,252.0,270.0,7.14,0.0,1194,0.66,9.49,8.7,-7.41,,-7.41,59.1,5.6,7.13,4.2,,-15.73
2005-05-27,270.0,261.0,-3.33,0.0,988,0.57,6.62,11.54,-13.69,,-10.49,55.0,5.48,7.19,1.04,,-18.54
2005-05-31,252.0,255.6,-2.07,-3.45,2422,1.36,-1.39,16.39,-15.48,,-12.35,52.6,5.3,7.12,-0.82,,-20.22
2005-06-01,243.0,259.2,1.41,-4.93,1855,1.02,-0.69,15.2,-16.28,,-11.11,54.0,5.29,6.97,0.81,,-19.1
2005-06-02,261.0,243.0,-6.25,0.69,1537,0.85,-3.57,8.87,-18.18,,-16.67,47.1,5.5,7.48,-5.17,,-24.16
2005-06-03,241.2,237.6,-2.22,-0.74,1885,1.05,-12.0,-7.69,-20.48,,-18.52,45.0,4.36,7.54,-6.91,,-25.84
2005-06-06,246.6,232.2,-2.27,3.79,1814,1.01,-11.03,-1.53,-23.21,,-20.37,43.0,3.98,7.66,-8.6,,-27.53
2005-06-07,234.0,232.2,0.0,0.78,1202,0.69,-9.15,3.2,-21.82,,-20.37,43.0,3.84,7.5,-8.15,,-27.53
2005-06-08,232.2,230.4,-0.78,0.0,1970,1.14,-11.11,-3.76,-22.89,,-20.99,42.3,3.57,7.35,-8.43,,-28.09
2005-06-09,225.0,234.0,1.56,-2.34,1699,0.96,-3.7,0.0,-20.73,,-19.75,44.3,3.55,7.05,-6.56,,-26.97
2005-06-10,228.6,230.4,-1.54,-2.31,1218,0.68,-3.03,0.0,-22.42,,-20.99,42.7,3.55,6.99,-7.53,,-28.09
2005-06-13,228.6,221.4,-3.91,-0.78,1763,0.98,-4.65,-5.38,-25.9,,-24.07,38.8,3.64,7.22,-10.66,,-30.9
2005-06-14,217.8,223.2,0.81,-1.63,1636,0.88,-3.88,-1.59,-30.34,,-23.46,40.0,3.58,6.94,-9.52,,-30.34
2005-06-15,230.4,221.4,-0.81,3.23,1866,0.98,-3.91,-4.65,-24.07,,-24.07,39.2,3.54,6.9,-9.81,,-30.9
2005-06-16,219.6,221.4,0.0,-0.81,2663,1.57,-5.38,-5.38,-26.35,,-24.07,39.2,3.54,6.64,-9.39,,-30.9
2005-06-17,225.0,228.6,3.25,1.63,3971,2.22,-0.78,-9.29,-20.13,,-21.6,44.4,3.15,6.48,-6.08,,-28.65
2005-06-20,225.0,221.4,-3.15,-1.57,2323,1.25,0.0,-10.22,-23.36,,-24.07,40.6,3.19,6.5,-8.67,,-30.9
2005-06-21,226.8,230.4,4.07,2.44,2256,1.22,3.23,-5.88,-19.5,,-20.99,46.7,3.33,6.3,-4.76,,-28.09
2005-06-22,230.4,226.8,-1.56,0.0,1983,1.07,2.44,-12.5,-21.25,,-22.22,44.7,3.03,6.28,-6.0,,-29.21
2005-06-23,225.0,223.2,-1.59,-0.79,2867,1.47,0.81,-14.48,-23.46,,-23.46,42.8,3.03,6.22,-7.27,,-30.34
2005-06-24,221.4,217.8,-2.42,-0.81,18797,6.63,-4.72,-13.57,-26.22,,-25.31,40.0,2.99,6.51,-9.28,,-32.02
2005-06-27,214.2,208.8,-4.13,-1.65,2789,0.95,-5.69,-22.67,-27.95,,-28.4,35.8,2.49,6.8,-12.81,,-34.83
