date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-03-26,38.01,37.35,,,1400700,,,,,,0.0,,,9.18,,,
2015-03-27,36.5,35.0,-6.29,-2.28,938300,,,,,,-6.29,0.0,,9.61,,,
2015-03-30,36.15,35.2,0.57,3.29,306400,,,,,,-5.76,0.7,,9.14,,,
2015-03-31,34.24,34.58,-1.76,-2.73,399400,,,,,,-7.42,0.6,,8.91,,,
2015-04-01,34.49,33.47,-3.21,-0.26,331300,,,,,,-10.39,0.6,,8.86,,,
2015-04-02,32.53,32.25,-3.65,-2.81,424000,,-13.65,,,,-13.65,0.6,,9.12,,,
2015-04-06,32.34,32.86,1.89,0.28,203000,,-6.11,,,,-12.02,2.9,,8.56,,,
2015-04-07,32.45,31.89,-2.95,-1.25,238706,,-9.4,,,,-14.62,2.8,,8.44,,,
2015-04-08,30.51,31.52,-1.16,-4.33,291800,,-8.85,,,,-15.61,2.8,,8.26,,,
2015-04-09,31.63,32.21,2.19,0.35,185146,,-3.76,,,,-13.76,5.7,,7.67,,,
2015-04-10,32.38,34.87,8.26,0.53,400500,,8.12,,,,-6.64,16.3,,7.21,,,
2015-04-13,34.85,34.2,-1.92,-0.06,255800,,4.08,,,,-8.43,15.8,,7.09,,,
2015-04-14,33.63,33.67,-1.55,-1.67,94100,,5.58,,,,-9.85,15.4,,6.91,,,
2015-04-15,34.02,32.4,-3.77,1.04,162363,,2.79,,,,-13.25,14.5,,7.1,,,
2015-04-16,32.41,31.95,-1.39,0.03,105944,,-0.81,,,,-14.46,14.2,,6.84,,,
2015-04-17,31.3,32.59,2.0,-2.03,123300,,-6.54,,,,-12.74,17.0,,6.6,,,
2015-04-20,34.15,32.49,-0.31,4.79,234225,,-5.0,,,,-13.01,16.9,,6.56,,,
2015-04-21,32.16,32.21,-0.86,-1.02,224320,,-4.34,,,,-13.76,16.6,,6.4,,,
2015-04-22,31.74,31.3,-2.83,-1.46,82552,,-3.4,,,,-16.2,15.7,,6.35,,,
2015-04-23,32.0,32.68,4.41,2.24,148200,0.45,2.28,,,,-12.5,22.5,,5.95,,,-12.5
2015-04-24,31.98,32.61,-0.21,-2.14,118000,0.45,0.06,,,,-12.69,22.4,,5.74,,,-12.69
2015-04-27,32.42,33.05,1.35,-0.58,166300,0.74,1.72,-11.51,,,-11.51,24.7,3.19,5.46,,,-11.51
2015-04-28,32.9,32.51,-1.63,-0.45,136200,0.63,0.93,-7.11,,,-12.96,23.8,2.92,5.32,,,-12.96
2015-04-29,32.71,32.23,-0.86,0.62,119700,0.59,2.97,-8.44,,,-13.71,23.3,2.92,5.25,,,-13.71
2015-04-30,32.58,32.9,2.08,1.09,107500,0.56,0.67,-4.86,,,-11.91,27.1,2.95,5.05,,,-11.91
2015-05-01,33.08,32.91,0.03,0.55,29600,0.17,0.92,-1.67,,,-11.89,27.1,2.86,4.78,,,-11.89
2015-05-04,32.94,32.63,-0.85,0.09,37200,0.23,-1.27,1.18,,,-12.64,26.5,2.75,4.57,,,-12.64
2015-05-05,32.8,31.45,-3.62,0.52,49100,0.32,-3.26,-4.29,,,-15.8,24.0,2.83,4.74,,,-15.8
2015-05-06,32.11,31.1,-1.11,2.1,43842,0.31,-3.51,-2.48,,,-16.73,23.3,2.77,4.72,,,-16.73
2015-05-07,31.36,31.55,1.45,0.84,25640,0.19,-4.1,0.1,,,-15.53,26.3,2.78,4.48,,,-15.53
2015-05-08,32.07,31.65,0.32,1.65,47900,0.41,-3.83,-1.74,,,-15.26,27.0,2.73,4.36,,,-15.26
2015-05-11,31.61,31.67,0.06,-0.13,25100,0.24,-2.94,-9.18,,,-15.21,27.1,1.97,4.16,,,-15.21
