date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2019-07-03,3.6,3.9,,,18659,,,,,,0.0,,,11.55,,,
2019-07-05,4.09,4.0,2.56,4.87,33785,,,,,,2.56,,,12.42,,,
2019-07-08,4.1,3.78,-5.62,2.5,29676,,,,,,-3.2,85.3,,13.07,,,
2019-07-09,3.85,3.81,1.05,1.98,25855,,,,,,-2.18,85.7,,12.19,,,
2019-07-10,4.19,3.9,2.23,9.83,19878,,,,,,0.0,86.5,,11.9,,,
2019-07-11,4.0,3.65,-6.41,2.56,41907,,-6.41,,,,-6.41,72.9,,12.52,,,
2019-07-12,3.7,3.78,3.56,1.37,27062,,-5.5,,,,-3.08,75.1,,11.7,,,
2019-07-15,3.79,3.8,0.53,0.26,2094,,0.66,,,,-2.56,75.4,,10.99,,,
2019-07-16,3.9,3.81,0.31,2.63,6071,,-0.09,,,,-2.27,75.6,,10.57,,,
2019-07-17,3.9,3.89,2.06,2.32,3982,,-0.26,,,,-0.26,77.0,,9.78,,,
2019-07-18,3.84,3.8,-2.31,-1.29,2880,,4.11,,,,-2.56,72.0,,9.48,,,
2019-07-19,3.9,3.85,1.45,2.7,4780,,1.98,,,,-1.15,73.1,,8.95,,,
2019-07-22,3.93,3.9,1.17,2.01,3535,,2.63,,,,0.0,74.0,,8.37,,,
2019-07-23,3.97,3.92,0.51,1.79,9748,,2.84,,,,0.51,74.5,,7.9,,,
2019-07-24,3.85,3.91,-0.26,-1.79,3158,,0.51,,,,0.26,73.8,,7.51,,,
2019-07-25,3.98,3.85,-1.53,1.81,6926,,1.32,,,,-1.28,69.8,,7.32,,,
2019-07-26,3.83,3.99,3.64,-0.46,15236,,3.5,,,,2.31,73.4,,6.86,,,
2019-07-29,3.95,3.9,-2.31,-1.0,2980,,-0.05,,,,-0.05,67.7,,6.95,,,
2019-07-30,4.09,4.0,2.62,4.93,8215,,2.04,,,,2.56,70.5,,6.63,,,
2019-07-31,4.0,4.0,0.0,0.0,6011,0.44,2.3,,,,2.56,70.5,,6.24,,,0.0
2019-08-01,4.15,3.94,-1.56,3.75,2527,0.2,2.28,,,,0.96,66.5,,6.51,,,-1.56
2019-08-02,3.87,3.98,1.08,-1.73,2915,0.26,-0.25,2.05,,,2.05,67.8,2.67,6.23,,,-0.5
2019-08-05,3.98,4.03,1.26,0.0,11487,1.11,3.39,0.75,,,3.33,69.4,2.63,6.18,,,0.0
2019-08-06,4.0,4.2,4.22,-0.74,23410,2.29,5.0,11.25,,,7.69,74.0,2.43,6.36,,,0.0
2019-08-07,4.69,4.26,1.55,11.67,32360,2.98,6.62,11.8,,,9.36,75.5,2.44,6.64,,,0.0
2019-08-08,4.25,4.15,-2.7,-0.35,56525,4.87,5.39,6.41,,,6.41,67.9,2.51,7.19,,,-2.7
