date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,8.86,8.74,-2.06,-0.76,1035187,0.91,1.81,19.37,-5.32,-13.85,0.0,63.7,2.08,3.01,7.25,-6.04,-26.23
2000-01-04,8.73,8.5,-2.75,-0.11,895195,0.8,-3.04,17.77,-8.95,-16.04,-2.75,56.3,2.17,3.15,4.46,-8.69,-28.26
2000-01-05,8.5,8.51,0.08,0.0,1149969,1.05,-2.97,15.47,-5.88,-14.73,-2.67,56.5,2.16,3.16,4.72,-8.7,-28.2
2000-01-06,8.23,8.82,3.62,-3.32,4119291,3.3,0.0,18.57,-5.59,-14.77,0.84,62.8,2.25,3.78,8.6,-5.5,-25.61
2000-01-07,8.82,9.05,2.6,0.0,2689875,2.09,1.33,22.4,-5.08,-13.53,3.47,66.7,2.25,3.79,11.47,-3.17,-23.67
2000-01-10,9.0,9.17,1.38,-0.47,1360760,1.05,4.9,21.76,-4.0,-12.03,4.9,68.7,2.24,3.77,13.01,-1.95,-22.61
2000-01-11,9.11,8.65,-5.69,-0.69,1031432,0.79,1.73,13.82,-11.02,-16.57,-1.07,54.5,2.67,4.21,6.69,-7.62,-27.02
2000-01-12,8.65,8.69,0.45,0.0,908602,0.72,2.11,13.44,-10.1,-16.49,-0.62,55.2,2.67,4.1,7.34,-7.29,-26.69
2000-01-13,8.73,8.84,1.74,0.52,815808,0.68,0.26,15.74,-8.06,-20.14,1.11,58.1,2.68,4.03,9.3,-5.78,-25.41
2000-01-14,8.88,8.63,-2.41,0.47,594291,0.5,-4.64,11.33,-8.86,-23.18,-1.33,52.9,2.76,4.08,6.85,-8.16,-27.21
2000-01-18,8.54,8.55,-0.93,-1.02,685476,0.59,-6.82,7.49,-7.8,-25.53,-2.25,51.1,2.73,4.0,5.82,-9.11,-27.89
2000-01-19,8.55,8.35,-2.24,0.0,1537757,1.27,-3.41,7.62,-10.38,-27.95,-4.44,46.9,2.73,3.99,3.41,-11.22,-29.5
2000-01-20,8.4,8.17,-2.26,0.51,767541,0.66,-6.02,6.71,-10.91,-29.93,-6.6,43.2,2.76,4.04,1.05,-13.27,-31.1
2000-01-21,8.21,7.95,-2.65,0.54,1447648,1.24,-10.06,-2.11,-12.48,-32.55,-9.07,39.3,2.49,4.3,-1.63,-15.62,-32.92
2000-01-24,7.98,7.7,-3.09,0.39,1387043,1.16,-10.69,-8.42,-15.41,-33.89,-11.88,35.4,2.43,4.48,-4.68,-18.26,-34.99
2000-01-25,7.67,7.5,-2.71,-0.39,1687946,1.38,-12.29,-13.73,-18.83,-35.83,-14.26,32.5,2.32,4.54,-7.2,-20.5,-36.75
2000-01-26,7.55,7.52,0.29,0.69,3010621,2.28,-10.02,-12.46,-17.85,-35.13,-14.01,33.1,2.33,4.42,-6.87,-20.3,-36.57
2000-01-27,7.47,7.36,-2.08,-0.59,1671849,1.22,-9.86,-16.06,-20.09,-37.78,-15.8,30.9,2.26,4.49,-8.74,-21.97,-37.89
2000-01-28,7.49,7.14,-3.04,1.73,2266147,1.54,-10.22,-18.61,-22.17,-39.32,-18.36,28.0,2.31,4.79,-11.33,-24.31,-39.77
2000-01-31,7.09,7.07,-0.94,-0.63,1612855,1.05,-8.23,-19.81,-21.97,-40.2,-19.13,27.2,2.28,4.71,-12.01,-24.96,-40.34
2000-02-01,6.93,6.88,-2.64,-2.0,1405277,0.91,-8.16,-22.89,-25.97,-41.88,-21.26,25.0,2.24,4.69,-14.13,-26.87,-41.91
2000-02-02,6.88,6.76,-1.84,0.0,1313561,0.83,-10.12,-22.71,-26.64,-42.98,-22.71,23.6,2.24,4.68,-15.48,-28.13,-42.98
2000-02-03,6.85,6.91,2.2,1.44,3335659,1.98,-6.18,-18.78,-25.92,-40.85,-21.01,28.7,2.33,4.47,-13.4,-26.46,-41.73
