date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-07-23,21.7,23.7,,,10130415,,,,,,0.0,,,18.61,,,
2021-07-26,23.32,22.75,-4.01,-1.6,1659732,,,,,,-4.01,0.0,,18.44,,,
2021-07-27,22.64,23.3,2.42,-0.48,1036880,,,,,,-1.69,4.3,,17.13,,,
2021-07-28,23.12,25.16,7.98,-0.77,1606225,,,,,,6.16,17.1,,15.4,,,
2021-07-29,25.3,26.94,7.07,0.56,4005062,,,,,,13.67,27.2,,13.98,,,
2021-07-30,26.33,26.5,-1.63,-2.26,422563,,11.81,,,,11.81,26.4,,13.7,,,
2021-08-02,26.66,26.49,-0.04,0.6,878432,,16.44,,,,11.77,26.3,,13.06,,,
2021-08-03,26.24,26.56,0.26,-0.94,394976,,13.99,,,,12.07,26.8,,12.54,,,
2021-08-04,26.04,25.33,-4.63,-1.96,712645,,0.68,,,,6.88,24.1,,12.78,,,
2021-08-05,25.33,25.21,-0.47,0.0,625875,,-6.42,,,,6.37,23.9,,12.23,,,
2021-08-06,25.19,24.37,-3.33,-0.08,263537,,-8.04,,,,2.83,22.2,,12.16,,,
2021-08-09,24.1,25.44,4.39,-1.11,751965,,-3.96,,,,7.34,29.1,,11.32,,,
2021-08-10,25.5,26.12,2.67,0.24,467017,,-1.66,,,,10.21,33.2,,10.65,,,
2021-08-11,26.05,26.22,0.38,-0.27,433775,,3.51,,,,10.63,33.8,,10.1,,,
2021-08-12,26.15,27.4,4.5,-0.27,404042,,8.69,,,,15.61,40.6,,9.44,,,
2021-08-13,27.01,27.76,1.31,-1.42,291061,,13.91,,,,17.13,42.6,,8.87,,,
2021-08-16,27.5,27.53,-0.83,-0.94,332369,,8.22,,,,16.16,41.6,,8.46,,,
2021-08-17,27.27,26.15,-5.01,-0.94,791307,,0.11,,,,10.34,36.4,,8.67,,,
2021-08-18,26.54,27.25,4.21,1.49,386929,,3.93,,,,14.98,42.6,,8.3,,,
2021-08-19,27.18,26.87,-1.39,-0.26,314431,0.24,-1.93,,,,13.38,41.1,,8.31,,,-3.21
2021-08-20,27.0,26.92,0.19,0.48,184361,0.23,-3.03,,,,13.59,41.4,,7.88,,,-3.03
2021-08-23,27.0,29.12,8.17,0.3,762192,1.01,5.78,22.87,,,22.87,52.4,3.93,7.4,,,0.0
2021-08-24,28.76,28.25,-2.99,-1.24,401063,0.56,8.03,24.18,,,19.2,48.5,3.87,7.32,,,-2.99
2021-08-25,28.02,27.9,-1.24,-0.81,281258,0.43,2.39,19.74,,,17.72,47.0,3.89,7.15,,,-4.19
2021-08-26,27.69,28.16,0.93,-0.75,465685,0.97,4.8,11.92,,,18.82,48.3,3.54,6.74,,,-3.3
2021-08-27,28.38,27.55,-2.17,0.78,524295,1.08,2.34,2.26,,,16.24,45.5,3.25,7.17,,,-5.39
2021-08-30,27.3,26.82,-2.65,-0.91,539310,1.16,-7.9,1.21,,,13.16,42.4,3.29,7.34,,,-7.9
2021-08-31,27.38,27.43,2.27,2.09,403053,0.86,-2.9,3.55,,,15.74,45.7,3.32,6.99,,,-5.8
2021-09-01,27.5,27.93,1.82,0.26,414259,0.92,0.11,5.16,,,17.85,48.4,3.34,6.69,,,-4.09
2021-09-02,28.02,30.1,7.77,0.32,643191,1.42,6.89,18.83,,,27.0,58.1,3.52,6.41,,,0.0
2021-09-03,29.8,27.78,-7.71,-1.0,281096,0.62,0.83,10.19,,,17.22,47.8,3.98,7.07,,,-7.71
2021-09-07,27.9,27.02,-2.74,0.43,532338,1.2,0.75,10.87,,,14.01,45.0,3.96,7.18,,,-10.23
2021-09-08,26.8,26.01,-3.74,-0.81,242612,0.56,-5.18,2.24,,,9.75,41.5,3.96,7.43,,,-13.59
2021-09-09,25.85,27.2,4.58,-0.62,463255,1.07,-2.61,4.13,,,14.77,46.7,4.04,7.11,,,-9.63
2021-09-10,27.28,27.4,0.74,0.29,1064447,2.28,-8.97,4.5,,,15.61,47.6,4.04,6.8,,,-8.97
2021-09-13,27.39,26.79,-2.23,-0.04,441278,0.93,-3.56,-2.23,,,13.04,45.2,3.96,6.81,,,-11.0
2021-09-14,27.54,27.04,0.93,2.8,1195866,2.31,0.07,-2.59,,,14.09,46.4,3.95,6.49,,,-10.17
2021-09-15,27.57,27.78,2.74,1.96,713282,1.39,6.81,0.91,,,17.22,49.8,3.99,6.12,,,-7.71
2021-09-16,28.24,27.39,-1.4,1.66,559913,1.07,0.7,4.74,,,15.57,48.1,3.84,6.21,,,-9.0
