date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-07-12,180.0,174.3,,,7394,,,,,,0.0,,,12.39,,,
2017-07-13,181.5,168.0,-3.61,4.13,5494,,,,,,-3.61,0.0,,12.88,,,
2017-07-14,164.7,168.15,0.09,-1.96,788,,,,,,-3.53,0.2,,12.37,,,
2017-07-17,168.0,164.1,-2.41,-0.09,1212,,,,,,-5.85,0.2,,12.29,,,
2017-07-18,163.8,148.2,-9.69,-0.18,2423,,,,,,-14.97,0.1,,13.57,,,
2017-07-19,150.0,148.2,0.0,1.21,1690,,-14.97,,,,-14.97,0.1,,13.13,,,
2017-07-20,148.2,146.1,-1.42,0.0,1246,,-13.04,,,,-16.18,0.1,,12.72,,,
2017-07-21,145.2,137.4,-5.95,-0.62,880,,-18.29,,,,-21.17,0.1,,13.07,,,
2017-07-24,135.3,134.7,-1.97,-1.53,2063,,-17.92,,,,-22.72,0.1,,13.14,,,
2017-07-25,144.3,141.0,4.68,7.13,4425,,-4.86,,,,-19.1,7.9,,12.28,,,
2017-07-26,142.5,138.0,-2.13,1.06,2432,,-6.88,,,,-20.83,7.6,,12.02,,,
2017-07-27,143.7,132.0,-4.35,4.13,2951,,-9.65,,,,-24.27,7.1,,12.87,,,
2017-07-28,130.5,132.6,0.45,-1.14,1175,,-3.49,,,,-23.92,7.8,,12.26,,,
2017-07-31,129.6,126.9,-4.3,-2.26,1484,,-5.79,,,,-27.19,7.2,,12.26,,,
2017-08-01,126.3,119.4,-5.91,-0.47,2070,,-15.32,,,,-31.5,6.5,,13.38,,,
2017-08-02,120.6,115.5,-3.27,1.01,726,,-16.3,,,,-33.73,6.2,,13.59,,,
2017-08-03,114.0,130.8,13.25,-1.3,2587,,-0.91,,,,-24.96,23.2,,12.18,,,
2017-08-04,112.5,128.7,-1.61,-13.99,1176,,-2.94,,,,-26.16,22.6,,12.72,,,
2017-08-07,127.2,119.1,-7.46,-1.17,1319,,-6.15,,,,-31.67,20.0,,13.65,,,
2017-08-08,114.0,115.5,-3.02,-4.28,1488,0.66,-3.27,,,,-33.73,19.1,,13.48,,,-33.73
2017-08-09,115.5,117.9,2.08,0.0,1077,0.56,2.08,,,,-32.36,21.6,,12.57,,,-32.36
2017-08-10,112.23,117.3,-0.51,-4.81,4200,2.24,-10.32,-32.7,,,-32.7,21.4,4.72,12.13,,,-32.7
2017-08-11,113.1,115.5,-1.53,-3.58,4300,2.1,-10.26,-31.25,,,-33.73,20.9,4.7,12.2,,,-33.73
2017-08-14,117.25,126.0,9.09,1.51,2734,1.29,5.79,-25.07,,,-27.71,31.9,5.25,11.46,,,-27.71
2017-08-15,121.2,147.0,16.67,-3.81,7442,3.14,27.27,-10.42,,,-15.66,47.6,6.53,10.78,,,-15.66
2017-08-16,148.5,150.0,2.04,1.02,5502,2.15,27.23,1.21,,,-13.94,49.4,6.18,10.95,,,-13.94
2017-08-17,147.0,145.8,-2.8,-2.0,3873,1.44,24.3,-1.62,,,-16.35,47.0,6.22,10.9,,,-16.35
2017-08-18,146.4,147.0,0.82,0.41,204,0.08,27.27,0.62,,,-15.66,47.8,6.21,10.09,,,-15.66
