date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,14.78,15.64,,,99403,,,,,,0.0,,,6.83,,,
2005-02-28,15.48,15.32,-2.03,-1.03,133713,,,,,,-2.03,0.0,,6.87,,,
2005-03-01,15.42,15.83,3.28,0.64,82783,,,,,,1.18,10.8,,6.41,,,
2005-03-02,15.59,15.59,-1.48,-1.48,60518,,,,,,-0.32,10.3,,6.27,,,
2005-03-03,15.75,15.34,-1.6,1.01,59482,,,,,,-1.92,9.7,,6.3,,,
2005-03-04,15.54,15.18,-1.06,1.3,46547,,-2.95,,,,-2.95,9.3,,6.11,,,
2005-03-07,15.35,15.15,-0.17,1.11,54311,,-1.11,,,,-3.12,9.3,,5.86,,,
2005-03-08,15.11,14.96,-1.27,-0.28,76274,,-5.47,,,,-4.35,8.8,,5.8,,,
2005-03-09,14.88,15.45,3.3,-0.51,111280,,-0.89,,,,-1.2,19.7,,5.59,,,
2005-03-10,15.42,14.81,-4.17,-0.21,54380,,-3.47,,,,-5.32,16.9,,5.75,,,
2005-03-11,14.78,14.78,-0.17,-0.23,97141,,-2.6,,,,-5.48,16.8,,5.77,,,
2005-03-14,14.78,14.8,0.11,0.0,50203,,-2.32,,,,-5.37,17.1,,5.48,,,
2005-03-15,14.98,14.37,-2.9,1.2,92679,,-3.93,,,,-8.11,15.3,,5.7,,,
2005-03-16,14.46,14.32,-0.36,0.59,94409,,-7.33,,,,-8.45,15.1,,5.5,,,
2005-03-17,14.14,14.04,-1.99,-1.28,119226,,-5.23,,,,-10.27,14.0,,5.49,,,
2005-03-18,13.9,13.89,-1.06,-0.95,222452,,-6.07,,,,-11.22,13.4,,5.46,,,
2005-03-21,13.68,13.74,-1.04,-1.52,78194,,-7.15,,,,-12.14,12.9,,5.38,,,
2005-03-22,13.87,13.49,-1.83,0.92,54874,,-6.14,,,,-13.75,12.0,,5.35,,,
2005-03-23,13.45,13.51,0.13,-0.32,80682,,-5.67,,,,-13.64,12.4,,5.09,,,
2005-03-24,13.55,13.47,-0.26,0.29,83874,0.96,-4.0,,,,-13.86,12.3,,4.9,,,-14.87
2005-03-28,13.43,13.5,0.19,-0.31,73300,0.85,-2.79,,,,-13.69,13.1,,4.8,,,-14.7
2005-03-29,13.38,13.35,-1.13,-0.84,128832,1.5,-2.88,-14.67,,,-14.67,12.4,1.71,4.71,,,-15.67
2005-03-30,13.41,13.58,1.75,0.5,194942,2.13,0.67,-11.38,,,-13.18,19.4,1.77,4.47,,,-14.19
2005-03-31,13.63,13.4,-1.3,0.37,138335,1.45,-0.77,-15.3,,,-14.3,18.2,1.54,4.4,,,-15.3
2005-04-01,13.63,13.62,1.63,1.69,221209,2.13,1.11,-12.63,,,-12.91,24.4,1.62,4.33,,,-13.93
2005-04-04,13.62,13.46,-1.23,-0.05,128982,1.2,-0.33,-12.29,,,-13.98,23.0,1.61,4.25,,,-14.98
