date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2006-11-07,6.0,6.0,,,0,,,,,,0.0,,,0.0,,,
2006-11-08,6.0,6.1,1.67,0.0,1572395,,,,,,1.67,,,0.97,,,
2006-11-09,6.14,6.15,0.82,0.66,278056,,,,,,2.5,,,1.02,,,
2006-11-10,6.15,6.14,-0.16,0.0,38823,,,,,,2.33,99.2,,1.08,,,
2006-11-13,6.14,6.1,-0.65,0.0,76611,,,,,,1.67,95.9,,1.18,,,
2006-11-14,6.25,6.03,-1.15,2.46,13194,,0.5,,,,0.5,90.3,,1.41,,,
2006-11-15,6.14,6.0,-0.5,1.82,32951,,-1.64,,,,0.0,88.0,,1.49,,,
2006-11-16,6.0,6.0,0.0,0.0,6988,,-2.44,,,,0.0,88.0,,1.54,,,
2006-11-17,6.05,5.87,-2.17,0.83,131000,,-4.4,,,,-2.17,77.7,,1.93,,,
2006-11-20,5.81,5.81,-1.02,-1.02,7100,,-4.75,,,,-3.17,73.4,,2.1,,,
2006-11-21,6.05,6.0,3.27,4.13,2178,,-0.5,,,,0.0,77.6,,2.25,,,
2006-11-22,6.0,6.0,0.0,0.0,100,,0.0,,,,0.0,77.6,,2.09,,,
2006-11-24,6.0,6.0,0.0,0.0,200,,0.0,,,,0.0,77.6,,1.94,,,
2006-11-27,6.0,5.75,-4.17,0.0,15790,,-2.04,,,,-4.17,61.7,,2.19,,,
2006-11-28,5.99,5.75,0.0,4.17,5400,,-1.03,,,,-4.17,61.7,,2.33,,,
2006-11-29,5.96,5.75,0.0,3.65,7947,,-4.17,,,,-4.17,61.7,,2.45,,,
2006-11-30,5.75,5.5,-4.35,0.0,39131,,-8.33,,,,-8.33,49.1,,2.7,,,
2006-12-01,5.5,5.75,4.55,0.0,11826,,-4.17,,,,-4.17,58.2,,2.9,,,
2006-12-04,5.99,5.5,-4.35,4.17,1300,,-4.35,,,,-8.33,48.8,,3.45,,,
2006-12-05,5.5,5.51,0.18,0.0,9150,0.08,-4.17,,,,-8.17,49.1,,3.21,,,-10.41
2006-12-06,5.5,5.5,-0.18,-0.18,6400,0.06,-4.35,,,,-8.33,48.8,,3.19,,,-10.57
