date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-10-19,15.0,14.03,,,1800388,,,,,,0.0,,,16.46,,,
2016-10-20,13.94,13.94,-0.64,-0.64,345559,,,,,,-0.64,0.0,,15.54,,,
2016-10-21,14.0,13.82,-0.86,0.43,110036,,,,,,-1.5,0.0,,14.77,,,
2016-10-24,14.05,14.01,1.37,1.66,99570,,,,,,-0.14,13.7,,13.7,,,
2016-10-25,14.15,14.41,2.86,1.0,84926,,,,,,2.71,34.1,,12.61,,,
2016-10-26,14.99,14.8,2.71,4.02,117484,,5.49,,,,5.49,47.3,,11.7,,,
2016-10-27,15.47,15.82,6.89,4.53,228515,,13.49,,,,12.76,66.2,,11.37,,,
2016-10-28,16.4,16.74,5.82,3.67,116469,,21.13,,,,19.32,75.0,,10.49,,,
2016-10-31,17.5,18.25,9.02,4.54,256372,,30.26,,,,30.08,82.8,,9.77,,,
2016-11-01,18.68,17.95,-1.64,2.36,119908,,24.57,,,,27.94,77.6,,9.62,,,
2016-11-02,18.74,15.36,-14.46,4.4,148743,,3.75,,,,9.44,48.9,,12.15,,,
2016-11-03,15.4,15.32,-0.23,0.29,143092,,-3.16,,,,9.19,48.7,,11.73,,,
2016-11-04,15.5,15.2,-0.78,1.17,54878,,-9.2,,,,8.34,47.7,,11.21,,,
2016-11-07,16.27,15.21,0.07,7.04,45905,,-16.66,,,,8.41,47.8,,10.97,,,
2016-11-08,15.2,15.89,4.47,-0.07,97785,,-11.48,,,,13.26,53.7,,10.16,,,
2016-11-09,15.89,16.27,2.39,0.0,73757,,5.96,,,,15.97,56.6,,9.66,,,
2016-11-10,16.76,16.84,3.5,3.01,37683,,9.92,,,,20.03,60.7,,9.48,,,
2016-11-11,18.33,17.5,3.92,8.85,86583,,15.13,,,,24.73,64.7,,9.08,,,
2016-11-14,18.17,17.6,0.57,3.83,74533,,15.71,,,,25.45,65.3,,8.83,,,
2016-11-15,17.74,18.15,3.12,0.8,100753,0.49,14.22,,,,29.37,68.4,,8.54,,,-0.55
2016-11-16,18.75,21.31,17.41,3.31,191780,1.51,30.98,,,,51.89,79.7,,7.91,,,0.0
2016-11-17,21.75,21.8,2.3,2.06,185667,1.56,29.45,55.38,,,55.38,80.9,5.73,8.19,,,0.0
2016-11-18,21.78,20.5,-5.96,-0.09,70963,0.61,17.14,47.06,,,46.12,69.7,5.98,9.24,,,-5.96
2016-11-21,20.54,20.8,1.46,0.2,83963,0.72,18.18,50.51,,,48.25,70.7,5.94,8.79,,,-4.59
2016-11-22,21.13,20.07,-3.51,1.59,47088,0.41,10.58,43.25,,,43.05,65.0,6.07,8.99,,,-7.94
2016-11-23,20.1,19.34,-3.64,0.15,72358,0.65,-9.24,34.21,,,37.85,59.8,6.18,9.54,,,-11.28
2016-11-25,19.96,20.4,5.48,3.21,14089,0.14,-6.42,37.84,,,45.4,64.3,6.24,8.81,,,-6.42
2016-11-28,21.43,20.56,0.78,5.05,59194,0.6,0.29,29.96,,,46.54,64.9,6.12,8.65,,,-5.69
2016-11-29,21.2,23.07,12.21,3.11,62132,0.7,10.91,37.81,,,64.43,73.0,6.5,7.99,,,0.0
2016-11-30,23.0,21.82,-5.42,-0.3,108756,1.24,8.72,19.56,,,55.52,65.0,6.46,8.55,,,-5.42
2016-12-01,21.67,19.98,-8.43,-0.69,113226,1.31,3.31,11.31,,,42.41,55.3,6.76,9.33,,,-13.39
2016-12-02,20.5,19.0,-4.9,2.6,69776,0.85,-6.86,23.74,,,35.42,51.0,5.96,9.86,,,-17.64
2016-12-05,19.1,20.94,10.21,0.53,46119,0.56,1.85,36.68,,,49.25,58.0,6.26,8.99,,,-9.23
2016-12-06,21.68,22.23,6.16,3.53,61397,0.74,-3.64,46.25,,,58.45,61.9,6.31,8.53,,,-3.64
2016-12-07,21.8,20.89,-6.03,-1.93,84919,1.03,-4.26,37.34,,,48.9,56.1,6.54,9.0,,,-9.45
2016-12-08,20.9,21.1,1.01,0.05,60186,0.74,5.61,32.79,,,50.39,56.8,6.51,8.71,,,-8.54
2016-12-09,21.29,20.77,-1.56,0.9,37805,0.46,9.32,27.66,,,48.04,55.3,6.54,8.85,,,-9.97
2016-12-12,21.01,20.36,-1.97,1.16,34361,0.44,-2.77,20.9,,,45.12,53.5,6.56,8.89,,,-11.75
2016-12-13,20.0,19.6,-3.73,-1.77,105663,1.31,-11.83,12.0,,,39.7,50.1,6.61,9.29,,,-15.04
2016-12-14,19.12,19.11,-2.5,-2.45,62558,0.8,-8.52,8.58,,,36.21,48.0,6.65,9.32,,,-17.17
2016-12-15,19.2,19.1,-0.05,0.47,34556,0.49,-9.48,5.23,,,36.14,48.0,6.63,9.04,,,-17.21
2016-12-16,20.28,19.83,3.82,6.18,35314,0.56,-4.53,-6.95,,,41.34,51.5,5.44,8.53,,,-14.04
2016-12-19,19.85,20.55,3.63,0.1,57995,0.93,0.93,-5.73,,,46.47,54.7,5.48,8.1,,,-10.92
2016-12-20,20.87,20.18,-1.8,1.56,76232,1.23,2.96,-1.56,,,43.83,52.8,5.33,8.29,,,-12.53
2016-12-21,20.75,20.28,0.5,2.82,77709,1.22,6.12,-2.5,,,44.55,53.2,5.33,8.17,,,-12.09
2016-12-22,20.76,20.12,-0.79,2.37,34705,0.56,5.34,0.25,,,43.41,52.3,5.27,8.08,,,-12.79
2016-12-23,20.27,20.86,3.68,0.75,12873,0.21,5.19,7.86,,,48.68,56.1,5.25,7.53,,,-9.58
2016-12-27,21.59,21.02,0.77,3.5,36915,0.61,2.29,3.04,,,49.82,56.9,5.12,7.28,,,-8.89
2016-12-28,21.5,20.0,-4.85,2.28,65817,1.08,-0.89,-2.72,,,42.55,50.6,5.24,7.64,,,-13.31
2016-12-29,21.1,20.03,0.15,5.5,16668,0.3,-1.23,-13.18,,,42.77,50.8,4.43,7.47,7.37,,-13.18
2016-12-30,20.45,20.26,1.15,2.1,21607,0.42,0.7,-7.15,,,44.4,52.2,4.31,7.12,7.89,,-12.18
2017-01-03,21.0,22.5,11.06,3.65,48861,0.97,7.86,12.61,,,0.0,63.0,4.55,6.67,18.73,,-2.47
