date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2016-11-11,4781.02,4724.77,,,0,,,,,,0.0,,,1.19,,,
2016-11-14,4548.22,4548.22,-3.74,-3.74,0,,,,,,-3.74,0.0,,1.43,,,
2016-11-18,4499.77,4499.77,-1.07,-1.07,0,,,,,,-4.76,0.0,,1.42,,,
2016-11-21,4499.77,4499.77,0.0,0.0,0,,,,,,-4.76,0.0,,1.31,,,
2016-11-22,4499.77,4499.77,0.0,0.0,0,,,,,,-4.76,0.0,,1.22,,,
2016-11-23,4499.77,3982.27,-11.5,0.0,0,,-15.72,,,,-15.72,0.0,,3.5,,,
2016-11-29,3937.27,3374.85,-15.25,-1.13,2,,-25.8,,,,-28.57,0.0,,5.12,,,
2016-11-30,3093.6,2474.85,-26.67,-8.33,1,,-45.0,,,,-47.62,0.0,,9.08,,,
2016-12-01,3093.6,3374.85,36.37,25.0,42,,-25.0,,,,-28.57,21.6,,9.28,,,
2016-12-02,3937.27,3885.67,15.14,16.67,24,,-13.65,,,,-17.76,30.7,,8.91,,,
2016-12-05,3937.27,3374.85,-13.15,1.33,4,,-15.25,,,,-28.57,27.3,,11.79,,,
2016-12-06,3374.85,3083.32,-8.64,0.0,4,,-8.64,,,,-34.74,25.5,,13.13,,,
2016-12-07,2947.35,3059.85,-0.76,-4.41,1,,23.64,,,,-35.24,25.4,,12.71,,,
2016-12-08,2981.1,3082.35,0.74,-2.57,2,,-8.67,,,,-34.76,25.8,,12.44,,,
2016-12-09,2834.85,2834.85,-8.03,-8.03,0,,-27.04,,,,-40.0,24.2,,13.19,,,
2016-12-12,2981.1,2927.02,3.25,5.16,5,,-13.27,,,,-38.05,26.0,,12.21,,,
2016-12-13,2981.02,2841.97,-2.91,1.84,2,,-7.83,,,,-39.85,25.4,,12.05,,,
2016-12-14,2835.0,2835.0,-0.25,-0.25,0,,-7.35,,,,-40.0,25.4,,11.23,,,
