date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,29.47,30.15,,,152939,,,,,,0.0,,,2.27,,,
2005-02-28,30.04,29.83,-1.06,-0.35,311251,,,,,,-1.06,0.0,,2.29,,,
2005-03-01,29.92,29.98,0.52,0.32,230346,,,,,,-0.54,3.6,,2.17,,,
2005-03-02,29.96,30.02,0.13,-0.08,344819,,,,,,-0.41,4.6,,2.12,,,
2005-03-03,30.02,30.16,0.47,0.0,198875,,,,,,0.06,8.0,,2.04,,,
2005-03-04,30.22,30.71,1.82,0.2,237342,,1.87,,,,1.87,20.1,,2.03,,,
2005-03-07,30.71,30.42,-0.94,0.0,501492,,1.99,,,,0.91,18.7,,2.05,,,
2005-03-08,30.42,30.56,0.45,0.0,417330,,1.91,,,,1.36,21.5,,2.05,,,
2005-03-09,30.41,30.74,0.59,-0.48,416163,,2.38,,,,1.96,25.1,,1.98,,,
2005-03-10,30.68,30.74,0.03,-0.17,290499,,1.93,,,,1.99,25.3,,1.92,,,
2005-03-11,30.66,30.74,0.0,-0.28,219390,,0.11,,,,1.99,25.3,,1.86,,,
2005-03-14,30.45,31.07,1.07,-0.94,306587,,2.15,,,,3.08,32.5,,1.87,,,
2005-03-15,31.18,30.56,-1.66,0.33,162504,,0.0,,,,1.36,27.9,,1.92,,,
2005-03-16,30.62,30.11,-1.46,0.22,197474,,-2.04,,,,-0.12,24.7,,1.99,,,
2005-03-17,30.02,30.48,1.23,-0.29,274644,,-0.86,,,,1.11,31.7,,1.98,,,
2005-03-18,30.53,30.5,0.05,0.17,221489,,-0.81,,,,1.16,32.0,,1.9,,,
2005-03-21,30.45,30.09,-1.32,-0.13,164600,,-3.16,,,,-0.17,28.7,,1.91,,,
2005-03-22,30.14,30.04,-0.17,0.14,373730,,-1.69,,,,-0.35,28.3,,1.9,,,
2005-03-23,30.04,30.05,0.03,0.0,150379,,-0.2,,,,-0.32,28.4,,1.91,,,
2005-03-24,30.05,30.2,0.49,0.0,181620,0.68,-0.93,,,,0.17,31.7,,1.88,,,-2.82
2005-03-28,30.18,30.15,-0.14,-0.06,146181,0.55,-1.12,,,,0.03,31.2,,1.81,,,-2.96
2005-03-29,30.04,29.52,-2.12,-0.38,206334,0.79,-1.92,-2.09,,,-2.09,25.6,1.01,1.87,,,-5.01
2005-03-30,29.52,29.86,1.16,0.0,353682,1.32,-0.6,0.11,,,-0.95,32.6,1.02,1.85,,,-3.91
2005-03-31,29.8,29.92,0.21,-0.2,179291,0.69,-0.42,-0.2,,,-0.74,33.9,1.01,1.81,,,-3.7
2005-04-01,29.95,29.64,-0.95,0.09,247134,0.94,-1.85,-1.28,,,-1.68,31.1,1.03,1.82,,,-4.61
2005-04-04,29.68,29.9,0.87,0.12,255063,0.97,-0.86,-0.88,,,-0.83,36.2,1.05,1.79,,,-3.79
2005-04-05,29.91,30.07,0.57,0.06,264616,1.05,1.86,-2.1,,,-0.26,39.4,0.97,1.78,,,-3.24
2005-04-06,30.07,30.03,-0.12,0.0,127997,0.54,0.57,-1.28,,,-0.38,39.0,0.95,1.74,,,-3.36
2005-04-07,29.97,30.11,0.26,-0.19,173926,0.77,0.62,-1.46,,,-0.12,40.6,0.94,1.7,,,-3.1
2005-04-08,30.22,29.87,-0.8,0.38,145481,0.67,0.77,-2.82,,,-0.92,37.4,0.94,1.7,,,-3.88
2005-04-11,29.83,29.97,0.33,-0.14,229181,1.05,0.24,-2.53,,,-0.59,39.5,0.95,1.64,,,-3.56
2005-04-12,29.95,30.38,1.39,-0.06,287931,1.33,1.06,-1.17,,,0.79,47.5,1.0,1.68,,,-2.22
2005-04-13,30.39,29.8,-1.92,0.03,588225,2.47,-0.76,-4.09,,,-1.14,39.6,1.05,1.77,,,-4.09
2005-04-14,30.45,31.23,4.78,2.17,1355501,4.57,3.71,2.19,,,3.58,58.0,1.46,2.01,,,0.0
