date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,10.45,10.21,-2.91,-0.67,3327435,1.45,-5.48,-14.59,-16.73,-12.15,0.0,10.8,0.94,1.63,-14.82,-11.78,-21.62
2000-01-04,10.21,10.47,2.5,0.0,5345338,2.15,-2.52,-12.31,-16.67,-10.07,2.5,25.0,1.17,1.73,-12.44,-9.59,-19.66
2000-01-05,10.58,10.75,2.7,1.09,10281439,3.58,0.93,-8.97,-13.12,-7.81,5.26,37.0,1.37,1.85,-9.86,-7.17,-17.49
2000-01-06,10.88,10.87,1.14,1.26,7757061,2.44,2.41,-8.08,-12.55,-5.67,6.46,41.4,1.41,1.88,-8.62,-6.14,-16.55
2000-01-07,10.85,10.87,0.0,-0.21,5352399,1.61,3.37,-6.7,-11.36,-6.38,6.46,41.4,1.39,1.85,-8.42,-6.17,-16.55
2000-01-10,10.99,10.87,0.0,1.05,4192436,1.22,6.46,-6.06,-11.42,-6.76,6.46,41.4,1.39,1.8,-8.17,-6.2,-16.55
2000-01-11,10.85,10.9,0.3,-0.21,3814019,1.07,4.17,-5.66,-9.57,-6.91,6.78,42.7,1.39,1.77,-7.61,-5.96,-16.31
2000-01-12,10.9,10.99,0.75,0.0,5665024,1.49,2.2,-4.14,-7.97,-5.95,7.58,46.0,1.4,1.79,-6.61,-5.3,-15.68
2000-01-13,10.99,11.14,1.41,0.0,7735233,1.91,2.47,-3.15,-6.93,-4.74,9.09,51.6,1.44,1.75,-5.01,-4.02,-14.49
2000-01-14,11.17,11.15,0.11,0.3,6324281,1.49,2.59,-3.04,-9.13,-5.28,9.21,52.1,1.44,1.68,-4.6,-3.98,-14.39
2000-01-18,11.15,11.14,-0.11,0.0,3708421,0.87,2.47,0.23,-7.45,-6.67,9.09,51.6,1.24,1.65,-4.41,-4.15,-14.49
2000-01-19,11.24,11.32,1.63,0.91,6065904,1.38,3.84,3.07,-7.9,-5.6,10.87,57.9,1.25,1.66,-2.56,-2.65,-13.09
2000-01-20,11.32,11.37,0.42,0.0,4974621,1.12,3.5,3.64,-7.09,-3.97,11.34,59.4,1.25,1.6,-1.88,-2.31,-12.73
