date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,20.4,21.25,,,11800,,,,,,0.0,,,4.24,,,
2005-02-28,19.5,20.4,-4.0,-8.24,95200,,,,,,-4.0,0.0,,4.8,,,
2005-03-01,20.45,20.89,2.4,0.25,30100,,,,,,-1.69,4.2,,4.62,,,
2005-03-02,20.75,20.62,-1.29,-0.67,14000,,,,,,-2.96,4.1,,4.56,,,
2005-03-03,20.75,21.11,2.38,0.63,17400,,,,,,-0.66,8.5,,4.32,,,
2005-03-04,21.36,21.09,-0.09,1.18,16100,,-0.75,,,,-0.75,8.5,,4.13,,,
2005-03-07,21.0,20.68,-1.94,-0.43,12200,,1.37,,,,-2.68,8.2,,4.07,,,
2005-03-08,20.65,20.55,-0.63,-0.15,21400,,-1.63,,,,-3.29,8.0,,3.86,,,
2005-03-09,20.5,20.36,-0.92,-0.24,7000,,-1.26,,,,-4.19,7.9,,3.74,,,
2005-03-10,20.35,20.32,-0.2,-0.05,11500,,-3.74,,,,-4.38,7.8,,3.55,,,
2005-03-11,20.3,19.99,-1.62,-0.1,15600,,-5.22,,,,-5.93,7.5,,3.5,,,
2005-03-14,19.86,19.65,-1.7,-0.65,16400,,-4.98,,,,-7.53,7.2,,3.54,,,
2005-03-15,19.9,20.16,2.6,1.27,18500,,-1.9,,,,-5.13,13.4,,3.46,,,
2005-03-16,20.14,20.2,0.2,-0.1,44300,,-0.79,,,,-4.94,13.9,,3.26,,,
2005-03-17,20.2,20.32,0.59,0.0,6600,,0.0,,,,-4.38,15.5,,3.1,,,
2005-03-18,20.32,20.23,-0.44,0.0,24500,,1.2,,,,-4.8,15.2,,2.96,,,
2005-03-21,20.11,20.08,-0.74,-0.59,10400,,2.19,,,,-5.51,14.9,,2.84,,,
2005-03-22,20.01,19.76,-1.59,-0.35,9000,,-1.98,,,,-7.01,14.0,,2.8,,,
2005-03-23,19.77,19.16,-3.04,0.05,10400,,-5.15,,,,-9.84,12.7,,2.91,,,
2005-03-24,19.26,19.12,-0.21,0.52,12300,0.61,-5.91,,,,-10.02,12.6,,2.79,,,-10.02
2005-03-28,19.15,19.17,0.26,0.16,14900,0.73,-5.24,,,,-9.79,13.4,,2.62,,,-9.79
2005-03-29,19.1,19.85,3.55,-0.37,21100,1.26,-1.15,-6.59,,,-6.59,23.9,1.87,2.62,,,-6.59
2005-03-30,19.8,20.0,0.76,-0.25,20200,1.25,1.21,-1.96,,,-5.88,26.0,1.68,2.66,,,-5.88
2005-03-31,20.0,20.0,0.0,0.0,21600,1.3,4.38,-4.26,,,-5.88,26.0,1.58,2.53,,,-5.88
2005-04-01,19.9,19.1,-4.5,-0.5,55400,3.0,-0.1,-7.37,,,-10.12,21.8,1.83,3.0,,,-10.12
2005-04-04,19.15,19.36,1.36,0.26,19100,1.03,0.99,-8.29,,,-8.89,25.5,1.77,2.87,,,-8.89
2005-04-05,19.3,19.61,1.29,-0.31,10300,0.56,-1.21,-7.02,,,-7.72,29.1,1.8,2.75,,,-7.72
2005-04-06,19.61,19.97,1.84,0.0,10300,0.57,-0.15,-3.43,,,-6.02,34.0,1.82,2.63,,,-6.02
2005-04-07,19.95,20.05,0.4,-0.1,5300,0.3,0.25,-2.43,,,-5.65,35.0,1.82,2.54,,,-5.65
2005-04-08,20.14,20.0,-0.25,0.45,7200,0.41,4.71,-1.77,,,-5.88,34.7,1.81,2.41,,,-5.88
2005-04-11,19.75,19.97,-0.15,-1.25,12100,0.69,3.15,-1.72,,,-6.02,34.4,1.81,2.33,,,-6.02
2005-04-12,19.97,20.1,0.65,0.0,25200,1.41,2.5,0.55,,,-5.41,36.5,1.78,2.27,,,-5.41
2005-04-13,20.15,20.31,1.04,0.25,8000,0.46,1.7,3.36,,,-4.42,39.7,1.75,2.19,,,-4.42
2005-04-14,20.24,20.0,-1.53,-0.34,10200,0.65,-0.25,-0.79,,,-5.88,36.7,1.69,2.21,,,-5.88
2005-04-15,20.05,18.37,-8.15,0.25,14400,0.89,-8.15,-9.06,,,-13.55,25.7,2.45,2.88,,,-13.55
2005-04-18,18.3,17.96,-2.23,-0.38,11400,0.74,-10.07,-11.61,,,-15.48,23.8,2.47,2.95,,,-15.48
2005-04-19,18.06,18.0,0.22,0.56,16500,1.05,-10.45,-11.02,,,-15.29,24.4,2.47,2.79,,,-15.29
2005-04-20,17.99,17.42,-3.22,-0.06,15900,0.99,-14.23,-13.25,,,-18.02,21.7,2.54,2.91,,,-18.02
2005-04-21,17.43,17.64,1.26,0.06,33100,1.92,-11.8,-10.73,,,-16.99,25.0,2.57,2.81,,,-16.99
2005-04-22,17.57,17.68,0.23,-0.4,25000,1.4,-3.76,-7.72,,,-16.8,25.7,2.5,2.7,,,-16.8
2005-04-25,17.6,17.82,0.79,-0.45,15800,0.88,-0.78,-6.8,,,-16.14,27.9,2.52,2.58,,,-16.14
2005-04-26,17.88,18.0,1.01,0.34,28200,1.54,0.0,-6.1,,,-15.29,30.8,2.53,2.47,,,-15.29
2005-04-27,17.99,18.0,0.0,-0.06,8400,0.48,3.33,-9.32,,,-15.29,30.8,2.38,2.35,,,-15.29
2005-04-28,18.0,17.94,-0.33,0.0,11700,0.68,1.7,-10.3,,,-15.58,30.3,2.36,2.21,,,-15.58
2005-04-29,17.9,17.85,-0.5,-0.22,15200,1.0,0.96,-10.75,,,-16.0,29.6,2.36,2.12,,,-16.0
2005-05-02,18.85,18.77,5.15,5.6,23800,1.55,5.33,-1.73,,,-11.67,44.4,2.48,2.28,,,-11.67
2005-05-03,18.77,18.52,-1.33,0.0,15700,1.0,2.89,-4.34,,,-12.85,41.8,2.47,2.25,,,-12.85
2005-05-04,18.47,18.72,1.08,-0.27,13000,0.82,4.0,-4.54,,,-11.91,44.6,2.47,2.19,,,-11.91
2005-05-05,18.7,18.15,-3.04,-0.11,8000,0.5,1.17,-9.11,,,-14.59,38.9,2.5,2.32,,,-14.59
2005-05-06,18.2,17.88,-1.49,0.28,10800,0.67,0.17,-10.82,,,-15.86,36.5,2.5,2.32,-8.04,,-15.86
2005-05-09,17.75,17.81,-0.39,-0.73,16300,1.0,-5.11,-10.95,,,-16.19,35.9,2.5,2.28,-8.07,,-16.19
2005-05-10,17.81,17.97,0.9,0.0,26400,1.61,-2.97,-10.02,,,-15.44,38.5,2.52,2.18,-7.01,,-15.44
2005-05-11,17.95,17.93,-0.22,-0.11,8100,0.49,-4.22,-10.8,,,-15.62,38.1,2.5,2.09,-6.94,,-15.62
2005-05-12,18.0,17.8,-0.73,0.39,11800,0.72,-1.93,-12.36,,,-16.24,36.7,2.48,2.04,-7.34,,-16.24
2005-05-13,17.8,17.12,-3.82,0.0,8100,0.5,-4.25,-14.4,,,-19.44,30.6,2.57,2.26,-10.51,,-19.44
2005-05-16,17.2,17.4,1.64,0.47,43000,2.42,-2.3,-5.28,,,-18.12,35.4,1.97,2.2,-8.69,,-18.12
2005-05-17,17.4,17.38,-0.11,0.0,10900,0.62,-3.28,-3.23,,,-18.21,35.2,1.92,2.13,-8.48,,-18.21
2005-05-18,17.39,17.55,0.98,0.06,21000,1.19,-2.12,-2.5,,,-17.41,38.2,1.93,2.1,-7.29,,-17.41
2005-05-19,17.6,17.5,-0.28,0.28,8000,0.49,-1.69,0.46,,,-17.65,37.6,1.8,2.07,-7.28,,-17.65
2005-05-20,17.35,17.41,-0.51,-0.86,5100,0.33,1.69,-1.3,,,-18.07,36.6,1.78,2.02,-7.47,,-18.07
2005-05-23,17.4,17.01,-2.3,-0.06,16500,1.06,-2.24,-3.79,,,-19.95,32.4,1.84,2.09,-9.31,,-19.95
2005-05-24,17.0,16.91,-0.59,-0.06,24600,1.61,-2.7,-5.11,,,-20.42,31.4,1.83,2.0,-9.58,,-20.42
2005-05-25,17.25,16.9,-0.06,2.01,32300,1.96,-3.7,-6.11,,,-20.47,31.3,1.81,2.01,-9.31,,-20.47
2005-05-26,16.92,16.8,-0.59,0.12,12800,0.77,-4.0,-6.67,-20.94,,-20.94,30.3,1.81,1.96,-9.52,,-20.94
2005-05-27,17.1,16.94,0.83,1.79,20900,1.24,-2.7,-5.57,-16.96,,-20.28,33.6,1.83,1.93,-8.43,,-20.28
2005-05-31,16.85,16.45,-2.89,-0.53,24900,1.47,-3.29,-7.84,-21.25,,-22.59,28.5,1.91,2.06,-10.72,,-22.59
2005-06-01,16.2,16.46,0.06,-1.52,35900,2.0,-2.66,-12.31,-20.17,,-22.54,28.7,1.44,2.08,-10.31,,-22.54
2005-06-02,16.55,16.84,2.31,0.55,118400,5.11,-0.36,-9.07,-20.23,,-20.75,37.3,1.57,2.05,-7.94,,-20.75
2005-06-03,16.9,16.65,-1.13,0.36,25800,1.07,-0.89,-11.06,-21.05,,-21.65,35.0,1.53,2.23,-8.73,,-21.65
2005-06-06,16.7,16.78,0.78,0.3,14500,0.6,-0.94,-7.55,-18.86,,-21.04,37.8,1.45,2.15,-7.78,,-21.04
2005-06-07,16.85,17.5,4.29,0.42,38000,1.5,6.38,-2.13,-14.84,,-17.65,50.6,1.74,2.28,-3.65,,-17.65
2005-06-08,17.6,17.1,-2.29,0.57,9300,0.38,3.89,-3.99,-16.01,,-19.53,45.0,1.81,2.37,-5.57,,-19.53
2005-06-09,17.05,17.05,-0.29,-0.29,23600,0.93,1.25,-5.12,-16.09,,-19.76,44.4,1.79,2.28,-5.53,,-19.76
