date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-05-01,3.77,7.66,,,617086,,,,,,0.0,,,53.92,,,
2020-05-04,7.66,7.5,-2.09,0.0,82168,,,,,,-2.09,0.0,,51.55,,,
2020-05-05,7.55,7.95,6.0,0.67,246636,,,,,,3.79,17.8,,45.91,,,
2020-05-06,8.25,8.25,3.77,3.77,186300,,,,,,7.7,27.1,,41.47,,,
2020-05-07,8.2,8.07,-2.18,-0.61,52696,,,,,,5.35,25.2,,39.59,,,
2020-05-08,8.01,8.0,-0.87,-0.74,49550,,4.44,,,,4.44,24.5,,37.44,,,
2020-05-11,8.0,8.05,0.63,0.0,21675,,7.33,,,,5.09,26.1,,34.71,,,
2020-05-12,8.05,7.96,-1.12,0.0,43986,,0.13,,,,3.92,25.1,,32.73,,,
2020-05-13,7.9,7.75,-2.64,-0.75,30475,,-6.06,,,,1.17,22.9,,31.53,,,
2020-05-14,7.66,7.75,0.0,-1.16,18151,,-3.97,,,,1.17,22.9,,29.46,,,
2020-05-15,7.7,7.35,-5.16,-0.71,38707,,-8.13,,,,-4.05,19.1,,29.33,,,
2020-05-18,7.35,7.35,0.0,0.0,8881,,-8.7,,,,-4.05,19.1,,27.48,,,
2020-05-19,7.64,7.35,0.0,3.95,25162,,-7.66,,,,-4.05,19.1,,26.09,,,
2020-05-20,7.17,7.31,-0.54,-2.45,9499,,-5.68,,,,-4.57,18.7,,24.63,,,
2020-05-21,7.49,7.55,3.28,2.46,38349,,-2.58,,,,-1.44,28.1,,22.48,,,
2020-05-22,7.46,7.62,0.93,-1.19,15406,,3.67,,,,-0.52,30.6,,21.11,,,
2020-05-26,7.25,8.05,5.64,-4.86,282206,,9.52,,,,5.09,43.6,,20.1,,,
2020-05-27,8.05,7.85,-2.48,0.0,56147,,6.8,,,,2.48,39.9,,19.73,,,
2020-05-28,8.0,8.13,3.57,1.91,33663,,11.22,,,,6.14,46.8,,18.26,,,
2020-05-29,8.01,7.81,-3.94,-1.53,31216,0.33,3.44,,,,1.96,41.0,,17.95,,,-5.33
2020-06-01,7.99,7.55,-3.33,2.3,93090,1.36,-0.92,,,,-1.44,37.0,,17.66,,,-8.48
2020-06-02,7.65,7.78,3.05,1.32,40563,0.61,-3.35,1.57,,,1.57,42.3,3.11,16.27,,,-5.7
2020-06-03,7.75,7.75,-0.39,-0.39,24816,0.45,-1.27,3.33,,,1.17,41.8,3.07,15.34,,,-6.06
2020-06-04,7.8,7.85,1.29,0.65,117861,2.28,-3.44,-1.26,,,2.48,44.2,2.79,14.81,,,-4.85
2020-06-05,7.95,7.94,1.15,1.27,56666,1.09,1.66,-3.76,,,3.66,46.3,2.66,13.78,,,-3.76
2020-06-08,7.89,8.0,0.76,-0.63,85988,1.6,5.96,-0.87,,,4.44,47.7,2.63,12.88,,,-3.03
