date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2000-01-03,15.92,15.66,-1.13,0.56,3433074,1.46,5.12,0.56,13.24,11.31,0.0,59.2,1.56,2.94,6.96,8.69,-3.44
2000-01-04,15.52,15.64,-0.11,-0.88,4299763,1.73,2.79,0.11,9.31,12.49,-0.11,58.8,1.56,2.82,6.45,8.48,-3.54
2000-01-05,15.68,16.0,2.31,0.25,7926741,2.88,2.2,5.17,13.71,15.83,2.2,63.7,1.51,2.89,8.52,10.9,-1.31
2000-01-06,16.3,16.82,5.1,1.84,7757841,2.53,6.62,12.6,15.72,21.15,7.42,71.8,1.77,3.03,13.51,16.41,0.0
2000-01-07,16.82,16.8,-0.1,0.0,5246822,1.62,6.1,10.58,18.62,21.84,7.31,71.5,1.75,3.09,12.83,16.15,-0.1
2000-01-10,16.8,17.14,2.0,0.0,4026774,1.23,9.45,11.98,18.66,26.96,9.45,74.2,1.78,3.07,14.52,18.34,0.0
2000-01-11,16.96,17.14,0.0,-1.04,4052026,1.2,9.57,12.34,20.37,29.96,9.45,74.2,1.78,3.01,13.95,18.19,0.0
2000-01-12,16.96,16.82,-1.86,-1.04,3844604,1.11,5.1,9.61,21.79,27.76,7.42,67.1,1.86,3.02,11.29,15.88,-1.86
2000-01-13,16.91,16.89,0.44,0.54,2554907,0.74,0.44,9.27,27.81,31.95,7.89,67.9,1.85,2.99,11.23,16.28,-1.43
2000-01-14,17.16,17.57,4.03,1.6,3813475,1.08,4.59,12.87,27.26,36.25,12.24,73.9,2.01,2.97,15.06,20.81,0.0
2000-01-18,17.41,17.21,-2.07,-0.91,3878536,1.09,0.42,10.83,27.62,32.55,9.91,66.7,2.09,3.22,12.21,18.17,-2.07
2000-01-19,17.16,16.93,-1.6,-0.26,2556439,0.71,-1.19,12.5,22.85,30.91,8.15,61.8,1.99,3.41,10.0,16.17,-3.64
2000-01-20,17.03,16.64,-1.73,0.56,2761310,0.79,-1.06,12.08,24.87,28.65,6.28,57.0,2.0,3.48,7.75,14.05,-5.31
2000-01-21,16.64,16.14,-3.0,0.0,3392765,0.95,-4.45,10.24,23.86,18.19,3.09,49.9,2.11,3.61,4.25,10.55,-8.15
2000-01-24,16.16,16.39,1.55,0.1,2109190,0.59,-6.73,12.46,26.42,17.89,4.69,53.0,2.11,3.47,5.57,12.18,-6.73
2000-01-25,16.39,16.25,-0.87,0.0,3929564,1.07,-5.58,11.48,21.71,15.71,3.78,51.1,2.13,3.64,4.39,11.15,-7.53
2000-01-26,16.3,16.66,2.51,0.29,3144775,0.84,-1.63,11.84,25.65,17.45,6.39,56.1,2.15,3.55,6.69,13.88,-5.21
2000-01-27,16.71,16.73,0.44,0.3,1871149,0.51,0.54,9.96,27.72,19.28,6.86,57.0,2.12,3.4,6.83,14.3,-4.79
2000-01-28,16.57,16.34,-2.33,-0.93,3324391,0.89,1.24,4.36,21.33,17.9,4.36,51.2,2.12,3.52,4.14,11.6,-7.01
2000-01-31,16.3,15.95,-2.38,-0.27,2329881,0.61,-2.68,1.13,18.9,15.8,1.88,46.2,2.19,3.55,1.47,8.95,-9.22
2000-02-01,15.92,15.61,-2.15,-0.17,4005338,1.04,-3.94,-1.44,18.51,11.28,-0.31,42.3,2.24,3.6,-0.85,6.6,-11.18
2000-02-02,15.98,15.57,-0.25,2.38,4042080,1.06,-6.53,-0.56,18.86,11.47,-0.56,41.9,2.23,3.68,-1.31,6.34,-11.4
2000-02-03,15.59,15.06,-3.28,0.15,5179209,1.4,-9.99,-3.71,13.0,3.55,-3.82,36.6,2.34,3.99,-4.66,2.87,-14.3
2000-02-04,14.79,14.93,-0.88,-1.81,3767811,1.08,-8.65,-6.72,6.54,2.54,-4.66,35.3,2.28,3.98,-5.48,1.98,-15.06
2000-02-07,14.93,15.09,1.1,0.0,2573279,0.77,-5.39,-10.26,7.72,4.73,-3.61,38.1,1.95,3.92,-4.37,3.1,-14.12
2000-02-08,15.24,14.63,-3.08,1.02,13134272,3.44,-6.29,-12.94,3.08,3.84,-6.58,33.7,2.02,4.75,-7.25,-0.07,-16.76
