date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2018-12-31,22.5,24.16,,,11769005,,,,,,0.0,,,6.9,,,
2019-01-02,23.84,23.3,-3.58,-1.31,12355639,,,,,,0.0,0.0,,7.1,,,
2019-01-03,23.02,22.31,-4.22,-1.19,13961284,,,,,,-4.22,0.0,,7.26,,,
2019-01-04,22.58,22.75,1.97,1.18,18014944,,,,,,-2.33,3.7,,6.94,,,
2019-01-07,22.71,22.9,0.65,-0.2,9963105,,,,,,-1.7,5.0,,6.68,,,
2019-01-08,23.31,23.17,1.18,1.77,14737365,,-4.1,,,,-0.53,7.4,,6.36,,,
2019-01-09,23.27,23.21,0.15,0.43,6673591,,-0.38,,,,-0.38,7.8,,5.99,,,
2019-01-10,23.21,22.34,-3.73,0.0,7207907,,0.13,,,,-4.1,7.1,,6.17,,,
2019-01-11,22.22,21.99,-1.59,-0.53,5460935,,-3.37,,,,-5.62,6.8,,6.04,,,
2019-01-14,21.79,21.16,-3.75,-0.9,7414484,,-7.6,,,,-9.17,6.3,,6.11,,,
2019-01-15,21.28,21.26,0.49,0.58,5722224,,-8.24,,,,-8.72,7.3,,5.85,,,
2019-01-16,21.16,21.07,-0.9,-0.49,4971153,,-9.2,,,,-9.55,7.2,,5.68,,,
2019-01-17,21.12,21.61,2.56,0.21,7164907,,-3.27,,,,-7.23,12.9,,5.33,,,
2019-01-18,21.65,21.43,-0.83,0.16,6586550,,-2.52,,,,-8.0,12.7,,5.1,,,
2019-01-22,21.69,21.78,1.64,1.22,6413561,,2.94,,,,-6.49,16.5,,4.88,,,
2019-01-23,22.34,22.06,1.27,2.54,6374608,,3.75,,,,-5.3,19.5,,4.77,,,
2019-01-24,22.2,22.23,0.76,0.65,7184444,,5.49,,,,-4.58,21.4,,4.54,,,
2019-01-25,22.36,22.7,2.11,0.6,5295609,,5.03,,,,-2.57,26.5,,4.29,,,
2019-01-28,22.69,23.19,2.16,-0.02,12036923,,8.19,,,,-0.46,31.4,,4.17,,,
2019-01-29,23.29,23.16,-0.11,0.42,7197813,0.82,6.33,,,,-0.57,31.3,,4.0,,,-4.14
2019-01-30,23.41,23.73,2.46,1.07,8053399,0.93,7.57,,,,1.87,37.1,,3.8,,,-1.78
2019-01-31,23.65,24.02,1.23,-0.36,7566769,0.9,8.07,-0.57,,,3.12,39.8,2.2,3.75,,,-0.57
2019-02-01,24.22,24.55,2.18,0.8,3673497,0.47,8.15,5.37,,,5.37,44.5,2.09,3.59,,,0.0
2019-02-04,24.73,25.13,2.38,0.72,6452868,0.88,8.38,12.63,,,7.88,49.3,1.86,3.56,,,0.0
2019-02-05,25.35,25.25,0.47,0.86,5571671,0.79,9.01,10.97,,,8.38,50.2,1.84,3.42,,,0.0
2019-02-06,25.29,25.18,-0.26,0.16,5736591,0.86,6.12,9.97,,,8.1,49.7,1.84,3.33,,,-0.26
2019-02-07,25.02,24.94,-0.98,-0.66,3605249,0.56,3.8,7.62,,,7.04,47.6,1.86,3.29,,,-1.23
2019-02-08,24.75,25.46,2.08,-0.77,3628238,0.58,3.71,9.69,,,9.28,52.2,1.9,3.26,,,0.0
2019-02-11,25.64,25.72,1.03,0.73,5501613,0.87,2.34,15.11,,,10.4,54.4,1.64,3.14,,,0.0
2019-02-12,25.92,26.5,3.04,0.77,6834607,1.09,4.95,20.53,,,13.75,60.2,1.63,3.06,,,0.0
2019-02-13,26.65,26.67,0.65,0.56,3592323,0.58,5.91,26.05,,,14.5,61.3,1.23,2.99,,,0.0
2019-02-14,26.54,26.89,0.8,-0.5,5257033,0.85,7.81,26.44,,,15.41,62.8,1.23,2.9,,,0.0
2019-02-15,27.09,27.19,1.14,0.76,4643539,0.77,6.81,29.04,,,16.72,64.8,1.14,2.9,,,0.0
2019-02-19,27.24,27.21,0.07,0.17,2543487,0.43,5.8,25.92,,,16.81,65.0,1.12,2.82,,,0.0
2019-02-20,27.33,27.46,0.91,0.42,2795427,0.49,3.62,28.12,,,17.87,66.7,1.03,2.74,,,0.0
2019-02-21,27.47,27.46,0.0,0.04,3930552,0.71,2.95,26.06,,,17.87,66.7,1.06,2.65,,,0.0
2019-02-22,27.6,27.78,1.15,0.52,3736334,0.69,3.31,25.91,,,19.23,68.9,1.06,2.51,,,0.0
2019-02-25,27.91,28.0,0.82,0.5,4728075,0.88,2.98,25.97,,,20.2,70.5,1.05,2.41,,,0.0
2019-02-26,27.84,28.05,0.16,-0.6,4735514,0.95,3.07,23.57,,,20.39,70.8,1.05,2.42,,,0.0
