date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2017-05-04,24.22,23.82,,,1127,,,,,,0.0,,,1.7,,,
2017-05-05,24.28,24.61,3.34,1.93,10048,,,,,,3.34,,,1.76,,,
2017-05-08,25.0,24.53,-0.33,1.59,4853,,,,,,3.0,99.2,,1.81,,,
2017-05-09,25.0,24.61,0.33,1.89,3689,,,,,,3.34,99.2,,1.81,,,
2017-05-10,24.93,24.22,-1.6,1.28,4145,,,,,,1.68,95.1,,2.01,,,
2017-05-11,23.58,24.27,0.2,-2.64,2380,,1.88,,,,1.88,95.1,,2.08,,,
2017-05-12,24.36,23.98,-1.2,0.4,5376,,-2.59,,,,0.67,91.9,,2.09,,,
2017-05-15,24.28,24.28,1.25,1.25,914,,-1.04,,,,1.93,92.2,,2.0,,,
2017-05-16,24.62,24.4,0.52,1.41,1282,,-0.85,,,,2.46,92.3,,1.95,,,
2017-05-17,23.77,23.1,-5.32,-2.58,5251,,-4.6,,,,-3.0,78.1,,2.31,,,
2017-05-18,22.36,22.97,-0.56,-3.21,2471,,-5.32,,,,-3.54,76.9,,2.43,,,
2017-05-19,23.31,23.99,4.42,1.45,13804,,0.06,,,,0.73,79.7,,2.54,,,
2017-05-22,25.88,24.64,2.7,7.87,55688,,1.5,,,,3.45,81.2,,2.86,,,
2017-05-23,24.81,24.96,1.29,0.7,104146,,2.27,,,,4.78,81.9,,2.81,,,
2017-05-24,25.56,25.51,2.23,2.42,31412,,10.42,,,,7.11,83.2,,2.78,,,
2017-05-25,26.03,26.23,2.81,2.01,37447,,14.16,,,,10.12,84.6,,2.71,,,
2017-05-26,26.22,26.19,-0.14,-0.04,30448,,9.17,,,,9.96,84.2,,2.6,,,
2017-05-30,26.03,25.75,-1.67,-0.59,17740,,4.52,,,,8.13,79.4,,2.62,,,
2017-05-31,26.06,26.32,2.18,1.21,28750,,5.45,,,,10.49,80.9,,2.63,,,
2017-06-01,26.68,26.6,1.07,1.37,15384,0.82,4.25,,,,11.67,81.6,,2.59,,,0.0
2017-06-02,27.2,27.19,2.23,2.27,20965,1.06,3.67,,,,14.17,83.1,,2.61,,,0.0
2017-06-05,27.32,26.35,-3.11,0.47,25817,1.25,0.59,10.61,,,10.61,74.0,2.29,2.81,,,-3.11
2017-06-06,25.88,25.69,-2.5,-1.77,14290,0.68,-0.26,4.36,,,7.85,67.8,2.29,2.93,,,-5.53
2017-06-07,25.6,25.6,-0.35,-0.35,14271,0.66,-2.73,4.35,,,7.47,67.0,2.29,2.82,,,-5.86
2017-06-08,25.26,26.19,2.31,-1.33,15924,0.72,-1.53,6.41,,,9.96,69.6,2.33,2.86,,,-3.68
2017-06-09,26.49,26.24,0.18,1.15,11237,0.5,-3.51,8.34,,,10.16,69.9,2.29,3.04,,,-3.51
2017-06-12,27.04,25.78,-1.73,3.07,15256,0.66,-2.14,6.25,,,8.25,65.3,2.34,3.32,,,-5.18
2017-06-13,25.5,26.31,2.03,-1.09,5598,0.24,2.41,9.72,,,10.45,67.9,2.34,3.27,,,-3.26
2017-06-14,26.67,26.37,0.26,1.37,8314,0.35,3.04,8.64,,,10.74,68.2,2.33,3.16,,,-3.0
2017-06-15,26.33,26.48,0.41,-0.19,4048,0.17,1.12,8.52,,,11.19,68.8,2.33,3.05,,,-2.61
2017-06-16,26.57,26.52,0.15,0.32,2633,0.11,1.08,14.79,,,11.35,69.0,1.93,2.91,,,-2.46
2017-06-19,26.95,27.05,2.01,1.61,22918,0.95,4.93,17.75,,,13.59,71.8,1.93,2.81,,,-0.51
2017-06-20,27.37,26.4,-2.4,1.15,25791,1.14,0.38,10.06,,,10.86,64.2,1.86,2.94,,,-2.89
2017-06-21,26.22,26.03,-1.4,-0.71,14619,0.81,-1.29,5.66,,,9.31,60.2,1.83,2.98,,,-4.25
2017-06-22,25.99,25.78,-0.97,-0.18,12086,0.7,-2.64,3.31,,,8.25,57.7,1.84,2.87,,,-5.18
2017-06-23,25.45,25.7,-0.34,-1.28,39864,2.3,-3.11,0.72,,,7.88,56.8,1.78,2.93,,,-5.5
2017-06-26,26.05,25.55,-0.57,1.4,21477,1.27,-5.56,-2.59,,,7.27,55.2,1.66,2.96,,,-6.04
2017-06-27,25.5,25.01,-2.1,-0.19,15690,0.94,-5.27,-4.49,,,5.02,49.8,1.72,2.98,,,-8.01
2017-06-28,25.01,26.2,4.74,0.0,6894,0.44,0.63,1.73,,,10.0,59.3,1.99,2.97,,,-3.65
2017-06-29,26.22,25.51,-2.61,0.06,11676,0.75,-1.04,-3.04,,,7.13,53.0,2.02,3.17,,,-6.17
2017-06-30,25.75,26.04,2.08,0.9,6804,0.46,1.36,-2.08,,,9.35,56.8,2.06,3.08,,,-4.22
2017-07-03,26.46,26.62,2.21,1.6,10392,0.74,4.18,-2.11,,,11.76,60.6,2.06,2.98,,,-2.11
2017-07-05,26.77,27.36,2.77,0.58,33816,2.26,9.37,3.84,,,14.86,64.8,2.02,2.9,,,0.0
2017-07-06,27.02,26.61,-2.74,-1.21,20544,1.34,1.56,3.58,,,11.71,58.0,2.04,2.97,,,-2.74
2017-07-07,27.05,27.52,3.45,1.68,14542,0.96,7.88,7.53,,,15.56,63.1,2.16,2.96,,,0.0
2017-07-10,27.79,27.74,0.8,0.98,10925,0.72,6.53,5.94,,,16.49,64.2,2.11,2.91,,,0.0
2017-07-11,27.79,28.18,1.56,0.18,18269,1.19,5.86,7.4,,,18.31,66.4,2.13,2.85,,,0.0
2017-07-12,28.5,28.5,1.15,1.15,26758,1.63,4.19,10.54,,,19.67,67.9,2.08,2.83,,,0.0
2017-07-13,28.45,28.26,-0.85,-0.19,12906,0.78,6.21,7.42,,,18.65,65.5,2.07,2.81,,,-0.85
2017-07-14,28.72,28.96,2.47,1.65,21350,1.22,5.2,9.79,,,21.58,68.9,2.12,2.73,12.0,,0.0
2017-07-17,29.13,28.99,0.1,0.61,22947,1.24,4.48,9.46,,,21.7,69.1,2.12,2.68,11.67,,0.0
2017-07-18,29.2,28.6,-1.34,0.74,9614,0.54,1.49,7.83,,,20.07,64.9,2.16,2.68,9.83,,-1.34
2017-07-19,28.86,29.17,2.01,0.92,19936,1.14,2.35,7.83,,,22.49,68.0,2.16,2.61,11.64,,0.0
2017-07-20,29.77,29.15,-0.07,2.03,35941,1.93,3.17,10.41,,,22.4,67.8,2.06,2.57,11.18,,-0.07
2017-07-21,29.13,29.24,0.3,-0.06,15358,0.82,0.98,12.31,,,22.77,68.3,2.02,2.5,11.09,,0.0
2017-07-24,29.39,29.59,1.19,0.53,15422,0.88,2.08,14.76,,,24.23,70.2,1.99,2.38,11.96,,0.0
2017-07-25,30.1,29.58,-0.03,1.74,19807,1.13,3.43,15.12,,,24.19,70.1,1.98,2.47,11.45,,-0.03
2017-07-26,29.96,29.63,0.16,1.28,13227,0.76,1.56,15.96,,,24.4,70.4,1.97,2.57,11.19,,0.0
2017-07-27,29.94,29.29,-1.13,1.04,15233,0.86,0.48,17.1,,,22.99,65.6,1.91,2.66,9.53,,-1.13
2017-07-28,29.36,30.3,3.43,0.21,16489,0.92,3.62,15.64,,,27.21,71.8,1.79,2.62,12.68,,0.0
2017-07-31,30.53,29.86,-1.44,0.77,16432,0.89,0.92,17.04,,,25.38,66.2,1.7,2.68,10.49,,-1.44
2017-08-01,30.59,29.97,0.35,2.43,20225,1.07,1.31,15.06,,,25.82,66.9,1.67,2.67,10.39,,-1.09
2017-08-02,29.89,30.61,2.15,-0.26,19437,1.06,3.32,15.01,,,28.53,70.7,1.67,2.61,12.28,,0.0
2017-08-03,30.83,31.37,2.49,0.72,29410,1.57,7.11,14.69,31.73,,31.73,74.5,1.65,2.59,14.53,,0.0
2017-08-04,31.71,31.39,0.06,1.07,36779,1.86,3.62,17.99,27.55,,31.81,74.5,1.47,2.57,14.11,,0.0
2017-08-07,31.56,31.77,1.21,0.53,35676,1.69,6.4,15.44,29.52,,33.4,76.3,1.34,2.48,15.02,,0.0
2017-08-08,31.98,31.7,-0.24,0.65,61192,2.64,5.77,14.24,28.78,,33.08,75.2,1.36,2.47,14.29,,-0.24
2017-08-09,32.48,31.74,0.15,2.49,76130,2.97,3.7,12.66,31.08,,33.28,75.4,1.34,2.5,13.97,,-0.09
2017-08-10,31.97,30.72,-3.21,0.71,79255,2.73,-2.07,7.8,26.62,,29.0,61.6,1.57,2.69,9.96,,-3.3
2017-08-11,30.91,31.16,1.42,0.6,44610,1.48,-0.74,10.28,29.97,,30.84,64.6,1.56,2.65,11.17,,-1.92
2017-08-14,31.67,32.01,2.71,1.62,66569,2.06,0.74,10.54,31.85,,34.39,69.5,1.58,2.6,13.79,,0.0
2017-08-15,32.53,31.54,-1.46,1.64,52520,1.52,-0.49,8.81,29.25,,32.43,64.2,1.63,2.69,11.72,,-1.46
2017-08-16,31.67,31.46,-0.25,0.4,31431,0.9,-0.89,10.02,36.18,,32.1,63.3,1.59,2.61,10.99,,-1.7
2017-08-17,31.37,30.17,-4.1,-0.28,47785,1.34,-1.8,3.43,31.33,,26.68,50.9,1.83,2.84,6.09,,-5.74
