date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-04-28,67.2,68.55,,,2867614,,,,,,0.0,,,16.19,,,
2021-04-29,73.35,64.8,-5.47,7.0,1471522,,,,,,-5.47,0.0,,17.01,,,
2021-04-30,63.3,58.65,-9.49,-2.31,1242655,,,,,,-14.44,0.0,,18.5,,,
2021-05-03,58.35,47.85,-18.41,-0.51,1652141,,,,,,-30.2,0.0,,22.89,,,
2021-05-04,47.09,50.7,5.96,-1.6,1599974,,,,,,-26.04,4.7,,21.75,,,
2021-05-05,52.5,50.25,-0.89,3.55,647584,,-26.7,,,,-26.7,4.7,,21.23,,,
2021-05-06,49.2,51.15,1.79,-2.09,639893,,-21.06,,,,-25.38,6.3,,19.99,,,
2021-05-07,51.15,49.2,-3.81,0.0,377519,,-16.11,,,,-28.23,6.1,,19.78,,,
2021-05-10,50.7,46.05,-6.4,3.05,338501,,-3.76,,,,-32.82,5.7,,20.39,,,
2021-05-11,45.0,46.2,0.33,-2.28,474244,,-8.88,,,,-32.6,6.0,,19.59,,,
2021-05-12,47.1,43.8,-5.19,1.95,279470,,-12.84,,,,-36.11,5.7,,19.78,,,
2021-05-13,45.12,44.85,2.4,3.02,644976,,-12.32,,,,-34.57,7.9,,18.82,,,
2021-05-14,46.2,48.45,8.03,3.01,433222,,-1.52,,,,-29.32,15.4,,16.93,,,
2021-05-17,54.3,49.65,2.48,12.07,750183,,7.82,,,,-27.57,17.7,,16.33,,,
2021-05-18,49.8,52.65,6.04,0.3,575461,,13.96,,,,-23.19,23.5,,15.09,,,
2021-05-19,53.25,51.6,-1.99,1.14,479488,,17.81,,,,-24.73,22.9,,14.8,,,
2021-05-20,52.35,57.0,10.47,1.45,921795,,27.09,,,,-16.85,32.6,,13.43,,,
2021-05-21,54.75,51.45,-9.74,-3.95,679783,,6.19,,,,-24.95,28.6,,14.69,,,
2021-05-24,52.65,48.6,-5.54,2.33,423445,,-2.11,,,,-29.1,26.8,,15.14,,,
