date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-03-26,28.0,41.49,,,2586900,,,,,,0.0,,,60.81,,,
2021-03-29,37.28,34.01,-18.03,-10.15,482295,,,,,,-18.03,0.0,,71.0,,,
2021-03-30,32.01,29.52,-13.2,-5.88,557000,,,,,,-28.85,0.0,,77.43,,,
2021-03-31,30.0,29.9,1.29,1.63,402374,,,,,,-27.93,0.4,,71.62,,,
2021-04-01,30.25,29.75,-0.5,1.17,946897,,,,,,-28.3,0.4,,67.9,,,
2021-04-05,29.99,29.42,-1.11,0.81,170909,,-29.09,,,,-29.09,0.4,,63.9,,,
2021-04-06,29.04,29.78,1.22,-1.29,62861,,-12.44,,,,-28.22,0.9,,58.93,,,
2021-04-07,29.69,29.55,-0.77,-0.3,263358,,0.1,,,,-28.78,0.9,,55.65,,,
2021-04-08,29.55,29.36,-0.64,0.0,76287,,-1.81,,,,-29.24,0.9,,52.27,,,
2021-04-09,29.35,26.6,-9.4,-0.03,94907,,-10.59,,,,-35.89,0.8,,54.52,,,
2021-04-12,27.0,25.27,-5.0,1.5,87366,,-14.11,,,,-39.09,0.8,,54.08,,,
2021-04-13,25.05,23.1,-8.59,-0.87,244951,,-22.43,,,,-44.32,0.8,,55.73,,,
2021-04-14,23.32,23.18,0.35,0.95,87358,,-21.56,,,,-44.13,0.9,,52.33,,,
2021-04-15,23.05,23.7,2.24,-0.56,93338,,-19.28,,,,-42.88,1.9,,47.97,,,
2021-04-16,23.54,23.5,-0.84,-0.68,49940,,-11.65,,,,-43.36,1.9,,45.7,,,
2021-04-19,23.25,23.0,-2.13,-1.06,107984,,-8.98,,,,-44.56,1.9,,43.7,,,
2021-04-20,22.17,21.35,-7.17,-3.61,95157,,-7.58,,,,-48.54,1.8,,44.7,,,
2021-04-21,21.01,19.55,-8.43,-1.59,171366,,-15.66,,,,-52.88,1.7,,46.57,,,
2021-04-22,19.6,19.02,-2.71,0.26,333226,,-19.75,,,,-54.16,1.7,,45.08,,,
2021-04-23,19.01,19.27,1.31,-0.05,90789,0.26,-18.0,,,,-53.56,2.4,,41.76,,,-53.56
2021-04-26,19.23,20.38,5.76,-0.21,135297,0.59,-11.39,,,,-50.88,5.4,,37.32,,,-50.88
2021-04-27,20.3,21.37,4.86,-0.39,58850,0.28,0.09,-48.49,,,-48.49,8.2,5.96,33.58,,,-48.49
2021-04-28,20.96,22.69,6.18,-1.92,88171,0.48,16.06,-33.28,,,-45.31,11.8,5.19,30.06,,,-45.31
2021-04-29,22.78,24.8,9.3,0.4,105902,0.63,30.39,-15.99,,,-40.23,17.5,5.03,26.25,,,-40.23
2021-04-30,25.26,26.23,5.77,1.85,91656,0.73,36.12,-12.27,,,-36.78,21.2,5.21,23.45,,,-36.78
2021-05-03,26.15,27.47,4.73,-0.3,145240,1.17,34.79,-7.66,,,-33.79,24.4,5.33,21.38,,,-33.79
2021-05-04,27.15,27.04,-1.57,-1.16,130996,1.03,26.53,-8.09,,,-34.83,24.1,5.34,20.53,,,-34.83
2021-05-05,26.81,27.69,2.4,-0.85,89372,0.75,22.04,-7.02,,,-33.26,25.8,5.36,19.02,,,-33.26
2021-05-06,27.83,26.58,-4.01,0.51,131407,1.08,7.18,-10.05,,,-35.94,24.8,5.42,19.19,,,-35.94
2021-05-07,26.62,28.05,5.53,0.15,40822,0.34,6.94,-4.46,,,-32.39,29.0,5.57,17.27,,,-32.39
2021-05-10,28.1,28.31,0.93,0.18,119344,0.99,3.06,6.43,,,-31.77,29.7,5.15,16.38,,,-31.77
2021-05-11,26.69,26.38,-6.82,-5.72,33499,0.3,-2.44,4.39,,,-36.42,27.4,5.26,16.94,,,-36.42
2021-05-12,26.68,24.23,-8.15,1.12,24349,0.23,-12.5,4.89,,,-41.6,25.1,5.22,18.02,,,-41.6
2021-05-13,23.52,22.29,-8.01,-2.93,274196,2.37,-16.14,-3.84,,,-46.28,23.2,5.53,20.01,,,-46.28
2021-05-14,22.25,22.99,3.14,-0.18,191304,1.56,-18.04,-3.0,,,-44.59,25.4,5.55,19.0,,,-44.59
2021-05-17,22.71,23.36,1.61,-1.22,45148,0.38,-17.48,-0.6,,,-43.7,26.6,5.56,18.22,,,-43.7
2021-05-18,23.35,25.05,7.23,-0.04,77786,0.65,-5.04,8.91,,,-39.62,32.0,5.74,16.36,,,-39.62
2021-05-19,24.0,25.3,1.0,-4.19,84790,0.74,4.42,18.5,,,-39.02,32.8,5.46,15.81,,,-39.02
2021-05-20,25.43,26.78,5.85,0.51,98011,0.95,20.14,36.98,,,-35.45,37.4,5.11,14.41,,,-35.45
2021-05-21,26.79,27.22,1.64,0.04,71018,0.7,18.4,43.11,,,-34.39,38.8,5.01,13.85,,,-34.39
