date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,25.25,26.98,,,555900,,,,,,0.0,,,6.52,,,
2005-02-28,26.78,26.95,-0.11,-0.74,589500,,,,,,-0.11,0.0,,6.32,,,
2005-03-01,25.0,24.3,-9.83,-7.24,5200800,,,,,,-9.93,0.0,,8.26,,,
2005-03-02,24.2,23.27,-4.24,-0.41,1181600,,,,,,-13.75,0.0,,8.36,,,
2005-03-03,23.46,23.47,0.86,0.82,838700,,,,,,-13.01,5.3,,7.93,,,
2005-03-04,23.72,25.14,7.12,1.07,1087200,,-6.82,,,,-6.82,35.8,,7.36,,,
2005-03-07,25.44,25.22,0.32,1.19,647700,,-6.42,,,,-6.52,36.9,,7.06,,,
2005-03-08,25.22,24.01,-4.8,0.0,814800,,-1.19,,,,-11.01,29.1,,7.29,,,
2005-03-09,24.0,23.92,-0.37,-0.04,579600,,2.79,,,,-11.34,28.6,,6.93,,,
2005-03-10,23.92,24.16,1.0,0.0,694500,,2.94,,,,-10.45,31.9,,6.49,,,
2005-03-11,24.1,23.95,-0.87,-0.25,592200,,-4.73,,,,-11.23,30.6,,6.23,,,
2005-03-14,24.05,23.5,-1.88,0.42,570900,,-6.82,,,,-12.9,27.9,,6.13,,,
2005-03-15,23.6,23.83,1.4,0.43,626100,,-0.75,,,,-11.68,32.5,,5.93,,,
2005-03-16,23.84,23.67,-0.67,0.04,253300,,-1.05,,,,-12.27,31.5,,5.72,,,
2005-03-17,23.75,23.58,-0.38,0.34,569700,,-2.4,,,,-12.6,30.9,,5.41,,,
2005-03-18,23.6,23.92,1.44,0.08,455400,,-0.13,,,,-11.34,35.9,,5.1,,,
2005-03-21,23.92,24.03,0.46,0.0,247000,,2.26,,,,-10.93,37.5,,4.82,,,
2005-03-22,24.1,23.84,-0.79,0.29,273500,,0.04,,,,-11.64,35.8,,4.71,,,
2005-03-23,23.34,23.56,-1.17,-2.1,422600,,-0.46,,,,-12.68,33.5,,4.62,,,
2005-03-24,23.62,23.88,1.36,0.25,372600,0.45,1.27,,,,-11.49,38.4,,4.43,,,-11.49
2005-03-28,24.04,24.19,1.3,0.67,502700,0.61,1.13,,,,-10.34,42.8,,4.23,,,-10.34
2005-03-29,24.1,23.17,-4.22,-0.37,387800,0.48,-3.58,-14.12,,,-14.12,34.2,3.27,4.46,,,-14.12
2005-03-30,23.35,23.42,1.08,0.78,570000,0.98,-1.76,-13.1,,,-13.19,37.5,3.29,4.21,,,-13.19
2005-03-31,23.42,22.99,-1.84,0.0,920400,1.61,-2.42,-5.39,,,-14.79,34.3,2.54,4.2,,,-14.79
2005-04-01,23.16,23.19,0.87,0.74,425700,0.77,-2.89,-0.34,,,-14.05,37.0,2.38,4.19,,,-14.05
2005-04-04,23.19,22.98,-0.91,0.0,483300,0.93,-5.0,-2.09,,,-14.83,35.3,2.38,4.13,,,-14.83
2005-04-05,22.98,22.97,-0.04,0.0,278900,0.56,-0.86,-8.63,,,-14.86,35.3,1.72,3.95,,,-14.86
2005-04-06,23.02,22.99,0.09,0.22,353000,0.74,-1.84,-8.84,,,-14.79,35.6,1.72,3.79,,,-14.79
2005-04-07,22.98,22.99,0.0,-0.04,186700,0.41,0.0,-4.25,,,-14.79,35.6,1.39,3.62,,,-14.79
2005-04-08,23.0,22.84,-0.65,0.04,145300,0.34,-1.51,-4.52,,,-15.34,34.1,1.4,3.52,,,-15.34
2005-04-11,22.83,22.41,-1.88,-0.04,427600,1.01,-2.48,-7.24,,,-16.94,30.3,1.41,3.55,,,-16.94
2005-04-12,22.41,22.95,2.41,0.0,257800,0.63,-0.09,-4.18,,,-14.94,39.5,1.53,3.52,,,-14.94
2005-04-13,22.96,22.46,-2.14,0.04,319900,0.81,-2.31,-4.43,,,-16.75,35.0,1.55,3.54,,,-16.75
2005-04-14,22.46,22.04,-1.87,0.0,339600,0.86,-4.13,-7.51,,,-18.31,31.7,1.54,3.66,,,-18.31
2005-04-15,22.07,22.04,0.0,0.14,651000,1.62,-3.5,-6.89,,,-18.31,31.7,1.54,3.57,,,-18.31
2005-04-18,22.04,22.06,0.09,0.0,644100,1.57,-1.56,-6.45,,,-18.24,32.0,1.54,3.4,,,-18.24
2005-04-19,22.2,23.13,4.85,0.63,546800,1.29,0.78,-3.3,,,-14.27,47.7,1.88,3.36,,,-14.27
2005-04-20,23.13,23.23,0.43,0.0,841200,1.85,3.43,-3.33,,,-13.9,48.9,1.88,3.3,,,-13.9
2005-04-21,23.48,23.59,1.55,1.08,370300,0.82,7.03,-1.05,,,-12.56,53.1,1.91,3.19,,,-12.56
2005-04-22,23.59,23.0,-2.5,0.0,261800,0.59,4.36,-2.38,,,-14.75,46.4,1.97,3.26,,,-14.75
2005-04-25,23.2,23.83,3.61,0.87,309800,0.71,8.02,-0.21,,,-11.68,55.0,2.11,3.17,,,-11.68
2005-04-26,23.83,24.0,0.71,0.0,752000,1.66,3.76,-0.79,,,-11.05,56.5,2.09,3.24,,,-11.05
2005-04-27,23.8,23.78,-0.92,-0.83,398100,0.89,2.37,2.63,,,-11.86,53.9,1.87,3.27,,,-11.86
2005-04-28,23.56,23.32,-1.93,-0.93,374900,0.9,-1.14,-0.43,,,-13.57,49.0,1.91,3.27,,,-13.57
2005-04-29,23.4,23.26,-0.26,0.34,299200,0.73,1.13,1.17,,,-13.79,48.3,1.87,3.27,,,-13.79
2005-05-02,23.23,23.44,0.77,-0.13,183600,0.46,-1.64,1.08,,,-13.12,50.4,1.87,3.18,,,-13.12
2005-05-03,23.4,23.42,-0.09,-0.17,499400,1.22,-2.42,1.91,,,-13.19,50.1,1.85,3.07,,,-13.19
2005-05-04,23.43,23.92,2.13,0.04,392500,0.96,0.59,4.14,,,-11.34,55.8,1.91,3.05,,,-11.34
2005-05-05,23.88,24.93,4.22,-0.17,513200,1.2,6.9,8.44,,,-7.6,64.5,2.1,3.06,,,-7.6
2005-05-06,24.93,24.59,-1.36,0.0,452200,1.02,5.72,6.96,,,-8.86,60.2,2.13,3.16,3.99,,-8.86
2005-05-09,24.73,24.88,1.18,0.57,444100,1.0,6.14,8.93,,,-7.78,62.5,2.13,3.02,5.4,,-7.78
2005-05-10,24.78,24.79,-0.36,-0.4,140200,0.32,5.85,10.62,,,-8.12,61.3,2.07,2.93,5.22,,-8.12
2005-05-11,24.79,24.69,-0.4,0.0,351000,0.8,3.22,7.58,,,-8.49,60.0,2.03,2.83,4.76,,-8.49
2005-05-12,24.82,24.52,-0.69,0.53,281200,0.65,-1.64,9.17,,,-9.12,57.6,1.96,2.8,3.93,,-9.12
