date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2007-12-31,12.16,15.26,,,29670,,,,,,0.0,,,20.34,,,
2008-01-02,28.36,26.41,73.08,85.88,2288757,,,,,,0.0,,,14.89,,,
2008-01-03,26.11,28.77,8.93,-1.14,1495570,,,,,,8.93,,,13.66,,,
2008-01-04,28.36,28.57,-0.7,-1.41,1491684,,,,,,8.16,99.9,,13.39,,,
2008-01-07,29.53,27.34,-4.28,3.37,975903,,,,,,3.53,98.9,,13.77,,,
2008-01-08,25.9,25.93,-5.16,-5.27,1928454,,69.95,,,,-1.81,97.7,,14.56,,,
2008-01-09,25.32,26.09,0.62,-2.38,1326660,,-1.2,,,,-1.2,97.7,,13.88,,,
2008-01-10,24.89,25.06,-3.97,-4.63,1339591,,-12.9,,,,-5.12,96.8,,14.02,,,
2008-01-11,24.12,25.45,1.55,-3.72,418131,,-10.92,,,,-3.65,96.8,,13.44,,,
2008-01-14,25.53,24.47,-3.82,0.32,993792,,-10.49,,,,-7.33,95.8,,13.52,,,
2008-01-15,24.31,24.23,-0.99,-0.66,1489837,,-6.56,,,,-8.25,95.5,,13.29,,,
2008-01-16,23.91,23.91,-1.34,-1.34,656204,,-8.39,,,,-9.48,95.1,,12.74,,,
2008-01-17,24.29,23.47,-1.83,1.59,599303,,-6.34,,,,-11.14,94.6,,12.57,,,
2008-01-18,22.89,23.31,-0.69,-2.48,981316,,-8.41,,,,-11.75,94.3,,12.35,,,
2008-01-22,20.88,23.27,-0.14,-10.43,1616919,,-4.9,,,,-11.87,94.3,,12.46,,,
2008-01-23,23.5,23.34,0.28,0.98,424492,,-3.68,,,,-11.63,94.3,,12.03,,,
2008-01-24,23.5,23.79,1.95,0.69,675878,,-0.47,,,,-9.91,94.3,,11.19,,,
2008-01-25,23.91,24.32,2.21,0.47,612421,,3.63,,,,-7.92,94.4,,10.4,,,
2008-01-28,23.74,23.54,-3.2,-2.36,179140,,1.01,,,,-10.86,92.9,,10.3,,,
2008-01-29,23.5,22.91,-2.68,-0.17,468802,0.47,-1.57,,,,-13.26,91.7,,10.09,,,-20.37
2008-01-30,22.4,22.97,0.25,-2.23,559803,0.55,-1.6,,,,-13.04,91.7,,9.65,,,-20.17
2008-01-31,23.44,23.68,3.1,2.08,529253,0.56,-0.48,55.18,,,-10.34,91.8,16.36,9.07,,,-17.69
2008-02-01,24.24,25.16,6.26,2.36,319432,0.36,3.47,-4.73,,,-4.73,92.1,3.46,8.55,,,-12.53
2008-02-04,24.81,25.31,0.58,-1.38,697145,0.83,7.51,-12.03,,,-4.17,92.2,2.77,8.07,,,-12.03
2008-02-05,24.55,25.37,0.26,-2.98,423722,0.52,10.76,-11.18,,,-3.93,92.2,2.78,7.75,,,-11.8
2008-02-06,25.05,25.21,-0.64,-1.28,652638,0.87,9.78,-7.79,,,-4.54,91.7,2.64,7.42,,,-12.36
2008-02-07,25.12,25.06,-0.61,-0.35,241406,0.35,5.82,-3.37,,,-5.12,91.2,2.41,7.16,,,-12.9
2008-02-08,24.64,26.0,3.75,-1.65,569548,0.87,3.32,-0.37,,,-1.56,91.5,2.55,6.83,,,-9.63
2008-02-11,26.37,28.25,8.67,1.43,2883537,3.7,11.62,12.74,,,6.97,92.2,3.01,6.49,,,-1.8
2008-02-12,28.12,28.34,0.32,-0.46,486778,0.65,11.69,11.37,,,7.3,92.2,3.0,6.16,,,-1.49
2008-02-13,27.97,29.58,4.38,-1.32,1198489,1.62,17.33,20.86,,,12.0,92.6,2.94,6.04,,,0.0
2008-02-14,29.58,32.55,10.03,0.0,1303652,1.69,29.88,34.32,,,23.23,93.4,3.5,5.79,,,0.0
2008-02-15,31.76,32.54,-0.03,-2.42,1375652,1.7,25.15,36.1,,,23.2,93.3,3.46,5.74,,,-0.03
2008-02-19,31.04,30.8,-5.33,-4.61,548450,0.7,9.03,31.25,,,16.63,87.0,3.71,6.28,,,-5.36
2008-02-20,30.27,31.52,2.34,-1.74,488332,0.67,11.24,35.26,,,19.36,87.4,3.68,6.08,,,-3.14
2008-02-21,31.91,30.51,-3.21,1.23,738321,0.99,3.15,31.09,,,15.53,83.6,3.81,6.27,,,-6.25
2008-02-22,30.52,29.77,-2.42,0.03,538286,0.73,-8.52,27.57,,,12.73,80.9,3.89,6.35,,,-8.52
2008-02-25,29.93,30.19,1.41,0.54,449369,0.61,-7.2,26.9,,,14.33,81.2,3.89,6.16,,,-7.22
2008-02-26,30.02,31.68,4.91,-0.59,626830,0.83,2.84,30.26,,,19.94,82.5,3.97,5.97,,,-2.67
2008-02-27,32.11,31.4,-0.87,1.36,492114,0.65,-0.39,33.39,,,18.9,81.4,3.87,5.89,,,-3.51
2008-02-28,30.63,31.71,0.98,-2.45,409008,0.55,3.93,38.42,,,20.07,81.7,3.75,5.71,,,-2.57
2008-02-29,31.01,32.46,2.38,-2.2,1718087,2.13,9.04,41.36,,,22.92,82.5,3.74,5.8,,,-0.25
2008-03-03,32.43,31.34,-3.47,-0.1,1088778,1.29,3.79,32.34,,,18.66,77.4,3.89,6.01,,,-3.71
2008-03-04,31.13,31.32,-0.05,-0.67,186638,0.23,-1.12,24.48,,,18.6,77.3,3.74,5.76,,,-3.76
2008-03-05,31.05,31.33,0.03,-0.86,687589,0.82,-0.23,23.79,,,18.63,77.3,3.75,5.5,,,-3.74
2008-03-06,31.05,31.09,-0.75,-0.91,224552,0.28,-1.94,22.55,,,17.74,76.1,3.76,5.37,,,-4.46
2008-03-07,30.8,31.36,0.86,-0.94,487911,0.59,-3.4,24.39,,,18.75,76.5,3.74,5.17,,,-3.64
2008-03-10,31.61,29.7,-5.3,0.78,492480,0.6,-5.22,18.53,,,12.46,67.9,3.98,5.58,,,-8.74
2008-03-11,29.66,28.34,-4.58,-0.13,2857410,3.48,-9.52,9.01,,,7.3,61.7,4.1,6.12,,,-12.92
2008-03-12,28.34,28.36,0.06,0.0,185309,0.23,-9.49,0.37,,,7.36,61.8,3.64,5.97,4.07,,-12.87
2008-03-13,27.41,27.72,-2.23,-3.32,378268,0.5,-10.84,-2.17,,,4.97,58.9,3.68,6.11,0.83,,-14.82
2008-03-14,28.02,27.03,-2.51,1.05,316167,0.44,-13.82,-8.63,,,2.33,55.8,3.57,6.2,-1.75,,-16.96
2008-03-17,26.18,26.14,-3.27,-3.15,1051279,1.51,-11.98,-19.67,,,-1.01,52.1,2.71,6.37,-4.78,,-19.67
2008-03-18,26.01,25.48,-2.54,-0.5,555372,0.79,-10.1,-21.69,,,-3.53,49.4,2.72,6.45,-6.99,,-21.71
2008-03-19,25.19,24.17,-5.12,-1.15,1043817,1.44,-14.75,-21.52,,,-8.47,44.6,2.7,6.8,-11.55,,-25.72
2008-03-20,23.7,25.15,4.06,-1.94,812040,1.11,-9.27,-20.21,,,-4.76,48.6,2.84,6.48,-7.91,,-22.71
2008-03-24,24.93,24.43,-2.87,-0.9,1099384,1.45,-9.59,-19.92,,,-7.49,46.0,2.82,6.59,-10.44,,-24.93
2008-03-25,24.62,24.75,1.29,0.76,349561,0.46,-5.33,-16.87,,,-6.29,47.3,2.85,6.31,-9.26,,-23.95
2008-03-26,24.81,24.64,-0.46,0.26,255723,0.35,-3.31,-18.41,,,-6.72,46.9,2.8,6.05,-9.63,,-24.3
2008-03-27,24.88,24.1,-2.17,0.99,1292384,1.67,-0.3,-23.92,,,-8.75,44.7,2.47,6.07,-11.57,,-25.95
2008-03-28,24.53,24.46,1.51,1.78,949881,1.18,-2.74,-22.09,,,-7.36,46.5,2.54,5.75,-10.24,,-24.83
2008-03-31,24.25,23.94,-2.15,-0.9,475711,0.64,-2.03,-24.51,,,-9.36,44.2,2.5,5.72,-12.18,,-26.45
2008-04-01,23.78,24.46,2.2,-0.64,271819,0.39,-1.15,-24.64,,,-7.36,47.0,2.49,5.52,-10.31,,-24.83
2008-04-02,24.65,24.66,0.8,0.76,472179,0.66,0.1,-21.31,61.61,,-6.63,48.1,2.48,5.3,-9.68,,-24.23
2008-04-03,24.72,25.48,3.32,0.26,1038818,1.42,5.72,-18.66,-3.53,,-3.53,52.3,2.66,5.26,-6.84,,-21.71
2008-04-04,25.32,25.31,-0.67,-0.64,276462,0.38,3.45,-19.22,-12.03,,-4.17,51.4,2.65,5.08,-7.59,,-22.24
2008-04-07,25.12,24.79,-2.05,-0.73,291588,0.4,3.56,-20.28,-13.22,,-6.14,48.5,2.66,4.98,-9.55,,-23.83
2008-04-08,24.36,24.14,-2.61,-1.73,417980,0.58,-1.32,-23.02,-11.71,,-8.59,45.1,2.64,5.08,-11.91,,-25.82
2008-04-09,23.86,23.19,-3.93,-1.14,399125,0.67,-5.95,-21.91,-10.56,,-12.18,40.7,2.55,5.27,-15.35,,-28.74
2008-04-10,23.12,23.21,0.07,-0.31,760861,1.22,-8.91,-18.1,-11.06,,-12.12,40.8,2.44,5.11,-15.31,,-28.69
2008-04-11,22.89,22.99,-0.94,-1.36,541326,0.85,-9.16,-18.92,-8.25,,-12.95,39.7,2.42,4.97,-16.11,,-29.36
2008-04-14,22.89,23.04,0.21,-0.42,157467,0.25,-7.06,-16.9,-9.46,,-12.76,40.1,2.42,4.83,-15.89,,-29.21
2008-04-15,23.04,22.93,-0.49,0.0,181452,0.31,-5.04,-15.17,-6.33,,-13.2,39.5,2.39,4.72,-16.17,,-29.56
2008-04-16,22.98,23.14,0.92,0.25,287607,0.51,-0.25,-11.5,-4.52,,-12.4,41.3,2.34,4.55,-15.26,,-28.91
2008-04-17,22.9,23.7,2.45,-1.02,321372,0.6,2.13,-6.97,-0.85,,-10.25,45.9,2.39,4.38,-13.08,,-27.17
2008-04-18,23.62,24.0,1.27,-0.34,324834,0.64,4.41,-0.7,2.28,,-9.11,48.2,2.14,4.31,-11.9,,-26.25
2008-04-21,23.7,23.93,-0.3,-1.28,435281,0.92,3.87,-4.87,2.68,,-9.39,47.7,1.92,4.17,-12.09,,-26.47
2008-04-22,23.6,23.1,-3.49,-1.39,225783,0.48,0.75,-5.47,-0.76,,-12.55,41.9,1.97,4.28,-14.98,,-29.03
