date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2015-11-05,2669.52,2766.54,,,176,,,,,,0.0,,,8.61,,,
2015-11-06,2837.1,2766.54,0.0,2.55,113,,,,,,0.0,,,8.36,,,
2015-11-09,2748.9,2754.78,-0.43,-0.64,183,,,,,,-0.43,0.0,,8.23,,,
2015-11-10,2666.58,2710.68,-1.6,-3.2,27,,,,,,-2.02,0.0,,8.07,,,
2015-11-11,2648.94,2381.4,-12.15,-2.28,77,,,,,,-13.92,0.0,,9.61,,,
2015-11-12,2352.0,2346.12,-1.48,-1.23,108,,-15.2,,,,-15.2,0.0,,10.05,,,
2015-11-13,2349.06,2278.5,-2.88,0.13,93,,-17.64,,,,-17.64,0.0,,9.98,,,
2015-11-16,2278.5,2225.58,-2.32,0.0,21,,-19.21,,,,-19.55,0.0,,9.72,,,
2015-11-17,2207.94,2205.0,-0.92,-0.79,57,,-18.66,,,,-20.3,0.0,,9.59,,,
2015-11-18,2205.0,2160.9,-2.0,0.0,42,,-9.26,,,,-21.89,0.0,,9.56,,,
2015-11-19,2193.24,2219.7,2.72,1.5,96,,-5.39,,,,-19.77,12.3,,8.97,,,
2015-11-20,2210.88,2237.34,0.79,-0.4,68,,-1.81,,,,-19.13,15.6,,8.82,,,
2015-11-23,2269.68,2199.12,-1.71,1.45,53,,-1.19,,,,-20.51,14.4,,8.99,,,
2015-11-24,2269.68,2172.66,-1.2,3.21,49,,-1.47,,,,-21.47,13.5,,8.9,,,
2015-11-25,2175.6,2363.76,8.8,0.14,69,,9.39,,,,-14.56,40.3,,8.36,,,
2015-11-27,2363.76,2587.2,9.45,0.0,67,,16.56,,,,-6.48,57.0,,7.87,,,
2015-11-30,2646.0,2572.5,-0.57,2.27,107,,14.98,,,,-7.01,55.9,,7.68,,,
2015-12-01,2578.38,2473.52,-3.85,0.23,36,,12.48,,,,-10.59,49.0,,8.12,,,
2015-12-02,2454.9,2325.61,-5.98,-0.75,74,,7.04,,,,-15.94,40.8,,8.62,,,
2015-12-03,2410.8,2322.04,-0.15,3.66,33,0.43,-1.76,,,,-16.07,40.7,,8.57,,,-16.07
2015-12-04,2352.0,2322.6,0.02,1.29,50,0.7,-10.23,,,,-16.05,40.7,,8.19,,,-16.05
2015-12-07,2354.94,2528.4,8.86,1.39,114,1.59,-1.71,-8.61,,,-8.61,53.9,4.89,7.64,,,-8.61
2015-12-08,2443.14,2551.92,0.93,-3.37,66,1.02,3.17,-7.76,,,-7.76,55.2,4.89,7.63,,,-7.76
2015-12-09,2469.6,2457.84,-3.69,-3.23,35,0.54,5.69,-10.78,,,-11.16,49.5,4.95,7.79,,,-11.16
2015-12-10,2422.56,2519.58,2.51,-1.44,27,0.43,8.51,-7.05,,,-8.93,52.9,4.98,7.39,,,-8.93
2015-12-11,2437.26,2484.3,-1.4,-3.27,63,1.04,6.96,4.32,,,-10.2,50.8,4.19,7.38,,,-10.2
2015-12-14,2457.84,2396.1,-3.55,-1.07,53,0.89,-5.23,2.13,,,-13.39,45.8,4.25,7.68,,,-13.39
2015-12-15,2431.38,2354.94,-1.72,1.47,48,0.79,-7.72,3.35,,,-14.88,43.7,4.22,7.7,,,-14.88
2015-12-16,2352.0,2290.26,-2.75,-0.12,111,1.76,-6.82,2.91,,,-17.22,40.5,4.23,7.73,,,-17.22
2015-12-17,2210.88,2225.58,-2.82,-3.47,100,1.51,-11.67,0.93,,,-19.55,37.5,4.28,7.89,,,-19.55
2015-12-18,2237.34,2084.46,-6.34,0.53,176,2.51,-16.09,-3.54,,,-24.65,32.0,4.49,8.54,,,-24.65
2015-12-21,2160.9,2169.72,4.09,3.67,94,1.32,-9.45,-2.25,,,-21.57,37.9,4.54,7.95,,,-21.57
2015-12-22,2119.74,2128.56,-1.9,-2.3,135,1.79,-9.61,-4.86,,,-23.06,36.3,4.55,8.06,,,-23.06
2015-12-23,2078.58,2102.1,-1.24,-2.35,56,0.75,-8.22,-4.41,,,-24.02,35.2,4.55,8.33,,,-24.02
2015-12-24,2152.08,2096.22,-0.28,2.38,11,0.15,-5.81,-3.52,,,-24.23,35.0,4.54,8.02,,,-24.23
2015-12-28,2090.34,1966.86,-6.17,-0.28,163,2.1,-5.64,-16.79,,,-28.91,30.1,4.24,8.98,,,-28.91
2015-12-29,1972.74,1978.62,0.6,0.3,40,0.55,-8.81,-23.52,,,-28.48,31.0,3.56,8.59,,,-28.48
2015-12-30,1969.8,1919.82,-2.97,-0.45,117,1.49,-9.81,-25.37,,,-30.61,28.9,3.57,8.76,,,-30.61
2015-12-31,1955.1,1908.06,-0.61,1.84,65,0.84,-9.23,-22.86,,,-31.03,28.5,3.53,8.57,,,-31.03
2016-01-04,1919.82,1928.64,1.08,0.62,36,0.47,-7.99,-17.07,,,0.0,30.4,3.38,8.3,,,-30.29
2016-01-05,1940.4,1896.3,-1.68,0.61,76,0.96,-3.59,-18.33,,,-1.68,29.1,3.38,8.06,,,-31.46
2016-01-06,1881.6,1840.44,-2.95,-0.78,43,0.57,-6.98,-20.76,,,-4.57,26.9,3.4,8.1,,,-33.48
2016-01-07,1858.08,1872.43,1.74,0.96,52,0.69,-2.47,-25.94,,,-2.91,30.1,2.64,7.65,,,-32.32
2016-01-08,1866.9,1764.0,-5.79,-0.3,34,0.45,-7.55,-30.88,,,-8.54,26.0,2.75,8.15,,,-36.24
