date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2012-03-30,7.5,7.34,,,5049113,,,,,,0.0,,,16.08,,,
2012-04-02,7.65,7.81,6.4,4.22,495411,,,,,,6.4,,,14.82,,,
2012-04-03,7.75,7.64,-2.18,-0.77,316629,,,,,,4.09,97.3,,14.35,,,
2012-04-04,7.77,7.45,-2.49,1.7,165098,,,,,,1.5,94.2,,14.11,,,
2012-04-05,7.48,7.41,-0.54,0.4,82164,,,,,,0.95,93.6,,13.35,,,
2012-04-09,7.89,6.98,-5.8,6.48,118878,,-4.9,,,,-4.9,86.4,,14.46,,,
2012-04-10,7.09,7.07,1.29,1.58,247217,,-9.48,,,,-3.68,86.7,,13.51,,,
2012-04-11,7.25,7.13,0.85,2.55,161810,,-6.68,,,,-2.86,86.8,,12.97,,,
2012-04-12,7.56,7.3,2.38,6.03,41686,,-2.01,,,,-0.54,87.3,,12.24,,,
2012-04-13,7.69,7.1,-2.74,5.34,92175,,-4.18,,,,-3.27,83.6,,12.38,,,
2012-04-16,7.15,7.16,0.85,0.7,71086,,2.58,,,,-2.45,83.8,,11.83,,,
2012-04-17,7.15,7.0,-2.23,-0.14,108533,,-0.99,,,,-4.63,80.6,,11.6,,,
2012-04-18,6.96,7.29,4.14,-0.57,54240,,2.24,,,,-0.68,82.0,,10.81,,,
2012-04-19,7.21,7.04,-3.43,-1.1,23093,,-3.56,,,,-4.09,77.1,,10.69,,,
2012-04-20,7.05,7.02,-0.28,0.14,32403,,-1.13,,,,-4.36,76.7,,10.13,,,
2012-04-23,7.0,6.98,-0.57,-0.28,15577,,-2.51,,,,-4.9,75.9,,9.82,,,
2012-04-24,7.09,6.91,-1.0,1.58,86002,,-1.29,,,,-5.86,74.3,,9.5,,,
2012-04-25,6.94,6.88,-0.43,0.43,21363,,-5.62,,,,-6.27,73.6,,8.98,,,
2012-04-26,6.9,6.86,-0.29,0.29,14997,,-2.56,,,,-6.54,73.2,,8.47,,,
2012-04-27,6.84,6.75,-1.6,-0.29,24107,0.07,-3.85,,,,-8.04,70.4,,8.11,,,-13.57
2012-04-30,7.2,7.28,7.85,6.67,259773,2.14,4.3,,,,-0.82,75.2,,7.67,,,-6.79
2012-05-01,7.5,7.92,8.79,3.02,362394,3.15,14.62,7.9,,,7.9,79.6,3.71,7.38,,,0.0
2012-05-02,8.0,8.0,1.01,1.01,65625,0.64,16.28,2.43,,,8.99,80.0,3.45,7.0,,,0.0
2012-05-03,8.09,8.82,10.25,1.12,280020,2.59,28.57,15.45,,,20.16,84.1,4.05,7.21,,,0.0
2012-05-04,8.79,8.36,-5.22,-0.34,171009,1.52,23.85,12.21,,,13.9,74.9,4.2,8.67,,,-5.22
2012-05-07,8.37,8.34,-0.24,0.12,90550,0.81,14.56,12.55,,,13.62,74.5,4.19,8.64,,,-5.44
2012-05-08,8.3,8.48,1.68,-0.48,87228,0.85,7.07,21.49,,,15.53,75.5,3.93,8.46,,,-3.85
2012-05-09,8.61,8.65,2.0,1.53,124250,1.23,8.13,22.35,,,17.85,76.6,3.93,8.25,,,-1.93
2012-05-10,8.94,8.6,-0.58,3.35,80737,0.78,-2.49,20.62,,,17.17,75.5,3.95,8.24,,,-2.49
2012-05-11,8.74,8.43,-1.98,1.63,40820,0.41,0.84,15.48,,,14.85,71.7,3.98,8.12,,,-4.42
2012-05-14,8.4,8.22,-2.49,-0.36,86335,0.85,-1.44,15.77,,,11.99,67.3,3.97,8.21,,,-6.8
2012-05-15,8.27,8.4,2.19,0.61,21612,0.22,-0.94,17.32,,,14.44,69.0,3.99,7.72,,,-4.76
2012-05-16,8.33,8.32,-0.95,-0.83,17152,0.18,-3.82,18.86,,,13.35,67.3,3.95,7.5,,,-5.67
2012-05-17,8.41,8.41,1.08,1.08,39646,0.41,-2.21,15.36,,,14.58,68.3,3.88,7.16,,,-4.65
2012-05-18,8.32,7.99,-4.99,-1.07,40544,0.42,-5.22,13.49,,,8.86,59.4,3.97,7.59,,,-9.41
2012-05-21,8.06,8.1,1.38,0.88,58389,0.59,-1.46,15.38,,,10.35,60.8,3.97,7.32,,,-8.16
2012-05-22,8.49,7.99,-1.36,4.81,33171,0.35,-4.88,14.47,,,8.86,58.6,3.99,7.5,,,-9.41
2012-05-23,8.34,7.9,-1.13,4.38,32246,0.33,-5.05,14.33,,,7.63,56.7,3.99,7.58,,,-10.43
2012-05-24,7.64,7.84,-0.76,-3.29,29670,0.31,-6.78,13.95,,,6.81,55.5,4.0,7.36,,,-11.11
2012-05-25,7.82,7.79,-0.64,-0.26,34409,0.35,-2.5,13.56,,,6.13,54.4,4.0,7.03,,,-11.68
2012-05-29,7.7,7.8,0.13,-1.16,32318,0.37,-3.7,15.56,,,6.27,54.6,3.97,6.86,,,-11.56
2012-05-30,7.79,7.01,-10.13,-0.13,69653,0.97,-12.27,-3.71,,,-4.5,40.3,4.29,7.91,,,-20.52
