date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2005-02-25,12.58,13.03,,,27301,,,,,,0.0,,,3.68,,,
2005-02-28,13.03,13.13,0.69,0.0,35997,,,,,,0.69,,,3.57,,,
2005-03-01,13.08,13.08,-0.35,-0.35,28400,,,,,,0.34,96.3,,3.4,,,
2005-03-02,13.02,13.22,1.06,-0.49,229294,,,,,,1.41,96.7,,3.28,,,
2005-03-03,13.27,12.76,-3.48,0.36,25978,,,,,,-2.12,69.6,,3.46,,,
2005-03-04,12.75,12.78,0.16,-0.11,49208,,-1.96,,,,-1.96,70.0,,3.28,,,
2005-03-07,12.82,12.67,-0.83,0.3,10014,,-3.45,,,,-2.78,65.2,,3.22,,,
2005-03-08,12.67,12.6,-0.57,0.0,22786,,-3.66,,,,-3.33,62.0,,3.06,,,
2005-03-09,12.58,12.32,-2.22,-0.15,20917,,-6.79,,,,-5.48,51.6,,3.12,,,
2005-03-10,12.28,12.54,1.76,-0.31,105233,,-1.74,,,,-3.82,57.5,,3.02,,,
2005-03-11,12.46,12.67,1.08,-0.58,77384,,-0.83,,,,-2.78,60.8,,3.04,,,
2005-03-14,12.7,12.74,0.5,0.23,41055,,0.5,,,,-2.29,62.2,,2.9,,,
2005-03-15,12.68,12.5,-1.85,-0.43,6274,,-0.8,,,,-4.1,54.2,,2.89,,,
2005-03-16,12.47,12.37,-1.02,-0.22,12879,,0.43,,,,-5.08,50.4,,2.79,,,
2005-03-17,12.41,12.55,1.39,0.3,17283,,0.07,,,,-3.75,55.0,,2.71,,,
2005-03-18,12.64,12.72,1.37,0.74,60652,,0.35,,,,-2.44,59.1,,2.62,,,
2005-03-21,12.54,12.05,-5.27,-1.42,23343,,-5.41,,,,-7.58,42.8,,2.98,,,
2005-03-22,11.99,11.08,-7.99,-0.45,75734,,-11.33,,,,-14.97,30.1,,3.71,,,
2005-03-23,11.04,10.99,-0.89,-0.39,40730,,-11.21,,,,-15.72,29.1,,3.59,,,
2005-03-24,11.03,11.04,0.51,0.42,11999,0.26,-11.99,,,,-15.29,30.5,,3.41,,,-16.47
2005-03-28,11.06,11.25,1.93,0.14,16071,0.35,-11.5,,,,-13.66,35.5,,3.25,,,-14.86
2005-03-29,11.22,11.13,-1.14,-0.34,25320,0.56,-7.64,-14.64,,,-14.64,33.9,2.44,3.19,,,-15.82
2005-03-30,11.22,11.66,4.82,0.8,18600,0.42,5.22,-11.14,,,-10.53,45.0,2.71,3.16,,,-11.77
2005-03-31,11.72,11.9,2.05,0.46,63736,1.76,8.34,-9.0,,,-8.69,49.1,2.77,3.16,,,-9.96
2005-04-01,11.92,11.62,-2.38,0.15,48984,1.31,5.23,-12.1,,,-10.86,44.9,2.78,3.36,,,-12.1
2005-04-04,11.6,11.69,0.61,-0.15,25870,0.71,3.86,-8.38,,,-10.32,46.1,2.71,3.18,,,-11.57
2005-04-05,11.64,11.56,-1.07,-0.39,27077,0.73,3.93,-9.5,,,-11.28,44.2,2.71,3.13,,,-12.51
2005-04-06,11.47,11.54,-0.24,-0.77,27519,0.74,-1.08,-8.97,,,-11.49,43.8,2.71,3.04,,,-12.72
2005-04-07,11.49,11.41,-1.08,-0.36,12219,0.33,-4.12,-9.43,,,-12.45,41.8,2.71,2.97,,,-13.67
2005-04-08,11.35,11.13,-2.5,-0.57,40730,1.21,-4.24,-9.69,,,-14.64,37.5,2.72,3.07,,,-15.82
2005-04-11,11.04,11.1,-0.25,-0.77,25209,0.81,-5.05,-11.47,,,-14.85,37.2,2.68,2.97,,,-16.03
2005-04-12,11.08,10.76,-3.04,-0.13,25870,0.85,-6.94,-15.08,,,-17.44,32.7,2.7,3.28,,,-18.59
2005-04-13,10.76,10.69,-0.64,0.0,256816,6.0,-7.31,-16.04,,,-17.96,31.8,2.69,3.24,,,-19.1
2005-04-14,10.73,10.56,-1.27,0.38,347192,5.83,-7.49,-15.54,,,-19.01,30.2,2.68,3.32,,,-20.13
2005-04-15,10.57,10.0,-5.24,0.09,21905,0.37,-10.09,-19.15,,,-23.25,24.6,2.85,3.66,,,-24.32
2005-04-18,10.05,9.93,-0.74,0.44,280375,3.96,-10.54,-20.86,,,-23.83,23.9,2.8,3.66,,,-24.88
2005-04-19,9.98,9.82,-1.1,0.48,30822,0.43,-8.75,-22.78,,,-24.66,23.0,2.75,3.82,,,-25.71
2005-04-20,9.81,9.38,-4.44,-0.09,29501,0.43,-12.24,-22.1,,,-28.01,19.6,2.69,4.04,,,-29.01
2005-04-21,9.38,9.75,3.88,0.0,17063,0.25,-7.66,-12.05,,,-25.21,29.0,2.41,3.9,,,-26.25
2005-04-22,9.72,8.4,-13.8,-0.28,242616,3.06,-16.0,-23.51,,,-35.53,19.8,3.76,5.47,,,-36.43
2005-04-25,8.4,8.41,0.11,0.0,24217,0.3,-15.28,-23.81,,,-35.46,20.0,3.75,5.26,,,-36.36
2005-04-26,8.45,9.11,8.33,0.43,73205,0.89,-7.2,-19.03,,,-30.09,32.8,4.25,5.27,,,-31.06
2005-04-27,9.14,9.21,1.09,0.29,28730,0.35,-1.84,-17.21,,,-29.33,34.4,4.27,5.05,,,-30.31
2005-04-28,9.09,8.63,-6.31,-1.37,580121,5.36,-11.47,-26.0,,,-33.79,29.9,4.23,5.49,,,-34.71
2005-04-29,8.58,8.57,-0.74,-0.52,36218,0.34,1.95,-28.02,,,-34.28,29.4,4.16,5.32,,,-35.19
2005-05-02,8.6,8.24,-3.82,0.42,15742,0.15,-2.05,-29.08,,,-36.79,27.2,4.19,5.65,,,-37.66
2005-05-03,8.27,8.28,0.55,0.33,26419,0.25,-9.08,-29.12,,,-36.44,28.0,4.19,5.3,,,-37.32
2005-05-04,8.27,8.2,-0.98,-0.22,83220,0.76,-10.95,-29.06,,,-37.07,27.4,4.19,5.1,,,-37.94
2005-05-05,8.19,8.29,1.1,-0.11,423365,3.24,-3.9,-28.11,,,-36.37,29.2,4.22,4.79,,,-37.26
2005-05-06,8.33,8.49,2.41,0.44,55589,0.42,-0.85,-25.57,,,-34.84,33.2,4.3,4.59,-22.72,,-35.74
