date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2021-01-06,13.48,12.75,,,21143,,,,,,0.0,,,15.37,,,
2021-01-07,13.02,13.93,9.25,2.12,20545,,,,,,9.25,,,13.88,,,
2021-01-08,18.88,13.7,-1.65,35.53,102388,,,,,,7.45,98.5,,16.65,,,
2021-01-11,13.26,12.67,-7.52,-3.21,128556,,,,,,-0.63,92.0,,17.82,,,
2021-01-12,12.75,13.78,8.76,0.63,218082,,,,,,8.08,92.5,,17.85,,,
2021-01-13,13.93,13.38,-2.9,1.09,170903,,4.94,,,,4.94,90.0,,17.79,,,
2021-01-14,13.63,13.6,1.64,1.87,371451,,-2.37,,,,6.67,90.2,,16.87,,,
2021-01-15,13.88,13.79,1.4,2.06,91692,,0.66,,,,8.16,90.3,,15.87,,,
2021-01-19,14.0,14.4,4.42,1.52,79151,,13.65,,,,12.94,90.8,,14.55,,,
2021-01-20,14.35,14.39,-0.07,-0.35,76726,,4.43,,,,12.86,90.7,,14.04,,,
2021-01-21,14.68,14.5,0.76,2.02,151859,,8.37,,,,13.73,90.8,,13.6,,,
2021-01-22,15.57,15.0,3.45,7.38,166916,,10.29,,,,17.65,91.2,,12.73,,,
2021-01-25,15.0,13.95,-7.0,0.0,120607,,1.16,,,,9.41,82.6,,13.53,,,
2021-01-26,14.05,13.04,-6.52,0.72,187598,,-9.44,,,,2.27,76.0,,14.64,,,
2021-01-27,12.94,12.5,-4.14,-0.77,243172,,-13.13,,,,-1.96,72.2,,14.79,,,
2021-01-28,12.32,12.67,1.36,-1.44,134392,,-12.62,,,,-0.63,72.7,,14.01,,,
2021-01-29,12.89,13.57,7.1,1.74,84615,,-9.53,,,,6.43,75.0,,12.81,,,
2021-02-01,13.64,14.26,5.08,0.52,72952,,2.22,,,,11.84,76.7,,11.87,,,
2021-02-02,14.58,14.78,3.65,2.24,73645,,13.34,,,,15.92,77.8,,11.01,,,
2021-02-03,15.25,15.75,6.56,3.18,112353,0.85,26.0,,,,23.53,79.9,,10.37,,,0.0
2021-02-04,15.85,15.55,-1.27,0.63,34498,0.26,22.73,,,,21.96,78.3,,10.06,,,-1.27
2021-02-05,15.55,15.98,2.77,0.0,71001,0.53,17.76,25.33,,,25.33,79.3,4.95,9.54,,,0.0
2021-02-08,16.0,16.67,4.32,0.13,76149,0.57,16.9,19.67,,,30.75,80.7,4.65,9.23,,,0.0
2021-02-09,16.73,16.57,-0.63,0.36,31746,0.25,12.08,20.91,,,29.92,79.8,4.63,8.97,,,-0.63
2021-02-10,16.38,16.13,-2.63,-1.12,78179,0.64,2.41,27.31,,,26.51,75.9,4.29,9.18,,,-3.24
2021-02-11,15.93,15.95,-1.12,-1.24,86728,0.74,2.57,15.75,,,25.1,74.3,3.95,9.23,,,-4.32
2021-02-12,16.0,15.75,-1.25,0.31,223444,2.03,-1.44,17.71,,,23.53,72.4,3.89,9.21,,,-5.52
2021-02-16,16.0,16.0,1.59,1.59,52498,0.49,-4.02,17.65,,,25.49,73.3,3.89,9.16,,,-4.02
