date,open,close,chg_pct,gap_pct,vol,relvol,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,rsi14,volatility_1m,atr14_pct,dist_sma50,dist_sma200,pct_52wh
2020-06-04,10.0,9.72,,,606752,,,,,,0.0,,,3.09,,,
2020-06-08,9.75,9.75,0.31,0.31,25104,,,,,,0.31,,,2.88,,,
2020-06-09,9.75,9.73,-0.21,0.0,158697,,,,,,0.1,95.1,,2.73,,,
2020-06-10,9.75,9.75,0.21,0.21,194596,,,,,,0.31,95.4,,2.54,,,
2020-06-11,9.76,9.76,0.1,0.1,229,,,,,,0.41,95.5,,2.37,,,
2020-06-15,9.75,9.75,-0.1,-0.1,100185,,0.31,,,,0.31,92.9,,2.21,,,
2020-06-16,9.87,9.87,1.23,1.23,131,,1.23,,,,1.54,94.7,,2.11,,,
2020-06-19,9.95,9.81,-0.61,0.81,612,,0.82,,,,0.93,83.0,,2.08,,,
2020-06-22,9.86,9.83,0.2,0.51,7801,,0.82,,,,1.13,83.8,,2.01,,,
2020-06-23,10.03,9.85,0.2,2.03,20065,,0.92,,,,1.34,84.5,,2.03,,,
2020-06-24,9.86,11.4,15.74,0.1,3883278,,16.92,,,,17.28,96.7,,2.76,,,
2020-06-25,11.8,10.9,-4.39,3.51,1113782,,10.44,,,,12.14,76.0,,3.44,,,
2020-06-26,10.97,10.62,-2.57,0.64,542560,,8.26,,,,9.26,67.3,,3.56,,,
2020-06-29,11.0,11.12,4.71,3.58,713572,,13.12,,,,14.4,73.2,,3.61,,,
2020-06-30,11.4,10.73,-3.51,2.52,975453,,8.93,,,,10.39,63.5,,4.03,,,
2020-07-01,10.91,10.86,1.21,1.68,176017,,-4.74,,,,11.73,65.2,,4.0,,,
2020-07-02,11.07,11.05,1.75,1.93,598561,,1.38,,,,13.68,67.5,,3.88,,,
2020-07-06,11.2,11.05,0.0,1.36,452116,,4.05,,,,13.68,67.5,,3.87,,,
2020-07-07,11.12,10.82,-2.08,0.63,265122,,-2.7,,,,11.32,61.7,,4.04,,,
2020-07-08,10.92,10.7,-1.11,0.92,160379,0.32,-0.28,,,,10.08,58.9,,4.05,,,-6.14
2020-07-09,10.81,11.0,2.8,1.03,219519,0.46,1.29,,,,13.17,63.4,,3.9,,,-3.51
2020-07-10,11.11,10.99,-0.09,1.0,236426,0.48,-0.54,13.07,,,13.07,63.2,3.99,3.77,,,-3.6
2020-07-13,11.05,10.85,-1.27,0.55,374770,0.75,-1.81,11.28,,,11.63,59.7,4.02,3.79,,,-4.82
2020-07-14,10.78,10.6,-2.3,-0.65,252138,0.5,-2.03,8.94,,,9.05,53.9,4.06,3.87,,,-7.02
2020-07-15,10.52,10.68,0.75,-0.75,166288,0.32,-0.19,9.54,,,9.88,55.4,4.06,3.76,,,-6.32
2020-07-16,10.58,10.65,-0.28,-0.94,37958,0.07,-3.18,9.12,,,9.57,54.7,4.06,3.66,,,-6.58
2020-07-17,10.6,10.6,-0.47,-0.47,89583,0.17,-3.55,8.72,,,9.05,53.4,4.07,3.61,,,-7.02
2020-07-20,10.7,10.62,0.19,0.94,48518,0.09,-2.12,7.6,,,9.26,53.9,4.06,3.45,,,-6.84
2020-07-21,10.84,10.55,-0.66,2.07,70115,0.13,-0.47,7.54,,,8.54,52.0,4.07,3.47,,,-7.46
2020-07-22,10.5,10.5,-0.47,-0.47,59847,0.11,-1.69,6.82,,,8.02,50.6,4.07,3.38,,,-7.89
2020-07-23,10.45,10.36,-1.33,-0.48,284791,0.83,-2.72,5.18,,,6.58,46.9,4.09,3.42,,,-9.12
2020-07-24,10.44,10.35,-0.1,0.77,213571,0.72,-2.36,-9.21,,,6.48,46.6,2.06,3.28,,,-9.21
2020-07-27,10.65,10.45,0.97,2.9,48813,0.18,-1.6,-4.13,,,7.51,49.7,1.86,3.34,,,-8.33
2020-07-28,10.35,10.4,-0.48,-0.96,447974,1.73,-1.42,-2.07,,,7.0,48.2,1.78,3.26,,,-8.77
2020-07-29,10.4,10.39,-0.1,0.0,70755,0.33,-1.05,-6.56,,,6.89,47.9,1.41,3.18,,,-8.86
2020-07-30,10.27,10.25,-1.35,-1.15,206239,0.96,-1.06,-4.47,,,5.45,43.7,1.23,3.19,,,-10.09
2020-07-31,10.25,10.25,0.0,0.0,126393,0.66,-0.97,-5.62,,,5.45,43.7,1.19,3.15,,,-10.09
2020-08-03,10.25,10.13,-1.17,0.0,185482,1.04,-3.06,-8.33,,,4.22,40.2,1.11,3.06,,,-11.14
2020-08-04,10.12,10.2,0.69,-0.1,74480,0.44,-1.92,-7.69,,,4.94,43.1,1.13,2.89,,,-10.53
2020-08-05,10.25,10.15,-0.49,0.49,465841,2.53,-2.31,-6.19,,,4.42,41.5,1.06,2.83,,,-10.96
2020-08-06,10.23,10.25,0.99,0.79,16199,0.09,0.0,-4.21,,,5.45,45.7,1.08,2.67,,,-10.09
2020-08-07,10.25,10.29,0.39,0.0,24452,0.15,0.39,-6.45,,,5.86,47.3,0.85,2.55,,,-9.74
2020-08-10,10.29,10.23,-0.58,0.0,11432,0.08,0.99,-6.92,,,5.25,45.1,0.85,2.46,,,-10.26
2020-08-11,10.26,10.25,0.2,0.29,33641,0.25,0.49,-5.53,,,5.45,46.0,0.83,2.4,,,-10.09
2020-08-12,10.25,10.23,-0.2,0.0,28887,0.23,0.79,-3.49,,,5.25,45.2,0.68,2.34,,,-10.26
2020-08-13,10.2,10.29,0.59,-0.29,72061,0.56,0.39,-3.65,,,5.86,48.1,0.67,2.25,,,-9.74
2020-08-14,10.38,10.22,-0.68,0.87,93715,0.73,-0.68,-4.04,,,5.14,45.1,0.68,2.26,,,-10.35
2020-08-17,10.25,10.18,-0.39,0.29,64569,0.5,-0.49,-3.96,,,4.73,43.5,0.68,2.17,,,-10.7
2020-08-18,10.15,10.09,-0.88,-0.29,75174,0.58,-1.56,-4.99,,,3.81,39.9,0.69,2.18,,,-11.49
2020-08-19,10.15,10.15,0.59,0.59,92033,0.7,-0.78,-3.79,,,4.42,43.3,0.71,2.1,-2.26,,-10.96
2020-08-20,10.07,10.09,-0.59,-0.79,249098,1.92,-1.94,-3.9,,,3.81,40.8,0.71,2.11,-2.9,,-11.49
2020-08-21,10.07,10.06,-0.3,-0.2,66072,0.54,-1.57,-2.9,,,3.5,39.6,0.66,2.06,-3.25,,-11.75
2020-08-24,10.01,10.06,0.0,-0.5,59115,0.48,-1.18,-2.8,,,3.5,39.6,0.66,2.0,-3.31,,-11.75
2020-08-25,9.99,10.08,0.2,-0.7,62088,0.6,-0.1,-3.54,,,3.7,41.0,0.62,1.96,-3.18,,-11.58
2020-08-26,10.08,10.07,-0.1,0.0,190786,1.74,-0.79,-3.17,,,3.6,40.5,0.61,1.96,-3.33,,-11.67
2020-08-27,10.04,10.1,0.25,-0.3,12579,0.13,0.05,-2.84,,,3.86,42.3,0.62,1.89,-3.16,,-11.45
2020-08-28,10.15,10.1,0.05,0.54,633591,5.05,0.4,-1.46,,,3.91,42.7,0.56,1.85,-3.15,,-11.4
2020-08-31,10.14,10.06,-0.4,0.4,114396,0.94,0.0,-1.85,,,3.5,40.4,0.56,1.82,-3.58,,-11.75
2020-09-01,10.19,10.3,2.39,1.29,778673,4.95,2.18,1.68,,,5.97,55.8,0.73,1.85,-1.37,,-9.65
2020-09-02,10.37,10.34,0.39,0.68,193540,1.35,2.68,1.37,,,6.38,57.7,0.72,1.87,-1.08,,-9.3
2020-09-03,10.3,10.28,-0.58,-0.39,67897,0.46,1.83,1.28,,,5.76,53.9,0.72,1.83,-1.44,,-9.82
2020-09-04,10.55,10.21,-0.68,2.63,326128,2.02,1.09,-0.39,,,5.04,49.7,0.71,1.98,-1.99,,-10.44
2020-09-08,10.34,10.2,-0.1,1.27,1176384,5.36,1.39,-0.87,,,4.94,49.1,0.7,2.08,-2.0,,-10.53
2020-09-09,10.31,10.21,0.1,1.08,264237,1.14,-0.87,-0.2,5.04,,5.04,49.8,0.69,2.06,-1.74,,-10.44
2020-09-10,10.3,10.51,2.94,0.88,996910,3.57,1.64,2.54,7.79,,8.13,64.2,0.94,2.19,1.19,,-7.81
2020-09-11,10.6,10.4,-1.05,0.86,387744,1.31,1.17,1.66,6.89,,7.0,57.7,0.98,2.28,0.22,,-8.77
2020-09-14,10.5,10.39,-0.1,0.96,220692,0.73,1.76,0.97,6.56,,6.89,57.1,0.97,2.25,0.26,,-8.86
2020-09-15,10.4,10.3,-0.87,0.1,323015,1.03,0.98,0.78,5.53,,5.97,52.1,0.98,2.25,-0.47,,-9.65
2020-09-16,10.39,10.31,0.1,0.87,507037,1.51,0.98,1.28,5.74,,6.07,52.6,0.97,2.29,-0.27,,-9.56
2020-09-17,10.29,10.18,-1.26,-0.19,312094,0.9,-3.14,0.89,3.14,,4.73,45.9,0.99,2.27,-1.43,,-10.7
2020-09-18,10.22,10.2,0.2,0.39,270003,0.78,-1.92,0.49,3.98,,4.94,47.0,0.99,2.22,-1.09,,-10.53
2020-09-21,10.17,10.12,-0.79,-0.29,934880,2.39,-2.6,0.3,2.95,,4.11,43.2,0.99,2.21,-1.7,,-11.23
